Country_Other,April16,April17,April18,April19,April20,April21,April22,April23,April24,April25,April26,April27,April28,April29,April30,May01,May02,May03,May04,May05,May06,May07,May08,May09,May10,May11,May12,May13,May14,May15,May16,May17,May18,May19,May20,May21,May22,May23,May24,May25,May26,May27,May28,May29,May30,May31,June01,June02,June03,June04,June05,June06,June07,June08,June09,June10,June11,June12,June13,June14,June15,June16,June17,June18,June19,June20,June21,June22,June23,June24,June25,June26,June27,June28,June29,June30,July01,July02,July03,July04,July05,July06,July07,July08,July09,July10,July11,July12,July13,July14,July15,July16,July17,July18,July19,July20,July21,July22,July23,July24,July25,July26,July27,July28,July29,July30,July31,August01,August02,August03,August04,August05,August06,August07,August08,August09,August10,August11,August12,August13
Cameroon,996,996,"1,017","1,017","1,163","1,163","1,163","1,334","1,430","1,518","1,621","1,705","1,705","1,832","1,832","1,832","2,077","2,077","2,104","2,104","2,265","2,267","2,267","2,274","2,579","2,689","2,689","2,800","2,954","2,954","3,105","3,105","3,529","3,529","3,733","4,288","4,400","4,400","4,890","4,890","5,436","5,436","5,436","5,436","5,904","5,904","6,397","6,585","6,585","6,789","7,392","7,599","7,908","8,060","8,312","8,681","8,681","8,681","8,681","8,681","9,864","9,864","9,864","9,864","10,638","11,610","11,892","12,041","12,270","12,592","12,592","12,592","12,592","12,592","12,592","12,592","12,592","12,592","12,592","12,592","12,592","12,592","14,916","14,916","14,916","14,916","15,173","15,173","15,173","15,173","15,173","16,157","16,157","16,157","16,157","16,157","16,522","16,522","16,522","16,708","16,708","16,708","17,110","17,179","17,255","17,255","17,255","17,255","17,255","17,255","17,718","17,718","17,718","17,718","18,042","18,042","18,042","18,213","18,263","18,308"
Ghana,641,641,834,"1,042","1,042","1,042","1,154","1,154","1,279","1,279","1,550","1,550","1,671","1,671","2,074","2,074","2,169","2,169","2,719","2,719","3,091","3,091","4,012","4,263","4,263","4,700","5,127","5,408","5,530","5,638","5,735","5,735","5,735","6,096","6,269","6,269","6,486","6,617","6,683","6,808","7,117","7,303","7,303","7,616","7,768","7,881","8,070","8,297","8,548","8,885","9,168","9,462","9,638","9,910","10,201","10,201","10,358","10,856","11,118","11,964","11,964","12,193","12,590","12,929","13,203","13,717","14,007","14,154","14,568","15,013","15,473","15,834","16,431","16,742","17,351","17,741","18,134","18,134","19,388","19,388","20,085","21,077","21,968","22,822","23,463","23,834","24,248","24,518","24,988","24,988","25,430","26,125","26,572","27,060","27,667","28,430","28,989","29,672","29,672","31,057","31,851","32,969","33,624","34,406","35,142","35,142","35,501","37,014","37,014","37,812","37,812","39,075","39,642","40,097","40,533","41,003","41,212","41,404","41,572","41,725"
Afghanistan,840,906,933,996,"1,026","1,092","1,176","1,279","1,351","1,463","1,531","1,703","1,828","1,939","2,171","2,335","2,469","2,704","2,894","3,224","3,392","3,563","3,778","4,033","4,402","4,687","4,963","5,226","5,639","6,053","6,402","6,664","7,072","7,653","8,145","8,676","9,216","9,998","10,582","11,173","11,831","12,456","13,036","13,659","14,525","15,205","15,750","16,509","17,267","18,054","18,969","19,551","20,342","20,917","21,459","22,142","22,890","23,546","24,102","24,766","25,527","26,310","26,874","27,532","27,878","28,424","28,833","29,157","29,481","29,640","30,175","30,451","30,616","30,967","31,238","31,517","31,836","32,022","32,324","32,672","32,951","33,190","33,384","33,594","33,908","34,194","34,366","34,451","34,455","34,740","34,994","35,070","35,229","35,301","35,475","35,526","35,615","35,727","35,928","35,981","36,036","36,157","36,263","36,368","36,471","36,542","36,675","36,710","36,710","36,747","36,782","36,829","36,896","37,015","37,054","37,054","37,162","37,269","37,345","37,424"
Bosnia and Herzegovina,"1,167","1,214","1,268","1,285","1,309","1,342","1,368","1,413","1,421","1,486","1,516","1,565","1,585","1,677","1,757","1,781","1,839","1,857","1,926","1,946","1,987","2,027","2,070","2,090","2,117","2,141","2,158","2,181","2,218","2,236","2,267","2,290","2,304","2,321","2,338","2,350","2,372","2,391","2,401","2,406","2,416","2,435","2,462","2,485","2,494","2,510","2,524","2,535","2,551","2,594","2,606","2,606","2,673","2,704","2,728","2,775","2,832","2,893","2,893","2,893","3,040","3,085","3,141","3,174","3,273","3,273","3,273","3,525","3,588","3,676","3,796","3,935","3,935","3,935","4,325","4,453","4,606","4,788","4,962","4,962","4,962","5,458","5,621","5,869","6,086","6,402","6,719","6,877","6,981","6,981","7,411","7,681","7,908","8,161","8,340","8,479","8,787","9,115","9,462","9,767","9,767","9,767","10,498","10,766","11,127","11,444","11,876","11,876","12,296","12,462","12,856","13,138","13,396","13,687","13,687","13,687","14,498","14,708","14,961","15,184"
New Zealand,"1,401","1,409","1,422","1,431","1,440","1,445","1,448","1,451","1,456","1,461","1,469","1,469","1,472","1,474","1,476","1,479","1,485","1,487","1,487","1,486","1,488","1,489","1,490","1,492","1,494","1,497","1,497","1,497","1,497","1,498","1,498","1,499","1,499","1,503","1,503","1,503","1,504","1,504","1,504","1,504","1,504","1,504","1,504","1,504","1,504","1,504","1,504","1,504","1,504","1,504","1,504","1,504","1,504","1,504","1,504","1,504","1,504","1,504","1,504","1,504","1,504","1,506","1,506","1,507","1,507","1,509","1,511","1,513","1,515","1,516","1,519","1,520","1,522","1,526","1,528","1,528","1,528","1,530","1,530","1,530","1,533","1,534","1,536","1,537","1,540","1,542","1,543","1,544","1,544","1,545","1,547","1,548","1,549","1,550","1,553","1,554","1,555","1,555","1,555","1,556","1,556","1,556","1,556","1,557","1,559","1,560","1,560","1,562","1,565","1,567","1,567","1,569","1,569","1,569","1,569","1,569","1,569","1,570","1,579","1,589"
Lithuania,"1,128","1,149","1,239","1,298","1,326","1,350","1,370","1,398","1,410","1,426","1,438","1,449","1,344","1,375","1,385","1,399","1,406","1,410","1,419","1,423","1,428","1,433","1,436","1,444","1,479","1,485","1,491","1,505","1,511","1,523","1,534","1,541","1,547","1,562","1,577","1,593","1,604","1,616","1,623","1,635","1,639","1,647","1,656","1,662","1,670","1,675","1,678","1,682","1,684","1,687","1,694","1,705","1,714","1,720","1,727","1,733","1,752","1,756","1,763","1,768","1,773","1,776","1,778","1,784","1,792","1,795","1,798","1,801","1,803","1,804","1,806","1,808","1,813","1,815","1,816","1,817","1,818","1,825","1,828","1,831","1,836","1,841","1,844","1,854","1,857","1,861","1,865","1,869","1,874","1,875","1,896","1,902","1,908","1,915","1,932","1,947","1,949","1,951","1,960","1,986","2,001","2,008","2,019","2,027","2,043","2,062","2,075","2,093","2,110","2,120","2,137","2,147","2,171","2,194","2,231","2,252","2,265","2,283","2,309","2,330"
Slovenia,"1,268","1,304","1,317","1,330","1,335","1,344","1,353","1,366","1,373","1,388","1,396","1,402","1,408","1,418","1,429","1,434","1,439","1,439","1,439","1,445","1,448","1,449","1,450","1,454","1,457","1,460","1,461","1,463","1,464","1,465","1,465","1,466","1,466","1,467","1,468","1,468","1,468","1,468","1,468","1,469","1,469","1,471","1,473","1,473","1,473","1,473","1,473","1,475","1,477","1,477","1,479","1,484","1,485","1,485","1,486","1,488","1,488","1,490","1,492","1,495","1,496","1,499","1,503","1,511","1,513","1,519","1,520","1,521","1,534","1,541","1,547","1,558","1,572","1,581","1,585","1,600","1,613","1,634","1,650","1,679","1,700","1,716","1,739","1,763","1,776","1,793","1,827","1,841","1,849","1,859","1,878","1,897","1,916","1,940","1,946","1,953","1,977","2,006","2,033","2,052","2,066","2,082","2,087","2,101","2,115","2,139","2,156","2,171","2,180","2,181","2,190","2,208","2,223","2,233","2,247","2,249","2,255","2,272","2,303","2,332"
North Macedonia,"1,081","1,117","1,170","1,207","1,225","1,231","1,259","1,300","1,326","1,367","1,386","1,399","1,421","1,442","1,465","1,494","1,506","1,511","1,518","1,526","1,539","1,572","1,586","1,622","1,642","1,664","1,674","1,694","1,723","1,740","1,762","1,792","1,817","1,839","1,858","1,898","1,921","1,941","1,978","1,999","2,014","2,039","2,077","2,129","2,164","2,226","2,315","2,391","2,492","2,611","2,790","2,915","3,025","3,152","3,239","3,364","3,538","3,701","3,895","4,057","4,157","4,299","4,482","4,664","4,820","5,005","5,106","5,196","5,311","5,445","5,595","5,758","5,906","6,080","6,209","6,334","6,454","6,625","6,787","6,932","7,046","7,124","7,244","7,406","7,572","7,777","7,975","8,111","8,197","8,332","8,530","8,623","8,786","9,026","9,153","9,249","9,412","9,547","9,669","9,797","9,934","10,086","10,213","10,315","10,503","10,617","10,754","10,891","11,054","11,128","11,202","11,289","11,399","11,554","11,754","11,839","11,942","12,083","12,217","12,357"
Slovakia,977,"1,049","1,089","1,161","1,173","1,199","1,244","1,325","1,360","1,373","1,379","1,381","1,384","1,391","1,396","1,403","1,407","1,408","1,413","1,421","1,429","1,445","1,455","1,455","1,457","1,457","1,465","1,469","1,477","1,480","1,493","1,494","1,495","1,495","1,496","1,502","1,503","1,504","1,509","1,511","1,513","1,515","1,520","1,520","1,521","1,521","1,522","1,522","1,525","1,526","1,526","1,528","1,528","1,530","1,531","1,533","1,541","1,542","1,545","1,548","1,552","1,552","1,561","1,562","1,576","1,586","1,587","1,588","1,589","1,607","1,630","1,643","1,657","1,664","1,665","1,667","1,687","1,700","1,720","1,749","1,764","1,765","1,767","1,798","1,851","1,870","1,893","1,901","1,902","1,908","1,927","1,951","1,965","1,976","1,979","1,980","2,021","2,058","2,089","2,118","2,141","2,179","2,181","2,204","2,245","2,265","2,292","2,337","2,344","2,354","2,368","2,417","2,480","2,523","2,566","2,596","2,599","2,615","2,690","2,739"
Cuba,862,923,986,"1,035","1,087","1,137","1,189","1,235","1,285","1,337","1,369","1,389","1,437","1,467","1,501","1,537","1,611","1,649","1,668","1,685","1,703","1,729","1,741","1,754","1,766","1,783","1,804","1,810","1,830","1,840","1,862","1,872","1,881","1,887","1,900","1,908","1,916","1,931","1,941","1,947","1,963","1,974","1,983","2,005","2,025","2,045","2,083","2,092","2,107","2,119","2,133","2,173","2,191","2,200","2,205","2,211","2,219","2,233","2,238","2,248","2,262","2,273","2,280","2,295","2,305","2,309","2,312","2,315","2,318","2,319","2,321","2,325","2,330","2,332","2,340","2,341","2,348","2,353","2,361","2,369","2,372","2,380","2,395","2,399","2,403","2,413","2,420","2,426","2,428","2,432","2,438","2,440","2,444","2,445","2,446","2,446","2,449","2,462","2,466","2,469","2,478","2,495","2,532","2,555","2,588","2,597","2,608","2,633","2,646","2,670","2,701","2,726","2,775","2,829","2,888","2,953","3,046","3,093","3,128","3,174"
