Country_Other,April16,April17,April18,April19,April20,April21,April22,April23,April24,April25,April26,April27,April28,April29,April30,May01,May02,May03,May04,May05,May06,May07,May08,May09,May10,May11,May12,May13,May14,May15,May16,May17,May18,May19,May20,May21,May22,May23,May24,May25,May26,May27,May28,May29,May30,May31,June01,June02,June03,June04,June05,June06,June07,June08,June09,June10,June11,June12,June13,June14,June15,June16,June17,June18,June19,June20,June21,June22,June23,June24,June25,June26,June27,June28,June29,June30,July01,July02,July03,July04,July05,July06,July07,July08,July09,July10,July11,July12,July13,July14,July15,July16,July17,July18,July19,July20,July21,July22,July23,July24,July25,July26,July27,July28,July29,July30,July31,August01,August02,August03,August04,August05,August06,August07,August08,August09,August10,August11,August12,August13
Bulgaria,800,846,878,894,929,975,"1,024","1,097","1,188","1,247","1,300","1,363","1,399","1,447","1,506","1,555","1,594","1,618","1,652","1,704","1,778","1,829","1,872","1,921","1,965","1,990","2,023","2,069","2,100","2,138","2,175","2,211","2,235","2,259","2,292","2,331","2,372","2,408","2,427","2,433","2,443","2,460","2,477","2,485","2,499","2,513","2,519","2,538","2,560","2,593","2,627","2,711","2,711","2,810","2,889","2,993","3,086","3,191","3,266","3,290","3,341","3,453","3,542","3,674","3,755","3,872","3,905","3,984","4,114","4,242","4,408","4,513","4,625","4,691","4,831","4,989","5,154","5,315","5,497","5,677","5,740","5,914","6,102","6,342","6,672","6,964","7,175","7,252","7,411","7,645","7,877","8,144","8,442","8,638","8,733","8,929","9,254","9,584","9,853","10,123","10,312","10,427","10,621","10,871","11,155","11,420","11,690","11,836","11,955","12,159","12,414","12,717","13,014","13,209","13,343","13,396","13,512","13,722","13,893","14,069"
Nigeria,442,493,542,627,665,782,873,981,"1,095","1,182","1,273","1,337","1,532","1,728","1,932","2,170","2,388","2,558","2,802","2,950","3,145","3,526","3,912","4,151","4,399","4,641","4,787","4,971","5,162","5,450","5,621","5,959","6,175","6,401","6,677","7,016","7,261","7,526","7,839","8,068","8,344","8,733","8,915","9,302","9,855","10,162","10,578","10,819","11,166","11,516","11,844","12,233","12,486","12,801","13,464","13,873","14,554","15,181","15,682","16,085","16,658","17,148","17,735","18,480","19,147","19,808","20,244","20,919","21,371","22,020","22,614","23,298","24,077","24,567","25,133","25,694","26,484","27,110","27,564","28,167","28,711","29,286","29,789","30,249","30,748","31,323","31,987","32,558","33,153","33,616","34,259","34,854","35,454","36,107","36,663","37,225","37,801","38,344","38,948","39,539","39,977","40,532","41,180","41,804","42,208","42,689","43,151","43,537","43,841","44,129","44,433","44,890","45,244","45,687","46,140","46,577","46,867","47,290","47,743","48,116"
Ivory Coast,654,688,801,847,879,916,952,"1,004","1,077","1,077","1,150","1,164","1,183","1,238","1,275","1,333","1,362","1,398","1,432","1,464","1,516","1,571","1,602","1,667","1,700","1,730","1,857","1,912","1,971","2,017","2,061","2,109","2,119","2,153","2,231","2,301","2,341","2,366","2,376","2,423","2,477","2,556","2,641","2,750","2,799","2,833","2,951","3,024","3,110","3,262","3,431","3,557","3,739","3,881","3,995","4,181","4,404","4,684","4,848","5,084","5,439","5,679","6,063","6,444","6,874","7,276","7,492","7,677","7,904","8,164","8,334","8,739","8,944","9,101","9,214","9,499","9,702","9,992","10,244","10,462","10,772","10,966","11,194","11,504","11,750","12,052","12,443","12,766","12,872","13,037","13,403","13,554","13,696","13,912","14,119","14,312","14,531","14,733","15,001","15,253","15,494","15,596","15,655","15,713","15,813","15,978","16,047","16,109","16,182","16,220","16,293","16,349","16,447","16,524","16,620","16,715","16,798","16,847","16,847","16,889"
Hong Kong,"1,018","1,022","1,024","1,026","1,026","1,030","1,034","1,036","1,036","1,038","1,038","1,038","1,038","1,038","1,038","1,040","1,040","1,040","1,041","1,041","1,041","1,045","1,045","1,045","1,048","1,048","1,048","1,051","1,052","1,053","1,053","1,056","1,056","1,056","1,056","1,064","1,066","1,066","1,066","1,066","1,066","1,067","1,067","1,080","1,083","1,085","1,088","1,094","1,094","1,099","1,103","1,106","1,107","1,108","1,108","1,108","1,108","1,109","1,110","1,110","1,113","1,113","1,121","1,125","1,128","1,129","1,132","1,162","1,178","1,180","1,194","1,197","1,198","1,200","1,204","1,206","1,234","1,243","1,248","1,259","1,269","1,286","1,300","1,324","1,366","1,404","1,433","1,470","1,522","1,570","1,589","1,656","1,714","1,778","1,886","1,959","2,020","2,132","2,250","2,373","2,506","2,634","2,779","2,885","3,003","3,152","3,273","3,397","3,512","3,590","3,670","3,755","3,850","3,939","4,008","4,080","4,149","4,182","4,244","4,313"
Djibouti,591,732,732,846,846,945,974,986,999,"1,008","1,023","1,035","1,072","1,077","1,089","1,097","1,112","1,112","1,116","1,120","1,124","1,133","1,135","1,189","1,210","1,227","1,256","1,268","1,284","1,309","1,331","1,401","1,518","1,618","1,828","2,047","2,270","2,270","2,270","2,468","2,468","2,697","2,914","2,914","3,194","3,354","3,569","3,779","3,935","4,054","4,123","4,169","4,207","4,278","4,331","4,373","4,398","4,441","4,449","4,465","4,501","4,539","4,545","4,557","4,565","4,565","4,582","4,599","4,617","4,630","4,635","4,643","4,643","4,643","4,656","4,682","4,704","4,715","4,736","4,736","4,792","4,822","4,878","4,889","4,955","4,968","4,968","4,972","4,977","4,979","4,985","4,993","5,003","5,003","5,011","5,020","5,027","5,030","5,031","5,039","5,039","5,050","5,059","5,068","5,081","5,081","5,084","5,084","5,161","5,240","5,248","5,330","5,330","5,338","5,338","5,344","5,347","5,348","5,358","5,358"
Guinea,438,477,518,579,622,688,761,862,954,996,996,"1,163","1,240","1,351","1,495","1,537","1,586","1,586","1,710","1,811","1,856","1,927","2,009","2,042","2,146","2,146","2,298","2,374","2,473","2,473","2,658","2,658","2,796","2,863","2,863","3,067","3,067","3,176","3,275","3,275","3,275","3,275","3,553","3,656","3,706","3,706","3,844","3,886","3,933","3,991","4,060","4,117","4,117","4,216","4,258","4,258","4,372","4,426","4,484","4,532","4,572","4,639","4,668","4,841","4,904","4,960","4,988","4,988","5,040","5,174","5,174","5,260","5,291","5,342","5,351","5,391","5,404","5,450","5,521","5,570","5,610","5,610","5,636","5,697","5,881","5,969","6,044","6,141","6,141","6,200","6,276","6,359","6,430","6,491","6,544","6,590","6,652","6,747","6,806","6,867","6,927","7,008","7,055","7,126","7,183","7,242","7,308","7,308","7,317","7,364","7,489","7,575","7,664","7,777","7,875","7,930","7,930","8,018","8,116","8,198"
Tunisia,822,864,866,879,884,901,909,918,922,939,949,967,975,980,994,998,"1,009","1,013","1,018","1,022","1,025","1,026","1,030","1,032","1,032","1,032","1,032","1,032","1,032","1,035","1,037","1,037","1,043","1,043","1,045","1,046","1,048","1,048","1,048","1,051","1,051","1,051","1,068","1,071","1,076","1,077","1,084","1,086","1,087","1,087","1,087","1,087","1,087","1,087","1,087","1,087","1,087","1,093","1,094","1,096","1,110","1,125","1,128","1,132","1,146","1,156","1,157","1,159","1,159","1,160","1,162","1,164","1,168","1,169","1,172","1,174","1,175","1,178","1,181","1,186","1,188","1,199","1,205","1,221","1,231","1,240","1,245","1,263","1,302","1,306","1,319","1,327","1,336","1,348","1,374","1,381","1,389","1,394","1,406","1,425","1,443","1,452","1,455","1,468","1,488","1,514","1,535","1,552","1,561","1,565","1,584","1,601","1,642","1,656","1,678","1,697","1,717","1,738","1,780","1,847"
Bolivia,441,465,493,520,564,598,609,672,703,807,866,950,"1,014","1,053","1,110","1,167","1,229","1,470","1,594","1,681","1,802","1,886","2,081","2,266","2,437","2,556","2,831","2,964","3,148","3,372","3,577","3,826","4,088","4,263","4,481","4,919","5,187","5,579","5,915","6,263","6,660","7,136","7,768","8,387","8,731","9,592","9,982","10,531","10,991","11,638","12,245","12,728","13,358","13,643","13,949","14,644","15,281","16,165","16,929","17,842","18,459","19,073","19,883","20,685","21,499","22,476","23,512","24,388","25,493","26,389","27,487","28,503","29,423","30,676","31,524","32,125","33,219","34,227","35,528","36,818","38,071","39,297","40,509","41,545","42,984","44,113","45,565","47,200","48,187","49,250","50,867","52,218","54,156","56,102","58,138","59,582","60,991","62,357","64,135","65,252","66,456","68,281","69,429","71,181","72,327","73,534","75,234","76,789","78,793","80,153","81,846","83,361","85,141","86,423","87,891","89,055","89,999","91,635","93,328","95,071"
Cyprus,735,750,761,767,772,784,790,795,804,810,817,822,837,843,850,857,864,872,874,878,883,889,891,892,898,901,903,905,907,910,914,916,917,918,922,923,927,927,935,937,939,939,941,942,943,944,949,952,958,958,960,960,964,970,972,974,975,980,980,983,985,985,985,985,985,985,986,988,990,991,992,992,994,994,996,998,999,999,999,"1,002","1,003","1,004","1,005","1,008","1,010","1,013","1,014","1,021","1,022","1,023","1,025","1,031","1,033","1,037","1,038","1,038","1,040","1,040","1,045","1,047","1,053","1,057","1,060","1,067","1,080","1,090","1,114","1,124","1,150","1,155","1,180","1,195","1,208","1,222","1,233","1,242","1,252","1,277","1,291","1,305"
Latvia,675,682,712,727,739,748,761,778,784,804,812,818,836,849,858,870,871,879,896,896,900,909,928,930,939,946,950,951,962,970,997,"1,008","1,009","1,012","1,016","1,025","1,030","1,046","1,047","1,049","1,053","1,057","1,061","1,064","1,065","1,066","1,066","1,071","1,079","1,082","1,085","1,086","1,088","1,088","1,089","1,092","1,094","1,096","1,097","1,097","1,097","1,098","1,104","1,108","1,110","1,111","1,111","1,111","1,111","1,111","1,111","1,112","1,115","1,116","1,117","1,118","1,121","1,122","1,122","1,123","1,124","1,127","1,134","1,141","1,154","1,165","1,173","1,173","1,174","1,174","1,178","1,179","1,185","1,189","1,192","1,192","1,193","1,197","1,203","1,205","1,206","1,219","1,219","1,220","1,224","1,228","1,231","1,238","1,243","1,246","1,249","1,257","1,275","1,281","1,288","1,290","1,290","1,293","1,303","1,307"
Andorra,673,696,704,713,717,717,723,723,731,738,738,743,743,743,745,745,747,748,750,751,751,752,752,754,755,755,758,760,761,761,761,761,761,761,762,762,762,762,762,763,763,763,763,764,764,764,765,844,851,852,852,852,852,852,852,852,852,853,853,853,853,854,854,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,855,858,861,862,877,880,880,880,884,884,889,889,897,897,897,907,907,918,922,925,925,925,937,939,939,944,955,955,955,963,963,977,981
Albania,518,539,548,562,584,609,634,663,678,712,726,736,750,766,773,782,789,795,803,820,832,842,850,856,868,872,876,880,898,916,933,946,948,949,964,969,981,989,998,"1,004","1,029","1,050","1,076","1,099","1,122","1,137","1,143","1,164","1,184","1,197","1,212","1,232","1,246","1,263","1,299","1,341","1,385","1,416","1,464","1,521","1,590","1,672","1,722","1,788","1,838","1,891","1,962","1,995","2,047","2,114","2,192","2,269","2,330","2,402","2,466","2,535","2,580","2,662","2,752","2,819","2,893","2,964","3,038","3,106","3,188","3,278","3,371","3,454","3,571","3,667","3,752","3,851","3,906","4,008","4,090","4,171","4,290","4,358","4,466","4,570","4,637","4,763","4,880","4,997","5,105","5,197","5,276","5,396","5,519","5,620","5,750","5,889","6,016","6,151","6,275","6,411","6,536","6,676","6,817","6,971"
Diamond Princess,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712,712
Lebanon,663,668,672,673,677,677,682,688,696,704,707,710,717,721,725,729,733,737,740,741,750,784,796,809,845,859,870,878,886,891,902,911,931,954,961,"1,024","1,086","1,097","1,114","1,119","1,140","1,161","1,168","1,172","1,191","1,220","1,233","1,242","1,256","1,306","1,312","1,320","1,331","1,350","1,368","1,388","1,402","1,422","1,442","1,446","1,464","1,473","1,489","1,495","1,510","1,536","1,587","1,603","1,622","1,644","1,662","1,697","1,719","1,740","1,745","1,778","1,788","1,796","1,830","1,855","1,873","1,885","1,907","1,946","2,011","2,082","2,168","2,334","2,419","2,451","2,542","2,599","2,700","2,775","2,859","2,905","2,980","3,104","3,260","3,407","3,582","3,750","3,882","4,023","4,205","4,334","4,555","4,730","4,885","5,062","5,271","5,417","5,672","5,951","6,223","6,517","6,812","7,121","7,413","7,711"
Niger,584,627,639,648,648,657,662,671,681,684,696,701,709,713,719,728,736,750,755,763,770,781,795,815,821,832,854,860,876,885,889,904,909,914,920,924,937,943,945,951,952,952,955,955,956,958,958,960,961,963,966,970,973,973,974,974,974,978,980,980,980,"1,016","1,020","1,020","1,020","1,035","1,036","1,046","1,051","1,051","1,056","1,059","1,062","1,074","1,075","1,075","1,075","1,081","1,082","1,082","1,088","1,093","1,094","1,097","1,097","1,099","1,099","1,099","1,099","1,099","1,100","1,102","1,102","1,104","1,104","1,105","1,113","1,122","1,124","1,124","1,124","1,136","1,132","1,132","1,132","1,134","1,134","1,136","1,147","1,152","1,152","1,152","1,153","1,153","1,157","1,158","1,158","1,158","1,161","1,161"
Costa Rica,642,649,655,660,662,669,681,686,687,693,695,697,705,713,719,725,733,739,742,755,761,765,773,780,792,801,804,815,830,843,853,863,866,882,897,903,911,918,930,951,956,984,"1,000","1,022","1,047","1,056","1,084","1,105","1,157","1,194","1,228","1,263","1,318","1,342","1,375","1,461","1,538","1,612","1,662","1,715","1,744","1,796","1,871","1,939","2,058","2,127","2,213","2,277","2,368","2,515","2,684","2,836","2,979","3,130","3,269","3,459","3,753","4,023","4,311","4,621","4,996","5,241","5,486","5,836","6,485","6,845","7,231","7,596","8,036","8,482","8,986","9,546","9,969","10,551","11,114","11,534","11,811","12,361","13,129","13,669","14,600","15,229","15,841","16,344","16,800","17,290","17,820","18,187","18,975","19,402","19,837","20,417","21,070","22,081","22,802","23,286","23,872","24,508","25,057","26,129"
Kyrgyzstan,466,489,506,554,568,590,612,631,656,665,682,695,708,729,746,756,769,795,830,843,871,895,906,931,"1,002","1,016","1,037","1,044","1,082","1,111","1,117","1,138","1,216","1,243","1,270","1,313","1,350","1,365","1,403","1,433","1,468","1,520","1,594","1,662","1,722","1,748","1,817","1,845","1,871","1,899","1,936","1,974","2,007","2,032","2,055","2,093","2,129","2,166","2,207","2,285","2,372","2,472","2,562","2,657","2,789","2,981","3,151","3,356","3,519","3,726","3,954","4,204","4,513","4,748","5,017","5,296","5,735","6,261","6,767","7,094","7,377","7,691","8,141","8,486","8,847","9,358","9,910","10,629","11,117","11,444","11,977","12,498","13,101","24,606","26,532","27,143","28,251","29,359","30,349","31,247","32,124","32,813","33,296","33,844","34,592","35,223","35,805","36,299","36,719","37,129","37,541","38,110","38,659","39,162","39,587","39,919","40,177","40,455","40,759","41,069"
Senegal,335,342,350,367,377,412,442,479,545,614,671,736,823,882,933,"1,024","1,115","1,182","1,271","1,329","1,433","1,492","1,551","1,634","1,709","1,886","1,995","2,105","2,189","2,310","2,429","2,480","2,544","2,617","2,714","2,812","2,909","2,976","3,047","3,130","3,161","3,253","3,348","3,429","3,535","3,645","3,739","3,836","3,932","4,021","4,155","4,249","4,328","4,427","4,516","4,640","4,759","4,851","4,996","5,090","5,173","5,247","5,369","5,475","5,639","5,783","5,888","5,970","6,034","6,129","6,233","6,354","6,459","6,586","6,698","6,793","6,925","7,054","7,164","7,272","7,400","7,478","7,547","7,657","7,784","7,882","8,014","8,135","8,198","8,243","8,369","8,481","8,544","8,669","8,810","8,948","8,985","9,121","9,266","9,422","9,552","9,681","9,764","9,805","9,961","10,106","10,232","10,284","10,344","10,386","10,432","10,538","10,715","10,887","11,003","11,175","11,312","11,380","11,587","11,740"
Burkina Faso,546,557,565,576,581,600,609,616,629,629,632,635,638,641,645,649,652,662,672,688,729,736,744,748,751,760,766,773,773,780,782,796,796,796,809,812,814,814,814,832,832,845,847,847,847,847,847,881,884,885,888,888,889,890,891,891,892,892,892,894,894,895,899,899,900,901,903,903,907,919,934,941,941,959,959,962,962,967,980,987,987,"1,000","1,003","1,003","1,005","1,020","1,033","1,036","1,036","1,037","1,038","1,038","1,045","1,047","1,052","1,065","1,065","1,066","1,070","1,075","1,086","1,086","1,100","1,105","1,105","1,106","1,106","1,143","1,143","1,150","1,153","1,153","1,158","1,158","1,175","1,175","1,204","1,211","1,213","1,228"
Honduras,426,442,457,472,477,494,510,519,562,591,627,661,702,738,771,804,899,"1,010","1,055","1,178","1,270","1,461","1,685","1,771","1,830","1,972","2,080","2,080","2,255","2,318","2,460","2,565","2,646","2,798","2,955","3,100","3,204","3,477","3,743","3,950","4,189","4,401","4,640","4,752","4,886","5,094","5,202","5,362","5,527","5,690","5,880","5,971","6,155","6,327","6,450","6,935","7,360","7,669","8,132","8,455","8,858","9,178","9,656","10,299","10,739","11,258","12,306","12,772","13,356","13,943","14,571","15,366","15,994","17,007","18,082","18,818","19,558","20,262","21,120","22,116","22,921","23,943","24,665","25,428","25,978","26,384","27,053","27,583","28,090","28,579","29,106","30,036","30,867","31,745","32,793","33,835","34,611","35,345","36,102","36,902","37,559","38,438","39,276","39,741","40,460","40,944","41,426","42,014","42,685","43,197","43,794","44,299","45,098","45,755","46,365","46,973","47,454","47,872","48,403","48,657"
Uruguay,502,502,517,517,535,543,549,549,563,563,596,606,620,625,643,648,652,655,657,670,673,684,694,702,707,711,717,719,724,732,733,734,737,738,746,749,753,764,769,787,789,803,811,816,821,823,825,826,828,832,834,845,845,845,846,847,847,847,847,848,848,849,849,850,853,859,876,882,885,902,907,919,924,929,932,936,943,947,952,955,956,960,965,974,977,985,986,987,989,997,"1,009","1,026","1,037","1,044","1,054","1,064","1,096","1,117","1,141","1,166","1,174","1,192","1,202","1,218","1,237","1,243","1,264","1,278","1,286","1,291","1,300","1,309","1,318","1,325","1,335","1,353","1,364","1,385","1,393","1,409"
San Marino,426,435,455,461,462,476,488,501,513,513,538,538,553,563,569,580,580,582,582,589,608,622,623,637,628,628,638,643,648,652,653,654,654,655,656,658,661,665,665,666,666,667,670,671,671,671,671,672,674,678,680,680,680,687,688,691,691,694,694,694,694,694,696,696,696,696,696,697,698,698,698,698,698,698,698,698,698,698,698,698,698,698,698,698,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699,699
Channel Islands,457,470,484,488,488,496,498,521,523,525,525,525,530,537,537,538,543,544,544,545,545,545,545,545,545,546,547,548,549,549,554,554,555,555,558,558,558,558,558,559,559,560,560,560,560,560,560,560,561,561,561,563,563,564,565,565,565,565,565,565,568,568,570,570,570,570,570,570,570,571,571,571,571,571,571,571,571,571,571,571,571,577,577,577,577,577,577,577,581,581,581,583,583,583,583,583,583,583,583,584,584,584,584,587,587,587,587,587,587,591,595,596,597,597,597,597,599,599,603,603
Sri Lanka,238,244,254,271,304,310,330,368,417,452,523,588,619,649,663,690,702,718,751,771,797,823,835,847,856,863,889,893,925,935,957,981,992,"1,023","1,028","1,048","1,068","1,089","1,141","1,182","1,319","1,469","1,530","1,558","1,613","1,633","1,643","1,683","1,735","1,797","1,801","1,814","1,835","1,857","1,859","1,869","1,877","1,880","1,884","1,889","1,905","1,915","1,924","1,946","1,950","1,950","1,950","1,951","1,991","2,001","2,010","2,014","2,033","2,037","2,039","2,047","2,054","2,066","2,069","2,074","2,076","2,077","2,081","2,094","2,154","2,454","2,511","2,617","2,646","2,665","2,671","2,687","2,697","2,704","2,724","2,730","2,730","2,752","2,753","2,764","2,770","2,782","2,805","2,810","2,810","2,814","2,815","2,815","2,823","2,828","2,834","2,839","2,839","2,839","2,841","2,844","2,871","2,880","2,881","2,882"
Georgia,348,370,388,394,402,408,416,425,444,456,486,497,511,517,539,566,582,589,593,604,610,615,623,626,635,638,642,647,667,671,683,695,701,707,713,721,723,728,730,731,732,735,738,746,757,783,794,796,800,801,805,808,809,812,818,827,831,843,851,864,879,879,888,893,896,898,906,908,911,914,917,919,921,924,926,928,931,939,943,948,951,953,958,963,968,973,981,986,995,999,"1,004","1,006","1,010","1,018","1,028","1,039","1,049","1,073","1,085","1,104","1,117","1,131","1,137","1,145","1,155","1,160","1,168","1,171","1,177","1,179","1,182","1,197","1,206","1,213","1,216","1,225","1,250","1,264","1,278","1,283"
Guatemala,196,214,235,257,289,294,316,342,384,430,473,500,530,557,585,599,644,688,703,730,763,798,832,900,967,"1,052","1,114","1,199","1,342","1,518","1,643","1,763","1,912","2,001","2,133","2,265","2,512","2,743","3,054","3,424","3,760","3,954","4,145","4,348","4,607","4,739","5,087","5,336","5,586","5,760","6,154","6,485","6,792","7,055","7,502","7,866","8,221","8,561","8,982","9,491","9,845","10,272","10,706","11,251","11,868","12,509","12,755","13,145","13,769","14,540","14,819","15,619","15,828","16,397","16,930","17,409","18,096","19,011","21,293","22,501","23,248","23,972","24,787","25,411","26,658","27,619","28,598","29,355","29,742","30,872","32,074","32,939","33,809","38,042","38,677","39,039","40,229","41,135","42,192","43,283","44,492","45,053","45,309","46,451","47,605","48,826","49,789","50,979","51,306","51,542","52,365","53,509","54,339","55,270","56,189","56,605","56,987","57,966","59,089","60,284"
Malta,412,422,426,427,431,443,444,445,447,448,448,450,458,463,465,467,468,477,480,482,484,486,489,490,496,503,506,508,522,532,546,553,558,569,584,599,600,609,610,611,611,612,616,616,618,618,619,620,622,622,625,627,629,630,632,635,640,645,646,649,650,656,662,663,663,664,665,665,665,665,668,670,670,670,670,670,671,671,672,672,672,672,673,673,674,674,674,674,674,674,674,674,674,676,677,677,677,679,680,686,686,700,701,708,720,814,824,845,860,874,890,926,946,995,"1,035","1,089","1,112","1,141","1,190","1,245"
Jordan,402,407,413,417,425,428,435,437,441,444,447,449,449,451,453,459,460,461,465,471,473,494,508,522,540,562,576,582,586,596,607,613,629,649,672,684,700,704,708,711,718,720,728,730,734,739,746,755,757,765,784,795,808,831,845,863,890,915,953,961,979,981,987,"1,001","1,008","1,015","1,033","1,042","1,047","1,071","1,086","1,104","1,111","1,121","1,128","1,132","1,133","1,136","1,147","1,150","1,164","1,167","1,169","1,169","1,169","1,173","1,176","1,179","1,183","1,198","1,201","1,206","1,209","1,214","1,218","1,223","1,113","1,120","1,131","1,146","1,154","1,168","1,176","1,182","1,187","1,191","1,193","1,208","1,213","1,218","1,224","1,231","1,232","1,237","1,246","1,252","1,268","1,283","1,303","1,320"
DRC,267,287,307,327,332,350,359,377,394,416,442,459,471,491,572,604,674,674,682,705,797,863,863,937,991,"1,024","1,102","1,169","1,242","1,298","1,455","1,455","1,538","1,629","1,731","1,835","1,945","2,025","2,141","2,297","2,403","2,546","2,660","2,833","2,966","3,070","3,195","3,326","3,495","3,644","3,764","3,878","4,016","4,106","4,259","4,390","4,515","4,637","4,724","4,778","4,837","4,974","5,100","5,283","5,477","5,672","5,826","5,924","6,027","6,213","6,411","6,552","6,690","6,827","6,939","7,039","7,122","7,189","7,311","7,379","7,411","7,432","7,432","7,432","7,846","7,905","7,971","8,033","8,075","8,135","8,163","8,199","8,249","8,324","8,403","8,443","8,534","8,626","8,720","8,767","8,801","8,831","8,844","8,873","8,931","9,010","9,070","9,084","9,115","9,133","9,178","9,253","9,309","9,355","9,436","9,454","9,489","9,499","9,538","9,589"
Somalia,80,116,135,164,237,286,286,328,328,390,436,480,528,582,601,601,671,722,756,835,873,928,928,997,"1,054","1,089","1,170","1,219","1,284","1,284","1,357","1,421","1,455","1,502","1,573","1,594","1,594","1,594","1,594","1,689","1,711","1,731","1,828","1,828","1,916","1,976","2,023","2,089","2,146","2,204","2,204","2,289","2,334","2,368","2,416","2,452","2,513","2,513","2,579","2,618","2,642","2,658","2,696","2,719","2,719","2,755","2,779","2,812","2,812","2,835","2,878","2,878","2,878","2,894","2,904","2,924","2,924","2,944","2,944","2,961","2,997","3,006","3,015","3,028","3,038","3,038","3,051","3,059","3,072","3,076","3,083","3,106","3,106","3,111","3,119","3,130","3,135","3,161","3,171","3,171","3,178","3,178","3,196","3,212","3,212","3,212","3,212","3,212","3,220","3,220","3,220","3,227","3,227","3,227","3,227","3,227","3,227","3,227","3,227","3,227"
Taiwan,395,395,398,420,422,425,426,427,428,429,429,429,429,429,429,429,432,432,438,438,439,440,440,440,440,440,440,440,440,440,440,440,440,440,440,441,441,441,441,441,441,441,441,442,442,442,443,443,443,443,443,443,443,443,443,443,443,443,443,443,445,445,445,446,446,446,446,446,446,446,447,447,447,447,447,447,447,448,449,449,449,449,449,449,449,451,451,451,451,451,451,452,454,454,455,455,455,455,455,458,458,458,462,467,467,467,467,474,475,475,476,476,477,477,479,480,480,480,481,481
Réunion,394,402,407,408,408,410,410,412,412,417,417,418,418,420,420,422,423,423,424,424,425,427,426,431,436,436,437,439,440,441,443,443,446,446,447,449,449,452,452,456,459,460,465,470,471,471,473,477,478,479,480,480,480,481,481,486,487,488,489,495,496,495,497,502,504,505,506,507,507,508,516,517,520,521,522,526,528,531,533,536,547,550,551,563,566,571,577,593,596,599,608,612,614,624,628,631,639,645,646,654,657,657,657,657,657,657,660,664,667,667,669,670,671,675,681,687,690,702,734,754
Mayotte,233,245,254,271,271,311,326,326,354,380,401,401,460,460,539,539,539,650,686,739,739,854,854,988,"1,023","1,023","1,095","1,143","1,210","1,210","1,312","1,342","1,370","1,370","1,475","1,475","1,521","1,521","1,587","1,609","1,634","1,645","1,670","1,699","1,699","1,699","1,934","1,986","1,993","2,058","2,079","2,079","2,079","2,151","2,175","2,226","2,240","2,268","2,282","2,298","2,310","2,333","2,345","2,383","2,394","2,404","2,404","2,434","2,434","2,467","2,508","2,508","2,508","2,508","2,560","2,603","2,643","2,650","2,661","2,661","2,661","2,679","2,688","2,688","2,702","2,711","2,711","2,711","2,724","2,724","2,743","2,778","2,782","2,782","2,782","2,808","2,824","2,839","2,862","2,862","2,862","2,862","2,900","2,900","2,905","2,962","2,962","2,962","2,962","3,008","3,023","3,031","3,042","3,068","3,068","3,068","3,068","3,091","3,091","3,119"
Mali,171,171,216,224,246,258,293,309,325,370,389,408,424,482,490,508,544,563,580,612,631,650,668,692,704,712,730,758,779,806,835,860,874,901,931,947,969,"1,015","1,030","1,059","1,077","1,116","1,194","1,226","1,250","1,265","1,315","1,351","1,386","1,461","1,485","1,523","1,533","1,547","1,586","1,667","1,722","1,752","1,776","1,809","1,860","1,885","1,890","1,906","1,923","1,923","1,933","1,961","1,978","2,005","2,039","2,060","2,118","2,147","2,173","2,181","2,202","2,260","2,285","2,303","2,330","2,331","2,348","2,358","2,370","2,404","2,406","2,411","2,412","2,423","2,433","2,440","2,467","2,472","2,475","2,475","2,477","2,494","2,494","2,503","2,503","2,510","2,513","2,520","2,521","2,522","2,535","2,535","2,541","2,543","2,543","2,546","2,552","2,561","2,565","2,567","2,573","2,577","2,582","2,597"
Kenya,234,246,262,270,281,296,303,320,336,343,355,363,374,384,396,411,435,465,490,535,582,607,621,649,672,700,715,737,758,781,830,887,912,963,"1,029","1,109","1,161","1,192","1,214","1,286","1,348","1,471","1,618","1,745","1,888","1,962","2,021","2,093","2,216","2,340","2,474","2,600","2,767","2,862","2,989","3,094","3,215","3,305","3,457","3,594","3,727","3,860","4,044","4,257","4,374","4,478","4,738","4,797","4,952","5,206","5,384","5,533","5,811","6,070","6,190","6,366","6,673","6,941","7,188","7,577","7,886","8,067","8,250","8,528","8,975","9,448","9,726","10,105","10,294","10,791","11,252","11,673","12,062","12,750","13,353","13,771","14,168","14,805","15,601","16,268","16,643","17,603","17,975","18,581","19,125","19,913","20,636","21,363","22,053","22,597","23,202","23,873","24,411","25,138","25,837","26,436","26,928","27,425","28,104","28,754"
