Country_Other,April16,April17,April18,April19,April20,April21,April22,April23,April24,April25,April26,April27,April28,April29,April30,May01,May02,May03,May04,May05,May06,May07,May08,May09,May10,May11,May12,May13,May14,May15,May16,May17,May18,May19,May20,May21,May22,May23,May24,May25,May26,May27,May28,May29,May30,May31,June01,June02,June03,June04,June05,June06,June07,June08,June09,June10,June11,June12,June13,June14,June15,June16,June17,June18,June19,June20,June21,June22,June23,June24,June25,June26,June27,June28,June29,June30,July01,July02,July03,July04,July05,July06,July07,July08,July09,July10,July11,July12,July13,July14,July15,July16,July17,July18,July19,July20,July21,July22,July23,July24,July25,July26,July27,July28,July29,July30,July31,August01,August02,August03,August04,August05,August06,August07,August08,August09,August10,August11,August12,August13,August14,August15,August16,August17,August18,August19,August20,August21,August22,August23
Bangladesh,103,117,129,145,162,180,198,219,240,262,283,306,332,363,393,426,462,494,532,567,605,641,676,710,745,789,830,878,924,976,"1,016","1,065","1,125","1,177","1,239","1,302","1,361","1,426","1,481","1,538","1,571","1,619",3,"1,745","1,805","1,877","1,951","2,024","2,100","2,177","2,263","2,338","2,418","2,496","2,586","2,683","2,778","2,876","2,976","3,065","3,156","3,242","3,348","3,465","3,557","3,642","3,736","3,831","3,930","4,029","4,138","4,251","4,343","4,452","4,561","4,672","4,781","4,892","4,981","5,070","5,155","5,241","5,321","5,416","5,511","5,593","5,660","5,727","5,803","5,866","5,951","6,029","6,110","6,176","6,241","6,322","6,400","6,473","6,548","6,621","6,684","6,745","6,823","6,900","6,985","7,063","7,140","7,193","7,215","7,241","7,287","7,355","7,432","7,509","7,580","7,645","7,722","7,812","7,901","7,981","8,059","8,137","8,197","8,273","8,361","8,450","8,535","8,613","8,682","8,747"
Colombia,"1,024","1,024","1,160","1,233","1,233","1,281","1,405","1,405","1,534","1,534","1,714","1,786","1,786","1,869","2,057","2,057","2,141","2,252","2,418","2,498","2,577","2,577","2,746","2,746","2,848","2,975","3,257","3,257","3,262","3,484","3,741","3,741","3,741","3,971","4,221","4,221","4,642","4,642","4,973","4,972","5,131","5,334",16,"5,574","6,027","6,290","6,290","6,889","7,129","7,368","7,610","7,857","8,077","8,294","8,513","8,750","9,013","9,249","9,494","9,733","9,980","10,224","10,523","10,825","11,173","11,517","11,879","12,194","12,475","12,808","13,172","13,542","13,910","14,266","14,612","14,951","15,305","15,685","16,089","16,502","16,914","17,315","17,730","18,150","18,572","19,028","19,767","20,260","20,762","21,265","21,264","21,874","22,778","23,297","23,769","24,289","24,821","25,386","25,944","26,504","27,083","27,673","28,268","28,879","29,511","30,195","30,900","31,607","32,346","33,094","33,839","34,589","35,374","36,168","36,855","37,477","38,136","38,922","39,714","40,500","41,312","42,063","43,677","44,350","45,124","45,868","46,606","47,288","48,086","48,555"
Finland,"8,970","9,475","10,035","10,342","10,685","11,154","12,372","12,814","13,446","14,041","14,493","14,878","15,485","16,207","16,947","17,615","18,373","18,463","18,680","19,185","19,528","20,232","21,026","21,495","21,929","22,253","22,831","24,040","24,731","25,381","25,976","26,500","27,023","27,492","28,196","28,914","29,423","29,893","30,127","30,452","30,971","31,284",56,"32,383","32,978","33,286","33,481","34,440","34,801","35,270","35,856","36,190","36,280","36,720","37,110","37,597","38,247","38,770","39,221","39,618","39,690","40,159","40,502","40,502","40,502","40,502","40,502","41,602","42,234","42,504","42,504","42,865","42,865","42,865","42,865","43,875","44,398","44,921","45,409","45,408","45,408","46,112","46,112","48,115","48,800","49,630","49,630","49,630","50,315","50,315","52,535","53,220","54,213","55,207","55,258","56,161","57,359","57,959","57,959","59,654","59,654","61,217","61,537","62,705","62,998","63,944","64,868","66,044","66,078","66,374","68,717","69,511","70,287","71,920","73,621","73,679","73,721","76,511","77,831","79,503","81,846","83,169","84,282","84,863","90,226","92,103","93,458","96,302","99,036","99,116"
South Africa,"1,603","1,700","1,821","1,934","2,049","2,140","2,256","2,421","2,569","2,715","2,843","3,009","3,119","3,324","3,499","3,668","3,890","4,144","4,342","4,520","4,711","4,926","5,189","5,464","5,755","6,004","6,233","6,514","6,807","7,119","7,423","7,783","8,022","8,251","8,559","8,872","9,169","9,529","9,857","10,075","10,230","10,720",10,"11,482","11,848","12,239","12,536","12,853","13,265","13,850","14,360","15,047","15,526","15,914","16,335","16,846","17,352","17,892","18,354","18,929","19,383","19,382","20,256","20,716","21,261","21,820","22,400","22,823","23,322","23,896","24,623","25,180","25,784","26,426","26,929","27,485","28,106","28,766","29,423","30,213","30,854","31,426","32,156","32,777","33,723","34,676","35,541","36,312","36,989","37,630","38,393","39,181","39,990","40,826","41,651","42,220","42,746","43,562","44,347","45,228","46,007","46,729","47,206","47,683","48,398","49,152","49,850","50,563","51,147","51,514","51,841","52,429","53,044","53,612","54,226","54,735","55,018","55,209","55,484","55,820","56,418","56,869","57,248","57,499","57,744","58,168","58,581","58,986","59,499","59,806"
Egypt,244,244,537,537,537,537,537,879,879,879,879,879,879,879,879,879,879,879,879,879,879,879,879,879,879,879,879,879,"1,029","1,323","1,322","1,322","1,322","1,322","1,322","1,322","1,322","1,322","1,322","1,322","1,322","1,322",8,"1,322","1,321","1,321","1,321","1,321","1,321","1,321","1,321","1,321","1,321","1,321","1,321","1,321","1,321","1,321","1,321","1,320","1,320","1,320","1,320","1,320","1,320","1,320","1,320","1,320","1,320","1,320","1,320","1,320","1,320","1,320","1,319","1,319","1,319","1,319","1,319","1,319","1,319","1,319","1,319","1,319","1,319","1,319","1,319","1,319","1,318","1,318","1,318","1,318","1,318","1,318","1,318","1,318","1,318","1,318","1,318","1,318","1,318","1,318","1,318","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,317","1,316","1,316","1,316","1,316","1,316","1,316","1,316","1,316","1,316","1,316","1,316","1,316"
Morocco,325,351,371,410,444,490,539,595,648,689,742,793,874,892,944,"1,003","1,067","1,141","1,227","1,343","1,435","1,531","1,622","1,708","1,786","1,869","1,946","2,056","2,114","2,215","2,306","2,441","2,566","2,723","2,846","3,065","3,348","3,623","3,876","4,129","4,377","4,630",5,"5,155","5,424","5,672","6,008","6,363","6,720","7,078","7,466","7,849","8,296","8,749","9,100","9,653","10,101","10,549","11,003","11,454","11,907","12,354","12,786","13,252","13,704","14,152","14,379","15,087","15,587","16,036","16,269","16,812","17,165","17,509","17,959","18,456","18,914","19,394","19,732","20,276","20,739","21,227","21,705","22,187","22,624","22,998","23,417","23,796","24,283","24,783","25,041","25,826","26,358","26,821","27,329","27,828","28,342","28,857","29,388","29,922","30,488","31,055","31,621","32,180","32,753","33,325","33,897","34,480","35,054","35,639","36,237","36,846","37,448","38,024","38,631","39,234","39,233","40,425","41,028","41,625","42,219","42,832","43,436","44,008","44,599","45,189","45,187","45,186","46,980","47,571"
Argentina,585,634,685,724,765,810,868,925,988,"1,049","1,104","1,104","1,186","1,240","1,298","1,361","1,413","1,456","1,503","1,543","1,600","1,664","1,724","1,786","1,837","1,884","1,937","2,002","2,075","2,146","2,223","2,286","2,344","2,406","2,489","2,584","2,686","2,788","2,866","2,956","3,026","3,105",11,"3,332","3,441","3,544","3,633","3,633","3,829","3,951","4,071","4,191","4,293","4,395","4,495","4,616","4,616","4,899","5,054","5,188","5,311","5,424","5,547","5,547","5,856","5,856","6,190","6,316","6,473","6,647","6,851","7,053","7,281","7,456","7,621","7,797","8,030","8,233","8,439","8,637","8,837","8,987","9,174","9,375","9,616","9,860","10,088","10,315","10,494","10,701","10,950","11,241","11,485","11,760","11,970","12,214","12,462","12,786","13,114","13,473","13,796","14,082","14,322","14,596","14,925","15,274","15,642","15,983","16,272","16,534","16,818","17,183","17,564","17,962","18,348","18,683","18,922","19,288","19,711","20,148","20,556","20,977","21,369","21,369","21,987","22,385","22,783","23,262","23,726","24,142"
Luxembourg,"50,577","51,749","53,120","53,781","53,992","55,852","57,649","58,933","60,357","61,526","62,307","62,465","63,486","66,708","68,122","71,720","75,817","76,869","77,222","78,755","80,726","82,883","85,078","87,005","88,262","88,525","90,089","92,155","94,021","96,034","96,445","99,493","99,660","100,858","102,465","104,002","105,186","106,668","108,385","108,985","110,136","112,241",176,"116,788","118,975","120,675","120,928","124,813","127,140","131,761","133,829","135,839","140,818","141,105","142,186","142,179","157,072","162,894","169,578","170,437","177,371","186,831","198,336","211,802","221,377","230,328","236,568","238,722","247,522","249,441","249,430","269,708","275,298","283,155","285,067","296,078","305,587","317,818","331,961","350,574","359,315","362,187","379,729","394,247","408,369","425,482","437,326","444,527","449,366","467,357","483,463","502,830","520,025","532,319","550,313","556,459","570,843","591,411","598,913","618,326","629,701","637,484","639,731","654,926","654,897","654,868","923,111","939,618","951,364","951,322","964,587","979,262","995,282","1,007,155","1,018,051","1,028,491","1,032,818","1,042,444","1,054,516","1,064,077","1,072,615","1,087,557","1,092,303","1,093,545","1,099,843","1,110,154","1,126,386","1,136,130","1,151,177","1,154,641"
Moldova,"2,283","2,441","2,441","2,600","2,916","2,916","2,916","2,916","2,916","2,916","2,916","2,916","2,916","2,916","2,916","2,916","2,916","5,069","5,069","5,069","5,069","5,069","5,069","5,069","5,069","5,069","5,069","5,069","5,067","5,067","5,067","5,067","5,067","5,067","10,053","10,053","10,053","10,054","10,054","10,054","10,054","10,054",70,"10,054","10,054","10,054","13,776","14,128","14,128","14,129","14,505","14,505","15,697","15,697","15,697","15,697","15,697","15,697","15,697","15,697","15,697","15,697","15,698","15,698","15,698","15,698","15,698","15,698","15,698","15,698","15,698","15,698","15,699","15,699","15,699","15,699","24,526","25,083","25,083","25,083","25,083","25,083","25,083","25,084","25,084","25,084","25,084","25,084","25,084","25,084","25,085","25,085","25,085","31,753","31,754","31,754","31,754","31,754","31,754","31,755","31,755","31,755","31,755","31,755","31,756","31,756","31,756","31,756","31,756","31,757","31,757","31,757","31,757","31,757","31,758","31,758","31,758","31,758","31,758","31,759","31,759","31,759","31,759","31,759","45,608","45,608","45,609","45,609","45,609","45,610"
Algeria,77,77,77,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,148,149,149,149,149,149,149,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Kuwait,,,,,,,,,,,,,"41,915","41,915","41,915","41,915","41,915","45,988","45,988","45,988","45,988","45,988","45,988","45,988","45,988","45,988","45,988","53,154","54,416","55,370","56,473","57,353","58,251","59,276","60,123","61,236","62,145","62,892","63,578","64,214","64,773","65,412",43,"66,203","68,000","67,997","67,994","67,991","71,100","71,735","72,411","73,046","73,901","74,601","75,353","76,022","76,669","77,365","77,868","78,409","79,056","79,699","80,371","81,141","81,861","82,378","83,017","83,767","84,618","85,548","86,314","87,195","87,950","88,839","89,656","90,600","91,568","92,574","93,542","94,344","95,053","95,834","96,812","97,825","98,994","99,955","100,535","101,428","102,380","103,247","104,189","105,200","106,002","107,021","107,486","108,267","109,235","110,199","111,086","112,158","112,154","112,149","114,520","115,622","116,567","117,454","118,132","118,696","119,169","119,640","120,209","121,268","122,105","123,055","123,715","124,464","125,265","126,115","127,138","128,102","129,167","129,946","130,610","131,618","132,853","133,971","134,980","135,799","136,730","137,295"
Thailand,"1,440","1,440","1,440","1,440","2,043","2,043","2,043","2,043","2,043","2,043","2,043","2,551","2,551","2,551","2,551","2,551","2,551","2,551","3,264","3,264","3,264","3,264","3,264","3,264","3,264","3,264","3,264","4,098","4,099","4,099","4,099","4,099","4,099","4,099","4,701","4,701","4,701","4,701","4,701","5,380","5,380","5,380",0.8,"5,380","5,380","5,380","6,026","6,026","6,026","6,026","6,026","6,026","6,026","6,708","6,708","6,708","6,708","6,708","6,708","6,708","6,708","6,708","6,708","6,708","6,708","6,708","6,708","6,708","6,708","6,708","6,708","6,708","6,707","6,707","6,707","8,648","8,648","8,648","8,648","8,648","8,648","8,648","8,648","8,648","8,648","8,648","8,648","8,648","8,648","8,648","8,647","8,647","8,647","8,647","8,647","8,647","9,817","9,817","9,817","9,817","9,817","9,817","9,816","10,282","10,282","10,282","10,282","10,282","10,282","10,731","10,731","10,731","10,731","10,731","10,731","10,731","10,731","10,731","10,731","10,730","10,730","10,730","10,730","10,730","10,730","10,730","10,730","10,730","10,730","10,730"
Kazakhstan,"4,566","4,566","5,373","5,373","6,282","6,749","7,414","8,175","8,175","9,613","10,454","10,948","11,518","12,378","13,289","14,301","15,065","15,771","16,343","17,064","17,920","18,845","19,765","20,510","21,218","21,767","22,475","23,406","24,523","25,776","26,947","26,946","28,838","29,496","30,481","31,544","32,690","33,900","35,045","35,821","36,644","37,875",2,"40,612","42,027","43,336","44,161","44,159","46,232","46,231","47,552","48,819","51,439","51,437","53,219","54,542","55,963","55,961","55,959","60,503","61,811","61,809","63,108","66,022","66,020","66,018","70,887","72,157","73,348","74,668","75,888","75,886","78,169","78,167","78,164","80,800","81,836","81,834","82,856","84,679","84,677","86,277","86,274","86,826","88,361","88,358","90,220","90,218","90,893","91,527","92,496","92,493","92,490","92,487","94,598","95,341","95,338","97,040","97,037","99,406","100,835","100,831","109,872","109,869","109,865","110,647","110,643","110,640","110,636","110,633","112,451","112,448","115,099","116,138","116,134","116,130","116,126","116,123","116,119","119,777","119,773","119,769","119,765","121,844","121,840","121,836","121,832","121,828","121,824","121,820"
Bahrain,"45,035","46,759","48,524","50,028","52,437","55,466","57,474","58,787","63,043","64,869","67,061","68,980","71,525","74,581","76,220","78,799","81,897","84,719","87,910","91,387","94,231","97,779","101,176","104,816","108,152","111,176","116,303","120,812","126,451","131,434","134,983","139,845","143,494","147,247","150,906","154,713","158,872","163,208","163,192","167,502","168,866","171,743",9,"179,408","182,572","185,651","189,897","194,996","198,020","203,567","208,725","212,981","216,308","220,592","222,853","227,485","232,044","237,397","241,972","246,407","250,375","257,940","262,383","267,479","272,315","276,869","281,185","285,823","285,796","295,799","300,885","306,529","311,288","319,814","320,569","325,897","331,820","337,514","343,340","348,174","353,901","359,711","365,122","370,605","376,131","381,265","385,716","391,311","396,678","402,434","407,223","412,740","417,212","421,303","426,203","431,651","437,010","441,539","446,337","452,611","457,601","462,736","468,492","474,005","479,432","484,701","487,191","489,614","494,128","494,081","502,975","508,369","513,691","519,146","523,098","528,399","534,236","540,763","546,813","553,223","558,671","563,384","568,990","574,324","580,083","585,673","592,064","597,273","602,579","608,138"
Greece,"4,871","4,871","5,113","5,113","5,214","5,341","5,463","5,684","5,891","6,053","6,199","6,341","6,700","6,920","7,212","7,412","7,503","7,611","7,767","8,035","8,352","8,639","9,114","9,343","9,488","9,533","10,175","10,749","11,145","11,508","12,109","12,324","12,627","13,041","13,372","13,816","14,188","14,672","14,765","14,868","15,439","15,943",17,"16,768","17,101","17,313","17,496","17,800","17,800","18,600","18,600","18,600","18,601","22,014","22,230","23,109","23,109","23,392","23,736","24,069","24,447","24,915","25,414","25,933","26,353","26,755","27,163","27,436","27,935","28,362","28,363","28,383","28,892","29,275","29,588","30,009","30,317","30,744","31,226","31,826","32,350","32,655","33,495","34,082","34,421","34,872","35,616","35,882","36,700","37,071","37,596","38,227","38,643","38,966","39,420","39,421","40,299","40,757","41,351","41,894","42,244","42,967","43,316","43,914","49,087","49,900","50,857","51,783","52,354","54,219","57,565","58,514","59,456","60,569","61,464","62,492","63,182","64,197","65,258","65,984","67,673","68,690","69,056","69,792","71,128","77,217","78,386","79,381","80,459","81,455"
Hungary,"3,984","4,305","4,544","4,798","4,975","5,181","5,455","5,734","6,030","6,294","6,574","6,793","6,953","7,277","7,552","7,901","8,235","8,489","8,691","8,857","8,979","9,734","10,254","10,689","11,206","11,611","11,875","12,267","12,755","13,167","13,601","13,985","14,203","14,353","14,771","15,266","16,124","16,482","16,861","17,037","17,207","17,590",53,"18,645","18,998","19,248","19,454","19,661","19,827","20,275","20,970","21,409","21,756","21,813","22,198","22,531","23,003","23,461","23,820","24,194","24,363","24,513","25,063","25,063","25,814","26,198","26,532","26,718","26,795","27,060","27,444","27,644","27,976","28,073","28,353","28,461","28,752","28,953","29,154","29,154","29,154","29,616","29,709","29,886","29,981","30,232","30,356","30,481","30,598","30,681","30,974","31,124","31,343","31,590","31,871","32,102","32,191","32,404","32,729","33,116","33,116","33,116","34,020","34,192","34,524","34,837","35,117","35,502","35,721","35,925","36,046","36,251","36,504","36,807","37,114","37,356","37,552","37,635","37,935","38,266","38,591","38,902","39,205","39,446","39,703","40,086","40,394","40,741","40,895","41,121"
Croatia,"4,910","5,104","5,273","5,891","6,482","6,482","6,726","7,028","7,360","7,530","7,703","7,994","8,179","8,398","8,823","8,993","9,148","9,277","9,510","9,737","10,000","10,216","10,566","10,771","10,934","10,934","11,566","11,872","12,253","12,552","12,761","13,115","13,344","13,583","13,881","14,141","14,585","14,817","14,968","15,197","15,504","15,646",25,"15,949","16,104","16,168","16,239","16,386","16,512","16,557","16,623","16,683","16,738","16,769","16,830","16,888","16,950","16,979","17,039","17,074","17,109","17,176","17,222","17,222","17,491","17,585","17,653","17,718","17,803","17,961","18,185","18,375","18,375","18,578","19,045","19,270","19,599","19,839","20,196","20,504","20,504","20,951","21,161","21,497","21,870","22,290","22,612","22,798","22,946","23,371","23,811","24,224","24,574","24,901","25,124","25,375","25,715","26,027","26,373","26,650","26,932","26,933","27,499","27,805","28,203","28,557","28,992","29,329","29,570","29,756","30,029","30,318","30,546","30,813","30,813","30,814","31,538","31,858","32,249","32,543","32,848","33,223","33,559","33,801","34,247","34,650","35,235","35,637","36,265","36,266"
Oman,,,,,,,,,,,,,,,"7,923","7,923","7,923","7,923","7,923","7,923","7,923","9,791","9,791","9,791","9,791","9,791","9,791","9,791","11,988","11,987","11,986","11,985","11,984","11,984","14,143","14,143","14,142","14,141","14,140","14,139","14,138","14,137",8,"14,135","14,134","19,841","19,663","19,661","19,660","19,659","20,141","20,753","21,322","21,849","22,375","22,895","25,405","26,090","26,703","27,406","28,048","28,561","29,107","29,105","29,754","30,231","30,779","31,667","32,437","33,137","33,887","34,670","35,159","35,802","36,884","37,493","38,182","38,973","39,723","39,720","39,717","41,741","42,522","43,300","44,365","45,257","46,004","46,700","47,904","47,910","49,592","50,509","51,429","52,203","52,971","53,741","54,657","55,591","56,241","56,851","56,847","58,068","58,749","59,117","59,370","59,745","59,741","59,736","59,732","59,728","59,724","60,244","60,411","60,407","60,403","60,399","60,395","60,390","60,386","60,382","60,378","60,374","60,369","60,365","60,361","60,357","60,353","60,348","60,344","60,340"
Uzbekistan,"2,988","4,063","4,063","4,063","4,063","4,482","4,482","6,274","6,274","6,274","7,247","7,247","7,247","7,247","7,247","7,247","7,247","7,247","9,710","9,710","9,710","9,710","9,710","9,710","9,710","9,710","9,710","9,710","9,729","13,770","13,769","13,769","13,768","13,768","13,767","13,767","13,766","13,766","13,765","13,765","13,764","13,763",0.4,"13,762","13,762","13,761","13,761","13,760","13,760","13,759","22,389","22,388","22,387","22,386","22,386","22,385","22,384","22,383","22,382","22,381","22,380","22,379","22,379","22,378","22,377","22,376","22,375","31,043","31,041","31,040","31,039","33,508","33,507","33,505","33,504","33,503","33,501","33,500","33,499","33,497","33,496","33,495","33,493","33,492","33,491","33,489","41,154","41,153","41,151","41,150","41,148","41,146","41,145","41,143","41,141","41,140","41,138","41,137","41,135","41,133","41,132","41,130","41,128","41,127","41,125","41,124","41,122","41,120","41,119","41,117","41,115","41,114","41,112","41,110","41,109","41,107","41,106","41,104","41,102","41,101","41,099","41,097","41,096","41,094","41,093","41,091","41,089","41,088","41,086","41,084"
Iraq,"1,225","1,286","1,341","1,396","1,468","1,513","1,563","1,613","1,673","1,696","1,777","1,834","1,834","2,156","2,289","2,372","2,443","2,567","2,675","2,821","2,927","2,998","3,057","3,106","3,161","3,225","3,293","3,397","3,506","3,505","3,505","3,733","3,732","3,732","3,732","3,732","4,383","4,533","4,658","4,846","4,968","5,143",4,"5,269","5,269","5,269","5,935","5,935","5,934","6,781","7,021","7,333","7,547","7,768","8,035","8,229","8,461","8,704","8,960","9,206","9,458","9,458","9,457","9,456","10,580","10,580","10,579","11,328","11,327","11,326","12,159","12,454","12,693","12,956","13,233","13,541","13,823","14,115","14,417","14,652","14,942","15,228","15,521","15,838","16,130","16,429","16,686","16,685","17,343","17,342","18,105","18,504","18,502","19,307","19,697","20,105","20,104","20,964","21,384","21,835","22,226","22,659","23,084","23,502","23,961","24,407","24,843","25,184","25,540","25,877","26,293","26,701","27,111","27,544","27,967","28,412","28,898","29,365","29,858","30,377","30,882","31,334","31,810","32,339","32,337","33,354","33,929","34,541","35,046","35,531"
Iceland,"111,955","115,859","120,416","120,416","126,429","128,445","130,312","132,143","132,709","134,716","135,833","135,906","135,906","139,411","141,873","143,988","146,529","147,713","147,921","150,465","151,397","151,397","154,567","156,076","158,816","158,816","160,563","161,395","163,146","164,883","166,413","166,801","166,818","167,710","169,000","170,748","170,745","170,742","170,739","172,586","173,260","174,800",29,"177,367","178,930","179,211","179,255","179,305","179,885","180,835","182,444","184,018","184,094","184,111","184,307","184,424","184,612","184,811","185,039","185,212","185,249","185,246","190,821","190,817","190,814","197,508","200,508","202,788","202,784","205,366","205,362","214,373","218,109","218,105","218,101","218,097","218,094","218,090","218,086","251,751","257,449","263,263","267,666","273,125","277,563","277,558","277,553","277,548","277,543","306,783","313,135","313,129","313,123","327,387","331,629","331,624","331,618","331,612","348,886","353,657","353,651","363,736","367,637","372,270","377,565","382,517","390,374","397,721","407,051","416,533","425,414","430,520","438,385","447,165","456,013","463,615","472,863","482,957","492,627","502,018","510,210","519,987","530,337","536,650","536,640","544,521","561,236","570,808","570,798","570,788"
Armenia,"3,250","3,642","3,981","4,279","4,513","4,701","5,051","5,386","5,586","5,852","6,051","6,259","6,512","6,813","7,129","7,484","7,810","8,159","8,417","8,722","9,088","9,455","9,856","10,258","10,661","10,988","11,242","11,732","12,157","12,650","13,166","13,579","14,126","14,528","14,876","15,467","16,085","16,566","17,011","17,414","17,738","18,118",38,"18,915","19,266","19,598","19,801","20,223","20,808","21,418","21,992","22,503","23,346","23,625","24,099","24,690","25,444","26,219","27,044","27,784","28,214","28,874","29,564","30,371","31,029","31,651","32,315","32,683","33,112","33,883","34,671","35,450","36,146","36,843","37,314","37,744","38,358","39,066","39,855","40,578","41,400","41,782","42,212","42,914","43,587","44,279","44,916","45,552","45,787","46,163","46,979","47,717","48,292","48,956","49,507","49,639","50,001","50,580","51,248","51,901","52,525","53,027","53,132","53,490","54,115","54,578","55,247","55,894","56,247","56,379","56,740","57,363","57,898","58,368","58,855","59,387","59,501","59,828","60,404","60,898","61,392","62,008","62,521","62,617","62,976","63,619","64,291","64,844","65,347","65,853"
Azerbaijan,"7,436","8,542","8,542","9,443","9,443","10,135","10,674","10,674","11,284","11,883","11,883","12,704","13,082","13,549","14,112","14,462","15,050","15,576","15,576","16,222","16,746","17,350","17,904","18,636","19,076","19,076","19,951","20,568","21,160","21,759","22,315","22,914","23,292","23,717","24,249","24,928","24,927","26,168","26,727","26,990","26,989","27,705",6,"28,099","29,045","29,044","29,899","30,586","31,141","31,835","32,408","32,407","32,407","33,887","33,886","35,132","35,785","35,784","35,783","35,782","38,173","38,172","39,208","39,808","39,807","41,148","41,147","42,063","42,062","43,597","44,313","45,000","45,556","45,555","46,902","47,556","47,555","47,554","49,603","50,277","50,939","51,553","52,252","52,976","52,975","54,460","54,459","56,028","56,817","56,815","58,443","59,302","59,300","61,102","61,898","62,569","63,261","64,069","64,938","65,827","65,826","65,824","68,047","68,876","69,842","70,681","71,447","72,163","72,824","73,401","74,031","74,806","75,499","76,174","76,808","77,360","77,852","78,473","79,264","80,003","80,786","81,380","81,940","82,446","82,444","83,695","84,301","84,889","85,532","86,065"
Estonia,"27,156","28,340","29,856","30,405","30,855","31,822","32,895","34,059","34,889","35,680","36,134","36,491","37,336","38,588","39,758","40,532","41,057","41,617","42,052","43,288","44,443","45,630","46,563","47,281","47,773","48,219","48,981","49,831","50,610","51,339","51,899","52,411","52,915","52,915","54,631","55,586","56,244","56,730","57,129","57,129","58,868","60,013",50,"61,607","62,382","62,904","63,444","64,212","64,834","65,931","66,341","67,095","67,849","68,316","68,602","69,356","70,741","71,403","71,617","72,369","72,852","73,653","74,632","75,684","76,704","77,260","77,591","77,805","77,805","78,363","78,626","78,626","79,388","79,663","79,924","80,499","80,992","81,527","81,820","82,018","82,235","82,423","82,906","83,338","83,695","84,026","84,279","84,395","84,559","84,876","85,279","85,611","85,933","86,145","86,264","86,343","86,644","87,078","87,408","87,692","87,692","88,130","88,228","88,452","88,867","89,381","89,863","90,261","90,520","90,713","91,196","91,918","92,626","93,349","94,404","94,404","95,533","96,644","97,715","97,715","99,703","100,634","101,422","101,656","102,617","103,483","104,146","104,819","105,683","106,030"
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,550","4,549","4,549","4,549","4,548","5,081","5,081","5,081","5,080","5,080","5,080","5,079","5,079","5,455","5,454","5,454","5,454","5,453","5,603","5,603","5,602","5,602","5,602","5,601","5,601","5,601","5,600","5,600","5,599","5,599","5,599","5,598","5,598","5,598","5,597","5,597","5,596","5,596","5,596","5,595","5,595","5,594","5,594","5,594"
Ghana,"1,632","1,632","1,960","2,207","2,207","2,207","2,207","2,207","2,838","2,838","3,238","3,238","3,238","3,238","3,653","3,653","3,653","3,767","4,166","4,166","4,166","4,374","4,826","4,995","4,995","5,165","5,219","5,292","5,413","5,412","5,539","5,586","5,585","5,826","5,948","6,063","6,200","6,248","6,248","6,360","6,560","6,640",1,"6,718","6,824","6,931","7,042","7,042","7,041","7,191","7,309","7,384","7,533","7,588","7,715","7,714","7,740","7,804","7,908","8,194","8,193","8,246","8,311","8,417","8,417","8,608","8,608","8,704","8,937","9,019","9,116","9,222","9,287","9,286","9,492","9,579","9,672","9,672","9,671","9,884","9,980","10,086","10,193","10,298","10,388","10,388","10,519","10,563","10,658","10,657","10,809","10,917","10,995","11,066","11,157","11,245","11,373","11,484","11,483","11,741","11,866","12,040","12,172","12,300","12,300","12,299","12,575","12,747","12,746","12,832","12,832","13,035","13,035","13,148","13,147","13,290","13,348","13,390","13,389","13,388","13,535","13,622","13,674","13,710","13,760","13,794","13,841","13,876","13,875","13,911"
Afghanistan,,,,165,165,165,165,165,165,191,208,223,231,231,257,272,284,284,284,336,354,370,370,400,400,400,465,481,508,537,566,583,605,636,662,688,718,758,774,817,846,872,6,925,961,990,"1,020","1,054","1,088","1,121","1,162","1,181","1,218","1,243","1,274","1,303","1,352","1,381","1,409","1,440","1,480","1,522","1,551","1,584","1,607","1,644","1,670","1,693","1,717","1,729","1,764","1,788","1,801","1,819","1,838","1,858","1,873","1,889","1,908","1,931","1,946","1,963","1,975","1,990","2,009","2,027","2,037","2,047","2,049","2,086","2,103","2,114","2,128","2,134","2,150","2,154","2,161","2,170","2,191","2,206","2,210","2,229","2,241","2,252","2,262","2,270","2,284","2,289","2,289","2,292","2,291","2,303","2,317","2,373","2,376","2,376","2,376","2,480","2,491","2,505","2,506","2,519","2,529","2,530","2,530","2,530","2,565","2,571","2,578","2,585"
