Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
Bulgaria,"539,619","+1,867","22,231",+43,"457,356","60,032",512,"78,423","3,231","5,082,506","738,640"
Sri Lanka,"531,070",+649,"13,472",+23,"492,305","25,293",0,"24,668",626,"5,381,256","249,953"
Ecuador,"513,026",0,"32,899",0,"443,880","36,247",759,"28,520","1,829","1,878,768","104,445"
Bolivia,"506,150",+451,"18,824",+6,"467,916","19,410",220,"42,612","1,585","2,470,832","208,014"
Azerbaijan,"498,630",0,"6,734",0,"476,964","14,932",0,"48,614",657,"5,000,973","487,567"
Myanmar,"486,851","+1,205","18,329",+32,"439,146","29,376",0,"8,871",334,"4,611,499","84,028"
Panama,"470,162",+164,"7,291",+3,"460,503","2,368",49,"106,800","1,656","3,973,236","902,546"
Paraguay,"460,341",+19,"16,210",+1,"443,981",150,10,"63,535","2,237","1,868,050","257,824"
Slovakia,"435,650","+1,941","12,833",+17,"402,200","20,617",211,"79,745","2,349","3,757,895","687,874"
Croatia,"426,613","+1,947","8,877",+15,"407,405","10,331",114,"104,753","2,180","2,963,298","727,622"
Palestine,"417,526",+270,"4,308",+9,"401,234","11,984",64,"79,469",820,"2,570,995","489,342"
Ireland,"413,734","+2,180","5,306",0,"365,995","42,433",71,"82,600","1,059","7,760,890","1,549,427"
Kuwait,"412,297",+39,"2,456",+1,"409,269",572,8,"94,739",564,"4,561,680","1,048,197"
Venezuela,"391,413","+1,368","4,707",+14,"371,501","15,205",681,"13,815",166,"3,359,014","118,559"
Uruguay,"390,915",+153,"6,067",+1,"383,286","1,562",13,"112,034","1,739","3,703,501","1,061,400"
Honduras,"372,179",+318,"10,097",+13,"113,676","248,406",217,"36,822",999,"1,069,940","105,856"
Dominican Republic,"369,700",+870,"4,084",+2,"357,939","7,677",222,"33,645",372,"2,136,729","194,458"
Denmark,"368,060",+753,"2,680",+1,"356,970","8,410",15,"63,257",461,"84,708,443","14,558,427"
Lithuania,"366,639","+2,858","5,411",+25,"328,931","32,297",269,"137,153","2,024","5,288,998","1,978,515"
Ethiopia,"358,739",+394,"6,197",+28,"328,521","24,021",613,"3,024",52,"3,597,951","30,330"
Libya,"349,210",0,"4,860",0,"277,701","66,649",0,"49,947",695,"1,733,052","247,873"
S. Korea,"340,978","+1,617","2,644",+18,"308,187","30,147",371,"6,643",52,"15,198,192","296,110"
Mongolia,"336,508","+1,643","1,527",+14,"300,074","34,907",192,"100,562",456,"4,022,930","1,202,208"
Egypt,"317,585",+874,"17,926",+42,"268,210","31,449",90,"3,030",171,"3,693,367","35,236"
