Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"221,961,814","+404,360","4,588,341","+6,703","198,544,519","18,828,954","105,069","28,476",588.6,0,0
China,"95,028",+18,"4,636",0,"89,552",840,5,66,3,"160,000,000","111,163"
USA,"40,865,794","+39,644","666,559",+236,"31,335,278","8,863,957","25,666","122,612","2,000","593,371,220","1,780,322"
India,"33,057,320","+30,184","441,075",+290,"32,217,462","398,783","8,944","23,680",316,"531,468,867","380,705"
Brazil,"20,899,933","+9,154","583,866",+238,"19,894,660","421,407","8,318","97,507","2,724","57,095,219","266,373"
Russia,"7,030,455","+17,856","187,990",+790,"6,285,007","557,458","2,300","48,151","1,288","181,200,000","1,241,024"
UK,"7,018,927","+41,192","133,274",+45,"5,636,813","1,248,840","1,034","102,755","1,951","276,466,413","4,047,405"
France,"6,839,494","+3,042","115,007",+102,"6,390,073","334,414","2,223","104,509","1,757","129,298,105","1,975,702"
Turkey,"6,519,016","+20,962","58,377",+271,"5,959,992","500,647",633,"76,326",683,"78,213,523","915,745"
Argentina,"5,207,695","+3,893","112,673",+162,"4,905,843","189,179","2,293","113,991","2,466","22,558,730","493,787"
Iran,"5,156,986","+27,579","111,257",+583,"4,394,083","651,646","7,628","60,485","1,305","29,227,907","342,806"
Colombia,"4,919,773","+1,124","125,331",+53,"4,754,655","39,787",542,"95,487","2,433","24,441,726","474,387"
Spain,"4,887,394","+3,213","84,928",+45,"4,481,643","320,823","1,382","104,485","1,816","60,618,810","1,295,933"
Italy,"4,574,787","+3,361","129,567",+52,"4,309,200","136,020",570,"75,796","2,147","85,654,396","1,419,135"
Indonesia,"4,133,433","+4,413","136,473",+612,"3,850,689","146,271",0,"14,926",493,"33,389,398","120,567"
Germany,"4,020,573","+6,765","92,902",+39,"3,775,500","152,171","1,217","47,807","1,105","70,379,237","836,848"
Mexico,"3,428,384","+7,504","263,140",+272,"2,768,946","396,298","4,798","26,265","2,016","9,959,493","76,300"
Poland,"2,890,665",+182,"75,379",0,"2,657,745","157,541",64,"76,477","1,994","19,987,633","528,807"
South Africa,"2,824,063","+4,118","83,617",+198,"2,599,667","140,779",546,"46,919","1,389","16,779,074","278,766"
Ukraine,"2,298,307",+773,"54,001",+18,"2,213,177","31,129",177,"52,928","1,244","12,108,589","278,851"
Peru,"2,155,508",+474,"198,523",+35,0,0,"1,158","64,318","5,924","16,988,123","506,905"
Philippines,"2,103,296","+22,380","34,337",+103,"1,909,228","159,731","3,050","18,897",309,"19,216,097","172,650"
Netherlands,"1,956,348","+2,115","18,040",+3,"1,865,476","72,832",217,"113,876","1,050","16,718,169","973,137"
Iraq,"1,922,942","+5,650","21,162",+62,"1,779,187","122,593",738,"46,577",513,"14,564,847","352,788"
Malaysia,"1,862,187","+17,352","18,491",+272,"1,591,028","252,668",975,"56,679",563,"23,548,522","716,740"
Czechia,"1,680,700",+139,"30,408",0,"1,648,213","2,079",9,"156,600","2,833","36,406,373","3,392,177"
Chile,"1,641,526",+435,"37,108",+18,"1,598,800","5,618",575,"85,010","1,922","20,605,464","1,067,096"
Japan,"1,572,283","+13,819","16,354",+41,"1,364,300","191,629","2,198","12,477",130,"22,522,515","178,723"
Bangladesh,"1,517,166","+2,710","26,628",+65,"1,455,187","35,351","1,524","9,105",160,"9,091,610","54,563"
Canada,"1,516,094",+927,"27,022",+1,"1,451,495","37,577",405,"39,758",709,"40,781,599","1,069,466"
Thailand,"1,294,522","+13,988","13,042",+187,"1,132,858","148,622","5,174","18,491",186,"9,201,621","131,439"
Belgium,"1,195,488","+1,492","25,413",+8,"1,105,366","64,709",194,"102,624","2,182","18,821,590","1,615,700"
Pakistan,"1,182,918","+3,613","26,232",+57,"1,064,319","92,367","5,606","5,235",116,"18,110,457","80,155"
Sweden,"1,130,525",0,"14,651",0,"1,090,691","25,183",49,"111,123","1,440","11,935,233","1,173,156"
Israel,"1,117,596",0,"7,205",0,"1,026,173","84,218",677,"119,837",773,"19,622,008","2,104,011"
Romania,"1,107,043","+1,035","34,714",+25,"1,058,587","13,742",405,"58,003","1,819","11,716,320","613,872"
Portugal,"1,047,710",+663,"17,810",+12,"987,935","41,965",140,"103,105","1,753","17,151,291","1,687,859"
Morocco,"886,008","+1,923","13,145",+72,"828,148","44,715","1,085","23,673",351,"9,177,259","245,207"
