Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"52,422,155","+613,836","1,288,900","+10,185","36,668,552","14,464,703","94,763","6,725",165.4,0,0
China,"86,284",+17,"4,634",0,"81,228",422,6,60,3,"160,000,000","111,163"
USA,"10,708,728","+142,906","247,398","+1,479","6,648,705","3,812,625","18,683","32,283",746,"161,917,567","488,128"
India,"8,684,039","+48,285","128,165",+550,"8,064,548","491,326","8,944","6,270",93,"120,769,151","87,202"
Brazil,"5,749,007","+47,724","163,406",+564,"5,064,344","521,257","8,318","26,977",767,"21,900,000","102,764"
France,"1,865,538","+35,879","42,535",+328,"133,696","1,689,307","4,803","28,557",651,"18,282,590","279,865"
Russia,"1,836,960","+19,851","31,593",+432,"1,369,357","436,010","2,300","12,586",216,"66,100,000","452,872"
Spain,"1,463,093","+19,096","40,105",+349,0,0,"3,093","31,288",858,"19,394,289","414,750"
Argentina,"1,273,356","+10,880","34,531",+348,"1,081,897","156,928","4,418","28,080",761,"3,346,229","73,792"
UK,"1,256,725","+22,950","50,365",+595,0,0,"1,219","18,477",740,"37,147,111","546,150"
Colombia,"1,165,326","+8,651","33,312",+164,"1,070,423","61,591","2,376","22,814",652,"5,549,461","108,643"
Italy,"1,028,424","+32,961","42,953",+623,"372,113","613,358","3,081","17,019",711,"17,965,836","297,304"
Mexico,"978,531","+5,746","95,842",+617,"725,846","156,843","2,615","7,561",741,"2,537,046","19,602"
Peru,"928,006","+2,575","35,031",+39,"853,208","39,767",991,"28,004","1,057","4,721,179","142,470"
South Africa,"742,394","+2,140","20,011",+60,"686,458","35,925",546,"12,461",336,"5,037,782","84,555"
Germany,"726,176","+20,536","12,082",+222,"454,800","259,294","3,127","8,657",144,"23,393,311","278,883"
Iran,"715,068","+11,780","39,664",+462,"536,105","139,299","5,601","8,474",470,"5,344,821","63,340"
Poland,"618,813","+25,221","8,805",+430,"242,875","367,133","1,975","16,357",233,"5,392,636","142,544"
Chile,"524,804",+897,"14,633",+22,"501,426","8,745",721,"27,368",763,"4,667,350","243,396"
Iraq,"508,508","+3,198","11,482",+50,"436,657","60,369",384,"12,542",283,"3,055,845","75,368"
Belgium,"507,475","+4,293","13,561",+345,"30,504","463,410","1,470","43,717","1,168","5,321,108","458,397"
Ukraine,"489,808","+10,611","8,947",+191,"221,459","259,402",177,"11,225",205,"3,648,292","83,606"
Indonesia,"448,118","+3,770","14,836",+75,"378,982","54,300",0,"1,632",54,"4,896,793","17,834"
Czechia,"438,805","+8,925","5,570",+247,"285,241","147,994","1,206","40,948",520,"2,661,910","248,399"
Bangladesh,"425,353","+1,733","6,127",+19,"343,131","76,095",0,"2,573",37,"2,484,688","15,033"
Netherlands,"424,819","+5,407","8,215",+74,0,0,629,"24,773",479,"3,711,716","216,442"
Turkey,"402,053","+2,693","11,145",+86,"344,613","46,295","3,095","4,749",132,"15,565,409","183,839"
Philippines,"401,413","+1,669","7,710",+49,"362,206","31,497","1,455","3,646",70,"5,141,325","46,693"
Saudi Arabia,"351,849",+394,"5,590",+14,"338,702","7,557",786,"10,050",160,"8,675,422","247,800"
Pakistan,"348,184","+1,708","7,021",+21,"320,065","21,098","1,109","1,565",32,"4,773,496","21,460"
Romania,"324,094","+9,799","8,389",+203,"218,086","97,619","1,092","16,889",437,"3,557,958","185,405"
Israel,"321,326",+665,"2,700",+16,"310,605","8,021",305,"34,936",294,"4,929,865","535,995"
Canada,"277,061","+4,024","10,685",+53,"223,199","43,177",238,"7,318",282,"10,097,037","266,676"
Morocco,"270,626","+5,461","4,506",+81,"221,743","44,377",970,"7,301",122,"3,553,127","95,851"
Switzerland,"243,472","+8,270","3,113",+100,"130,000","110,359",498,"28,057",359,"2,287,029","263,552"
Nepal,"202,329","+2,569","1,174",+26,"162,243","38,912",0,"6,899",40,"1,574,295","53,683"
Portugal,"192,172","+4,935","3,103",+82,"110,353","78,716",391,"18,867",305,"3,811,422","374,192"
Ecuador,"176,630",+919,"12,920",+71,"154,956","8,754",337,"9,957",728,"580,169","32,704"
Austria,"172,380","+7,514","1,564",+65,"103,759","67,057",536,"19,100",173,"2,537,179","281,123"
Sweden,"166,707",0,"6,082",+10,0,0,129,"16,469",601,"2,431,770","240,240"
UAE,"145,599","+1,214",520,+2,"140,442","4,637",0,"14,657",52,"14,473,896","1,457,044"
Bolivia,"142,664",+103,"8,808",+6,"115,199","18,657",71,"12,162",751,"341,225","29,088"
Panama,"142,465","+1,163","2,823",+6,"120,823","18,819",145,"32,831",651,"733,808","169,108"
Qatar,"134,887",+224,233,0,"131,926","2,728",36,"48,040",83,"1,030,640","367,063"
Kuwait,"134,159",+778,826,+5,"124,905","8,428",108,"31,248",192,"986,144","229,688"
Dominican Republic,"131,265",+134,"2,272",+3,"109,057","19,936",182,"12,057",209,"630,586","57,919"
Jordan,"126,401","+5,419","1,467",+81,"9,416","115,518",405,"12,344",143,"2,117,042","206,743"
Hungary,"122,863","+3,945","2,697",+101,"28,808","91,358",473,"12,730",279,"1,259,454","130,496"
Costa Rica,"119,768","+1,202","1,513",+11,"73,509","44,746",197,"23,433",296,"336,529","65,843"
Oman,"119,186",+302,"1,321",+5,"109,633","8,232",134,"23,130",256,"376,700","73,103"
Kazakhstan,"117,904",+568,"1,899",0,"108,387","7,618",221,"6,252",101,"3,645,655","193,320"
Guatemala,"112,811",+682,"3,845",+13,"102,643","6,323",5,"6,255",213,"466,007","25,839"
Armenia,"110,548","+1,861","1,636",+27,"68,336","40,576",0,"37,281",552,"448,450","151,234"
Japan,"110,156","+1,173","1,841",+12,"99,108","9,207",204,872,15,"2,924,555","23,149"
Egypt,"109,881",+227,"6,405",+11,"100,662","2,814",46,"1,067",62,"1,000,000","9,706"
Belarus,"109,357","+1,057","1,022",+6,"92,266","16,069",0,"11,574",108,"2,750,021","291,064"
Honduras,"100,804",+231,"2,780",+15,"43,507","54,517",16,"10,119",279,"243,725","24,467"
Ethiopia,"100,727",+400,"1,545",+8,"62,497","36,685",292,868,13,"1,539,653","13,275"
Lebanon,"98,829","+1,922",763,+14,"54,869","43,197",300,"14,503",112,"1,356,055","199,006"
Venezuela,"95,750",+305,838,+4,"90,743","4,169",117,"3,371",30,"2,225,608","78,349"
Bulgaria,"87,311","+3,945","1,898",+47,"26,714","58,699",276,"12,601",274,"826,152","119,230"
Moldova,"84,707","+1,115","1,950",+20,"66,115","16,642",896,"21,016",484,"402,740","99,923"
Bahrain,"84,042",+231,332,+1,"81,658","2,052",27,"48,793",193,"1,865,380","1,082,991"
Slovakia,"79,181","+2,058",414,+24,"23,247","55,520",117,"14,500",76,"925,987","169,576"
Tunisia,"74,522","+1,529","2,100",+94,"51,750","20,672",284,"6,282",177,"391,757","33,022"
Croatia,"72,840","+2,597",893,+28,"56,434","15,513",178,"17,784",218,"582,170","142,135"
Libya,"70,885",+875,970,+13,"42,098","27,817",0,"10,266",140,"357,869","51,827"
Serbia,"70,424","+3,536",936,+21,"31,536","37,952",143,"8,072",107,"1,455,156","166,792"
Uzbekistan,"69,330",+303,591,+3,"66,609","2,130",250,"2,061",18,"1,377,915","40,955"
Paraguay,"69,106",+609,"1,532",+16,"49,545","18,029",112,"9,646",214,"392,876","54,838"
Azerbaijan,"68,594","+1,202",885,+18,"51,007","16,702",0,"6,743",87,"1,467,842","144,296"
Bosnia and Herzegovina,"66,565","+1,541","1,701",+72,"32,769","32,095",0,"20,336",520,"357,527","109,226"
Georgia,"66,561","+2,911",566,+45,"49,811","16,184",0,"16,697",142,"1,012,265","253,933"
Ireland,"66,247",+358,"1,965",+2,"23,364","40,918",39,"13,362",396,"1,756,512","354,292"
Kenya,"65,804","+1,216","1,180",+26,"43,626","20,998",57,"1,214",22,"760,775","14,038"
Nigeria,"64,516",+180,"1,162",+2,"60,737","2,617",10,310,6,"687,952","3,308"
