Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"36,032,980","+311,592","1,054,057","+5,553","27,140,006","7,838,917","67,784","4,623",135.2,0,0
China,"85,482",+12,"4,634",0,"80,635",213,2,59,3,"160,000,000","111,163"
USA,"7,722,746","+43,660","215,822",+790,"4,935,545","2,571,379","14,508","23,295",651,"113,319,318","341,816"
India,"6,754,179","+72,106","104,591",+991,"5,741,253","908,335","8,944","4,882",76,"81,071,797","58,595"
Brazil,"4,970,953","+30,454","147,571",+798,"4,352,871","470,511","8,318","23,342",693,"17,900,000","84,053"
Russia,"1,237,504","+11,615","21,663",+188,"988,576","227,265","2,300","8,479",148,"48,337,992","331,193"
Colombia,"869,808","+7,650","27,017",+173,"770,812","71,979","2,220","17,046",529,"3,967,885","77,761"
Spain,"865,631","+12,793","32,486",+261,0,0,"1,544","18,512",695,"13,689,776","292,769"
Peru,"832,929","+2,930","32,914",+80,"718,065","81,950","1,268","25,169",995,"3,975,007","120,117"
Argentina,"824,468","+14,740","21,827",+359,"660,272","142,369","4,007","18,198",482,"2,110,994","46,594"
Mexico,"789,780","+3,417","81,877",+180,"553,937","153,966","2,353","6,109",633,"2,007,202","15,525"
South Africa,"683,242","+1,027","17,103",+87,"616,857","49,282",539,"11,482",287,"4,294,931","72,176"
France,"634,763","+10,489","32,365",+66,"99,295","503,103","1,426","9,719",496,"11,699,517","179,132"
UK,"530,113","+14,542","42,445",+76,0,0,393,"7,798",624,"26,147,138","384,622"
Iran,"479,825","+4,151","27,419",+227,"394,800","57,606","4,200","5,693",325,"4,179,338","49,591"
Chile,"473,306","+1,560","13,070",+33,"445,418","14,818",847,"24,703",682,"3,529,067","184,191"
Iraq,"387,121","+4,172","9,531",+67,"316,371","61,219",479,"9,569",236,"2,395,387","59,208"
Bangladesh,"371,631","+1,499","5,405",+30,"284,833","81,393",0,"2,251",33,"2,013,776","12,195"
Saudi Arabia,"337,243",+477,"4,923",+25,"322,612","9,708",932,"9,648",141,"6,775,933","193,840"
Italy,"330,263","+2,677","36,030",+28,"234,099","60,134",319,"5,465",596,"11,944,088","197,626"
Turkey,"327,557","+1,511","8,553",+55,"287,599","31,405","1,414","3,873",101,"11,044,338","130,579"
Philippines,"326,812","+2,072","5,865",+25,"273,286","47,661","1,758","2,972",53,"3,946,226","35,886"
Pakistan,"315,727",+467,"6,523",+6,"300,616","8,588",516,"1,422",29,"3,702,607","16,678"
Indonesia,"311,176","+4,056","11,374",+121,"236,437","63,365",0,"1,134",41,"3,551,507","12,948"
Germany,"307,119","+2,462","9,635",+19,"265,600","31,884",447,"3,662",115,"16,999,253","202,720"
Israel,"277,026","+4,717","1,797",+40,"211,397","63,832",880,"30,119",195,"3,783,730","411,383"
Ukraine,"234,584","+4,348","4,520",+90,"103,401","126,663",177,"5,373",104,"2,423,031","55,495"
Canada,"171,323","+2,363","9,530",+26,"143,994","17,799",148,"4,529",252,"7,759,301","205,109"
Netherlands,"144,999","+4,528","6,482",+21,0,0,211,"8,457",378,"2,656,731","154,956"
Ecuador,"142,056",+717,"11,702",+21,"120,511","9,843",354,"8,020",661,"455,122","25,694"
Romania,"139,612","+2,121","5,121",+73,"109,898","24,593",608,"7,270",267,"2,540,222","132,284"
Morocco,"137,248","+2,553","2,410",+41,"115,354","19,484",434,"3,707",65,"2,753,882","74,376"
Bolivia,"137,107",+239,"8,129",+28,"98,007","30,971",71,"11,704",694,"308,129","26,302"
Belgium,"132,203","+1,968","10,078",+14,"19,719","102,406",195,"11,394",869,"3,426,621","295,319"
Qatar,"126,943",+251,216,0,"123,893","2,834",56,"45,211",77,"805,365","286,831"
Panama,"116,602",+683,"2,440",+10,"92,950","21,212",116,"26,913",563,"514,367","118,720"
Dominican Republic,"115,371",+317,"2,149",+5,"91,569","21,653",183,"10,607",198,"498,081","45,793"
Kazakhstan,"108,296",+60,"1,746",+3,"103,367","3,183",221,"5,749",93,"2,973,489","157,861"
Kuwait,"108,268",+676,632,+4,"100,179","7,457",139,"25,254",147,"764,608","178,347"
Poland,"104,316","+2,236","2,717",+58,"74,158","27,441",263,"2,757",72,"3,489,641","92,232"
Egypt,"103,902",+121,"6,001",+11,"97,449",452,41,"1,010",58,"135,000","1,313"
Oman,"102,648",+834,990,+5,"91,275","10,383",210,"19,970",193,"376,700","73,286"
UAE,"100,794","+1,061",435,+6,"90,556","9,803",0,"10,159",44,"10,322,913","1,040,407"
Sweden,"96,145",0,"5,883",+5,0,0,23,"9,504",582,"1,661,484","164,242"
Guatemala,"94,870",+688,"3,310",+8,"83,480","8,080",5,"5,270",184,"342,674","19,035"
Nepal,"90,814","+1,551",563,+9,"67,542","22,709",0,"3,102",19,"1,099,276","37,551"
Czechia,"90,022","+4,456",794,+36,"48,788","40,440",326,"8,402",74,"1,476,013","137,761"
Japan,"86,047",+308,"1,602",+3,"79,071","5,374",140,681,13,"2,196,831","17,384"
Costa Rica,"82,142","+1,013","1,004",+17,"50,020","31,118",214,"16,086",197,"245,115","48,001"
Belarus,"81,090",+394,868,+6,"75,376","4,846",0,"8,582",92,"1,957,957","207,224"
Portugal,"80,312",+427,"2,032",+14,"50,712","27,568",104,"7,882",199,"2,711,918","266,170"
Honduras,"80,020",+391,"2,433",+11,"29,768","47,819",29,"8,045",245,"188,174","18,920"
Ethiopia,"80,003",+566,"1,238",+8,"34,960","43,805",282,691,11,"1,312,910","11,348"
Venezuela,"79,796",+679,665,+7,"70,719","8,412",198,"2,808",23,"1,969,847","69,326"
Bahrain,"73,476",+360,262,+1,"68,606","4,608",71,"42,804",153,"1,498,843","873,155"
Nigeria,"59,583",+118,"1,113",0,"51,308","7,162",7,287,5,"538,815","2,597"
Uzbekistan,"59,343",+397,489,+4,"56,058","2,796",252,"1,766",15,"1,377,915","41,013"
Singapore,"57,830",+11,27,0,"57,612",191,1,"9,864",5,"3,072,368","524,063"
Moldova,"57,732",+831,"1,389",+14,"41,938","14,405",755,"14,320",345,"296,908","73,648"
Switzerland,"56,632",+700,"2,081",+3,"47,300","7,251",39,"6,531",240,"1,424,477","164,271"
