Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"210,064,652","+695,990","4,404,468","+10,574","188,193,212","17,466,972","108,033","26,949",565.1,0,0
China,"94,500",+28,"4,636",0,"87,908","1,956",67,66,3,"160,000,000","111,163"
USA,"38,072,656","+158,127","641,346","+1,055","30,341,886","7,089,424","21,134","114,266","1,925","561,827,980","1,686,190"
India,"32,320,898","+35,797","433,063",+511,"31,516,224","371,611","8,944","23,164",310,"498,503,281","357,271"
Brazil,"20,458,221","+41,017","571,703",+985,"19,362,990","523,528","8,318","95,481","2,668","56,023,684","261,470"
Russia,"6,663,473","+20,914","172,909",+799,"5,939,037","551,527","2,300","45,639","1,184","173,200,000","1,186,259"
France,"6,533,383","+28,405","112,976",+112,"5,966,375","454,032","1,807","99,843","1,726","111,773,788","1,708,122"
UK,"6,355,887","+33,904","131,260",+111,"4,923,892","1,300,735",925,"93,074","1,922","259,176,591","3,795,312"
Turkey,"6,138,452","+19,944","53,675",+168,"5,651,819","432,958",633,"71,910",629,"72,681,603","851,445"
Argentina,"5,106,207","+9,764","109,652",+247,"4,774,760","221,795","3,489","111,822","2,401","20,976,494","459,370"
Colombia,"4,877,323","+3,154","123,781",+93,"4,702,478","51,064","8,155","94,715","2,404","23,530,438","456,950"
Spain,"4,745,558","+11,956","82,883",+144,"4,038,026","624,649","1,861","101,454","1,772","59,650,532","1,275,259"
Iran,"4,556,417","+39,174","99,691",+583,"3,814,127","642,599","7,490","53,476","1,170","27,177,565","318,967"
Italy,"4,456,765","+7,162","128,579",+69,"4,199,404","128,782",442,"73,835","2,130","81,145,420","1,344,327"
Indonesia,"3,908,247","+15,768","121,141","+1,128","3,443,903","343,203",0,"14,120",438,"29,817,279","107,727"
Germany,"3,846,186","+8,998","92,428",+25,"3,684,700","69,058",600,"45,741","1,099","68,329,706","812,612"
Mexico,"3,123,252","+14,814","249,529",+877,"2,470,033","403,690","4,798","23,940","1,913","9,113,592","69,857"
Poland,"2,885,883",+208,"75,307",+1,"2,655,588","154,988",48,"76,347","1,992","19,297,919","510,530"
South Africa,"2,638,981","+14,727","78,377",+384,"2,402,020","158,584",546,"43,872","1,303","15,752,534","261,880"
Ukraine,"2,268,666","+1,447","53,336",+40,"2,198,220","17,110",177,"52,229","1,228","11,726,235","269,962"
Peru,"2,137,295","+1,468","197,659",+120,0,0,"1,495","63,820","5,902","16,235,798","484,802"
Netherlands,"1,909,211","+2,777","17,927",+7,"1,789,524","101,760",206,"111,145","1,044","16,378,211","953,458"
Iraq,"1,801,364","+7,992","19,886",+71,"1,623,886","157,592","1,049","43,682",482,"13,872,209","336,394"
Philippines,"1,776,495","+11,085","30,623",+161,"1,640,721","105,151","2,716","15,972",275,"17,814,238","160,164"
Czechia,"1,676,823",+298,"30,381",+1,"1,644,045","2,397",16,"156,254","2,831","34,786,887","3,241,591"
Chile,"1,630,831",+501,"36,456",+18,"1,587,619","6,756",961,"84,493","1,889","19,594,588","1,015,193"
Malaysia,"1,466,512","+22,242","13,302",+225,"1,198,726","254,484","1,060","44,665",405,"20,809,264","633,781"
Canada,"1,460,175","+2,477","26,761",+42,"1,412,636","20,778",212,"38,309",702,"39,577,368","1,038,353"
Bangladesh,"1,440,644","+7,248","24,719",+172,"1,327,028","88,897","1,408","8,650",148,"8,521,828","51,170"
Japan,"1,179,176","+19,954","15,467",+36,"997,295","166,414","1,716","9,356",123,"20,085,602","159,360"
Belgium,"1,156,620","+1,741","25,299",0,"1,079,249","52,072",162,"99,310","2,172","18,097,170","1,553,862"
Sweden,"1,114,278",0,"14,624",0,"1,080,646","19,008",30,"109,561","1,438","11,536,406","1,134,318"
Pakistan,"1,109,274","+3,974","24,639",+66,"996,426","88,209","4,885","4,914",109,"17,007,656","75,348"
Romania,"1,088,594",+541,"34,365",+6,"1,050,600","3,629",146,"57,017","1,800","11,050,997","578,812"
Portugal,"1,009,571","+2,983","17,601",+17,"947,465","44,505",139,"99,337","1,732","16,322,878","1,606,092"
Thailand,"968,957","+20,515","8,285",+312,"753,338","207,334","5,615","13,843",118,"8,129,670","116,142"
Israel,"962,193","+4,646","6,723",+19,"896,124","59,346",600,"103,173",721,"17,992,947","1,929,332"
Hungary,"810,658",+109,"30,045",+3,"768,891","11,722",11,"84,158","3,119","6,457,558","670,384"
Jordan,"786,585",+888,"10,252",+13,"764,302","12,031",653,"76,239",994,"8,896,697","862,301"
Morocco,"782,097","+9,703","11,345",+103,"688,902","81,850","1,315","20,910",303,"8,473,549","226,542"
Switzerland,"747,396","+3,291","10,934",+5,"698,619","37,843",140,"85,651","1,253","9,432,415","1,080,949"
Nepal,"739,907","+2,613","10,396",+42,"689,173","40,338",0,"24,890",350,"3,791,069","127,530"
Serbia,"736,313","+1,497","7,183",+6,"714,443","14,687",30,"84,657",826,"4,858,071","558,554"
Kazakhstan,"708,379","+7,034","7,867",+116,"585,298","115,214",221,"37,224",413,"11,575,012","608,252"
UAE,"705,089","+1,089","2,009",+3,"684,414","18,666",0,"70,332",200,"70,669,215","7,049,198"
Austria,"671,593","+1,221","10,757",0,"650,931","9,905",59,"74,091","1,187","72,424,887","7,990,029"
Tunisia,"632,328","+2,626","22,304",+156,"584,696","25,328",630,"52,879","1,865","2,434,016","203,545"
Lebanon,"586,585","+1,689","7,993",+5,"543,164","35,428",54,"86,378","1,177","4,759,054","700,800"
Greece,"547,186","+3,437","13,245",+25,"496,376","37,565",282,"52,789","1,278","14,349,465","1,384,350"
Cuba,"545,275","+8,666","4,240",+84,"496,248","44,787",458,"48,174",375,"7,290,041","644,065"
Saudi Arabia,"540,244",+546,"8,439",+8,"525,559","6,246","1,273","15,250",238,"26,638,652","751,978"
Georgia,"496,376","+5,914","6,532",+49,"432,506","57,338",0,"124,702","1,641","7,515,871","1,888,166"
Ecuador,"493,767",0,"31,870",0,"443,880","18,017",759,"27,516","1,776","1,719,064","95,797"
Bolivia,"483,731",+706,"18,222",+24,"423,404","42,105",200,"40,813","1,537","2,192,157","184,953"
Belarus,"463,855","+1,061","3,637",+12,"457,682","2,536",0,"49,107",385,"7,582,577","802,745"
Paraguay,"457,222",+199,"15,492",+19,"433,917","7,813",194,"63,228","2,142","1,739,066","240,491"
Panama,"449,762",+838,"6,981",+11,"432,938","9,843",107,"102,421","1,590","3,547,018","807,738"
Bulgaria,"437,327","+1,387","18,411",+16,"400,797","18,119",174,"63,479","2,672","3,945,493","572,700"
Costa Rica,"436,276","+2,195","5,284",+15,"352,332","78,660",420,"84,770","1,027","1,935,225","376,020"
Guatemala,"422,270","+4,650","11,273",+54,"367,428","43,569",5,"23,089",616,"2,044,250","111,776"
Kuwait,"407,376",+237,"2,397",+2,"399,035","5,944",182,"93,828",552,"3,631,090","836,320"
Slovakia,"393,722",+112,"12,547",+1,"380,299",876,12,"72,076","2,297","3,252,650","595,437"
