Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"166,465,479","+621,344","3,457,500","+12,778","147,264,224","15,743,755","98,167","21,356",443.6,0,0
China,"90,944",+24,"4,636",0,"86,005",303,5,63,3,"160,000,000","111,163"
USA,"33,862,694","+29,310","603,408",+657,"27,399,429","5,859,857","7,392","101,775","1,814","471,543,912","1,417,228"
India,"26,285,069","+254,395","295,508","+4,143","23,059,017","2,930,544","8,944","18,883",212,"324,417,870","233,057"
Brazil,"15,976,156","+77,598","446,527","+2,136","14,422,209","1,107,420","8,318","74,691","2,088","49,013,934","229,146"
France,"5,581,351","+12,800","108,437",+113,"5,186,704","286,210","3,631","85,340","1,658","81,875,253","1,251,884"
Turkey,"5,169,951","+9,528","45,840",+214,"4,998,639","125,472","1,977","60,721",538,"51,950,729","610,165"
Russia,"4,983,845","+8,937","117,739",+378,"4,601,120","264,986","2,300","34,138",806,"135,000,000","924,721"
UK,"4,457,752","+2,829","127,710",+9,"4,297,878","32,164",123,"65,361","1,873","174,655,862","2,560,859"
Italy,"4,183,473","+5,215","125,028",+133,"3,766,660","291,785","1,469","69,282","2,071","64,092,492","1,061,435"
Germany,"3,646,600","+8,096","87,852",+213,"3,374,600","184,148","3,594","43,401","1,046","58,093,759","691,415"
Spain,"3,636,453","+4,792","79,620",+19,"3,356,272","200,561","1,655","77,750","1,702","48,928,535","1,046,133"
Argentina,"3,482,512","+35,468","73,391",+692,"3,060,145","348,976","6,027","76,433","1,611","12,924,541","283,664"
Colombia,"3,192,050","+14,838","83,719",+486,"2,998,123","110,208","6,582","62,147","1,630","16,216,781","315,730"
Poland,"2,863,030","+1,678","72,691",+191,"2,618,031","172,308","1,239","75,722","1,923","15,448,057","408,573"
Iran,"2,815,882","+11,250","78,194",+200,"2,304,824","432,864","5,015","33,150",921,"18,683,814","219,956"
Mexico,"2,390,140","+2,628","221,080",+230,"1,909,187","259,873","4,798","18,367","1,699","6,905,098","53,062"
Ukraine,"2,175,382","+4,984","49,101",+202,"1,929,039","197,242",177,"50,009","1,129","9,970,045","229,195"
Peru,"1,915,566","+5,206","67,569",+316,"1,720,665","127,332","2,664","57,390","2,024","12,370,803","370,629"
Indonesia,"1,764,644","+5,746","49,073",+186,"1,626,142","89,429",0,"6,392",178,"15,925,904","57,685"
Czechia,"1,656,886",+683,"30,003",+12,"1,607,616","19,267",188,"154,465","2,797","22,549,126","2,102,168"
South Africa,"1,628,335","+3,332","55,719",+151,"1,534,350","38,266",546,"27,153",929,"11,281,820","188,125"
Netherlands,"1,619,648","+4,148","17,518",+12,"1,408,737","193,393",599,"94,338","1,020","13,524,699","787,762"
Canada,"1,352,121","+4,676","25,162",+51,"1,268,989","57,970","1,344","35,549",662,"33,979,043","893,359"
Chile,"1,315,913","+7,602","28,290",+121,"1,245,988","41,635","2,991","68,318","1,469","14,213,225","737,909"
Philippines,"1,171,386","+6,241","19,763",+141,"1,095,964","55,659","1,819","10,565",178,"12,901,913","116,369"
Iraq,"1,160,494","+4,357","16,137",+35,"1,072,026","72,331",469,"28,292",393,"10,056,011","245,161"
Romania,"1,074,781",+484,"29,826",+49,"1,030,137","14,818",636,"56,202","1,560","8,818,778","461,147"
Sweden,"1,058,341",0,"14,366",+38,"917,654","126,321",253,"104,218","1,415","9,481,745","933,697"
Belgium,"1,041,706","+3,192","24,794",+26,"926,877","90,035",589,"89,537","2,131","13,485,145","1,159,081"
Pakistan,"893,461","+3,070","20,089",+102,"810,143","63,229","4,424","3,977",89,"12,654,997","56,325"
Portugal,"844,288",+559,"17,017",+3,"804,984","22,287",55,"83,015","1,673","11,316,046","1,112,656"
Israel,"839,290",+27,"6,397",+1,"832,331",562,65,"89,995",686,"14,522,643","1,557,221"
Hungary,"801,025",+657,"29,427",+47,"661,564","110,034",195,"83,106","3,053","5,697,748","591,141"
Bangladesh,"786,698","+1,504","12,310",+26,"729,039","45,349","1,102","4,735",74,"5,793,177","34,869"
Jordan,"729,185",+636,"9,342",+14,"710,445","9,398",729,"70,844",908,"7,081,102","687,968"
Serbia,"709,269",+391,"6,752",+13,"685,181","17,336",67,"81,468",776,"4,061,461","466,507"
Japan,"704,273","+5,835","12,046",+106,"621,608","70,619","1,294","5,584",96,"13,556,976","107,482"
Switzerland,"687,353","+1,201","10,770",+10,"631,406","45,177",153,"78,909","1,236","7,460,843","856,516"
Austria,"640,293",+677,"10,534",+7,"620,837","8,922",234,"70,735","1,164","38,050,186","4,203,541"
UAE,"552,920","+1,490","1,644",+2,"532,910","18,366",0,"55,314",164,"48,000,395","4,801,917"
Lebanon,"537,887",+450,"7,664",+6,"507,424","22,799",251,"79,121","1,127","4,275,276","628,876"
Morocco,"516,449",+358,"9,115",+6,"504,757","2,577",98,"13,847",244,"6,427,620","172,334"
Malaysia,"498,795","+6,493","2,149",+50,"444,540","52,106",643,"15,238",66,"10,986,099","335,631"
Nepal,"497,052","+8,407","6,024",+177,"374,836","116,192",0,"16,793",204,"2,878,146","97,237"
Saudi Arabia,"438,705","+1,136","7,224",+10,"422,706","8,775","1,331","12,430",205,"18,370,537","520,517"
Ecuador,"416,621","+1,366","20,107",+85,"354,499","42,015",565,"23,301","1,125","1,389,581","77,718"
Bulgaria,"416,417",+362,"17,474",+27,"372,968","25,975",417,"60,333","2,532","2,737,194","396,584"
Slovakia,"388,529",+138,"12,280",+8,"372,750","3,499",151,"71,133","2,248","2,788,281","510,488"
Greece,"387,426","+1,982","11,697",+56,"350,363","25,366",617,"37,332","1,127","9,112,425","878,068"
Belarus,"383,302","+1,756","2,752",+10,"373,391","7,159",0,"40,576",291,"6,174,150","653,587"
Panama,"373,308",+508,"6,321",+7,"361,111","5,876",105,"85,332","1,445","2,568,303","587,072"
Kazakhstan,"368,748","+2,267","4,124",0,"329,918","34,706",221,"19,433",217,"10,989,671","579,155"
Croatia,"353,217",+525,"7,856",+28,"340,728","4,633",131,"86,514","1,924","1,958,888","479,795"
Bolivia,"343,065","+2,858","13,780",+87,"277,711","51,574",200,"29,039","1,166","1,355,787","114,763"
Georgia,"335,769","+1,064","4,569",+29,"316,389","14,811",0,"84,314","1,147","4,704,806","1,181,409"
Tunisia,"332,833","+1,159","12,141",+52,"294,184","26,508",445,"27,903","1,018","1,417,598","118,846"
Azerbaijan,"331,883",+406,"4,839",+11,"319,271","7,773",0,"32,474",473,"3,435,192","336,122"
Paraguay,"327,229","+3,166","8,115",+103,"270,516","48,598",570,"45,385","1,126","1,224,550","169,840"
Palestine,"304,968",+212,"3,452",+2,"296,901","4,615",59,"58,581",663,"1,795,993","344,992"
Costa Rica,"299,219","+2,587","3,765",+29,"228,589","66,865",522,"58,267",733,"1,153,337","224,590"
Kuwait,"297,206","+1,345","1,719",+8,"282,913","12,574",171,"68,696",397,"2,508,998","579,930"
Dominican Republic,"281,630",+636,"3,603",+3,"235,608","42,419",305,"25,733",329,"1,501,540","137,200"
Denmark,"271,908","+1,351","2,506",0,"255,624","13,778",18,"46,798",431,"49,964,672","8,599,344"
Lithuania,"269,554",+855,"4,165",+10,"244,635","20,754",165,"100,263","1,549","3,196,454","1,188,954"
Ethiopia,"268,520",+485,"4,060",+12,"225,480","38,980",512,"2,286",35,"2,677,195","22,790"
Uruguay,"258,540","+4,599","3,760",+69,"222,003","32,777",498,"74,199","1,079","2,083,471","597,942"
Ireland,"257,886",+524,"4,941",0,"239,754","13,191",38,"51,716",991,"4,729,538","948,453"
Moldova,"254,499",+120,"6,067",+6,"246,080","2,352",109,"63,220","1,507","1,069,563","265,688"
Egypt,"251,539","+1,148","14,611",+52,"185,243","51,685",90,"2,418",140,"2,715,258","26,099"
Slovenia,"251,148",+331,"4,348",+3,"240,816","5,984",108,"120,791","2,091","1,248,936","600,683"
Guatemala,"246,156",+909,"7,977",+25,"226,014","12,165",5,"13,519",438,"1,374,591","75,494"
Honduras,"230,311","+1,100","6,093",+42,"83,393","140,825",536,"22,931",607,"692,210","68,919"
Armenia,"221,699",+140,"4,371",+7,"210,464","6,864",0,"74,693","1,473","1,053,007","354,768"
Venezuela,"221,042","+1,178","2,483",+18,"204,615","13,944",316,"7,793",88,"3,359,014","118,424"
Qatar,"214,830",+367,541,+2,"210,150","4,139",165,"76,512",193,"1,988,609","708,243"
Bahrain,"212,151","+2,858",794,+14,"191,522","19,835",198,"120,989",453,"4,451,037","2,538,409"
Oman,"208,607",0,"2,239",0,"192,973","13,395",251,"39,956",429,"1,550,000","296,880"
Bosnia and Herzegovina,"203,150",+132,"9,108",+12,"172,005","22,037",0,"62,265","2,792","954,240","292,471"
Libya,"182,899",+250,"3,105",+3,"169,733","10,061",0,"26,302",447,"998,860","143,640"
Kenya,"167,535",+659,"3,043",+3,"114,394","50,098",111,"3,056",56,"1,771,236","32,313"
Nigeria,"165,944",+43,"2,067",0,"156,462","7,415",11,788,10,"2,002,653","9,508"
Sri Lanka,"158,333","+3,547","1,133",+44,"125,360","31,840",0,"7,367",53,"3,075,321","143,086"
North Macedonia,"154,977",+40,"5,280",+15,"146,716","2,981",25,"74,390","2,534","769,471","369,352"
