Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"331,398,421","+2,073,095","5,563,587","+5,307","269,031,037","56,803,797","97,223","42,515",713.8,0,0
China,"105,087",+223,"4,636",0,"96,957","3,494",15,73,3,"160,000,000","111,163"
USA,"67,631,191","+389,553","874,321",+468,"43,165,667","23,591,203","25,869","202,490","2,618","862,458,737","2,582,225"
India,"37,618,271","+238,018","486,784",+302,"35,394,882","1,736,605","8,944","26,852",347,"703,762,282","502,350"
Brazil,"23,083,297","+76,345","621,261",+162,"21,710,831","751,205","8,318","107,419","2,891","63,776,166","296,783"
UK,"15,305,410","+84,429","152,075",+85,"11,497,602","3,655,733",746,"223,644","2,222","434,073,111","6,342,723"
France,"14,274,528","+102,144","127,263",+296,"9,199,291","4,947,974","3,895","217,943","1,943","211,520,605","3,229,497"
Russia,"10,834,260","+30,726","321,990",+670,"9,878,371","633,899","2,300","74,191","2,205","246,800,000","1,690,051"
Turkey,"10,522,099","+64,935","84,920",+162,"9,737,610","699,569","1,128","122,722",990,"125,433,490","1,462,964"
Italy,"8,790,302","+83,403","141,391",+287,"6,093,633","2,555,278","1,717","145,717","2,344","156,338,495","2,591,622"
Spain,"8,424,503","+110,489","90,993",+78,"5,331,175","3,002,335","2,251","180,077","1,945","66,213,858","1,415,348"
Germany,"8,045,348","+53,916","116,411",+143,"7,000,000","928,937","3,212","95,553","1,383","89,622,218","1,064,429"
Argentina,"7,197,323","+102,458","118,231",+191,"6,193,473","885,619","2,099","157,024","2,579","30,753,911","670,959"
Iran,"6,224,196","+3,163","132,095",+20,"6,066,819","25,282","1,313","72,669","1,542","42,908,102","500,962"
Colombia,"5,568,068","+24,272","131,130",+134,"5,258,204","178,734",342,"107,659","2,535","31,171,683","602,704"
Mexico,"4,368,314","+19,132","301,410",+76,"3,443,884","623,020","4,798","33,340","2,300","13,140,039","100,288"
Poland,"4,323,482","+10,445","102,309",+4,"3,800,051","421,122","1,519","114,430","2,708","28,591,765","756,744"
Indonesia,"4,272,421",+772,"144,174",+4,"4,119,472","8,775",0,"15,369",519,"67,715,434","243,593"
Ukraine,"3,759,530","+5,072","98,361",+78,"3,556,162","105,007",177,"86,769","2,270","17,182,817","396,574"
Netherlands,"3,611,351","+42,352","21,158",+3,"2,945,589","644,604",322,"210,043","1,231","21,107,399","1,227,646"
South Africa,"3,560,921","+1,691","93,451",+87,"3,375,859","91,611",546,"58,895","1,546","21,815,463","360,811"
Philippines,"3,242,287","+36,983","52,928",+22,"2,898,446","290,913","1,371","28,993",473,"26,337,108","235,508"
Malaysia,"2,810,689","+2,342","31,808",+15,"2,738,262","40,619",184,"85,158",964,"43,040,808","1,304,041"
Canada,"2,801,446","+23,586","31,679",+149,"2,438,396","331,371","1,130","73,235",828,"54,965,957","1,436,913"
Peru,"2,631,826","+25,700","203,550",+86,0,0,"1,046","78,141","6,044","23,372,678","693,956"
Czechia,"2,603,851","+7,244","36,899",+24,"2,443,056","123,896",273,"242,452","3,436","48,143,090","4,482,743"
Belgium,"2,461,136","+23,624","28,646",+17,"1,961,548","470,942",406,"210,940","2,455","28,436,961","2,437,285"
