Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"17,752,916","+289,414","682,393","+6,430","11,155,046","5,915,477","65,530","2,278",87.5,0,0
China,"84,292",+127,"4,634",0,"78,974",684,41,59,3,"90,410,000","62,814"
USA,"4,705,889","+70,904","156,747","+1,462","2,327,572","2,221,570","18,687","14,210",473,"58,591,052","176,923"
Brazil,"2,666,298","+52,509","92,568","+1,191","1,884,051","689,679","8,318","12,536",435,"12,601,096","59,247"
India,"1,697,054","+57,704","36,551",+765,"1,095,647","564,856","8,944","1,229",26,"18,832,970","13,636"
Russia,"839,981","+5,482","13,963",+161,"638,410","187,608","2,300","5,756",96,"28,161,461","192,966"
South Africa,"493,183","+11,014","8,005",+193,"326,171","159,007",539,"8,307",135,"2,959,535","49,850"
Mexico,"416,179","+7,730","46,000",+639,"272,187","97,992","3,922","3,225",356,"968,536","7,505"
Peru,"414,735","+7,243","19,217",+196,"287,127","108,391","1,414","12,564",582,"2,348,396","71,145"
Chile,"355,667","+2,131","9,457",+80,"328,327","17,883","1,445","18,592",494,"1,623,992","84,893"
Spain,"335,602","+3,092","28,445",+2,0,0,617,"7,178",608,"6,678,414","142,834"
Iran,"304,204","+2,674","16,766",+197,"263,519","23,919","4,021","3,618",199,"2,456,909","29,221"
UK,"303,181",+880,"46,119",+120,0,0,84,"4,464",679,"16,019,907","235,878"
Colombia,"295,508","+9,488","10,105",+295,"154,387","131,016","1,493","5,803",198,"1,573,679","30,900"
Pakistan,"278,305",+903,"5,951",+27,"247,177","25,177","1,146","1,258",27,"1,973,237","8,920"
Saudi Arabia,"275,905","+1,686","2,866",+24,"235,658","37,381","2,033","7,915",82,"3,350,541","96,122"
Italy,"247,537",+379,"35,141",+9,"199,974","12,422",41,"4,095",581,"6,820,613","112,823"
Bangladesh,"237,661","+2,772","3,111",+28,"135,136","99,414",1,"1,442",19,"1,176,809","7,140"
Turkey,"230,873",+982,"5,691",+17,"214,535","10,647",582,"2,735",67,"4,800,823","56,873"
Germany,"210,665","+1,012","9,224",+3,"192,300","9,141",261,"2,514",110,"8,006,135","95,531"
Argentina,"191,302","+5,929","3,543",+102,"83,780","103,979","1,104","4,230",78,"707,508","15,642"
France,"187,919","+1,346","30,265",+11,"81,500","76,154",371,"2,878",464,"2,982,302","45,681"
Iraq,"124,609","+3,346","4,741",+70,"87,434","32,434",454,"3,093",118,"1,000,969","24,843"
Canada,"116,312",+513,"8,935",+6,"101,227","6,150","2,249","3,080",237,"4,050,358","107,239"
Qatar,"110,695",+235,174,+3,"107,377","3,144",77,"39,424",62,"495,377","176,429"
Indonesia,"108,376","+2,040","5,131",+73,"65,907","37,338",0,396,19,"1,506,191","5,502"
Egypt,"94,078",+321,"4,805",+31,"39,638","49,635",41,918,47,"135,000","1,317"
Philippines,"93,354","+4,063","2,023",+40,"65,178","26,153",351,851,18,"1,497,313","13,649"
Kazakhstan,"89,078","+1,414",793,0,"59,517","28,768",221,"4,739",42,"2,079,540","110,643"
Ecuador,"85,355",+985,"5,702",+45,"36,044","43,609",350,"4,832",323,"242,253","13,714"
Sweden,"80,422",+45,"5,743",+9,0,0,40,"7,959",568,"810,356","80,197"
Oman,"79,159",0,421,0,"61,421","17,317",187,"15,472",82,"305,651","59,741"
Bolivia,"75,234","+1,700","2,894",+86,"23,305","49,035",71,"6,438",248,"161,929","13,857"
Israel,"70,970",+934,512,+12,"43,850","26,608",320,"7,716",56,"1,651,766","179,587"
Ukraine,"69,884","+1,090","1,693",+20,"38,752","29,439",114,"1,599",39,"1,029,220","23,546"
Dominican Republic,"69,649","+1,734","1,160",+14,"36,470","32,019",284,"6,415",107,"260,171","23,964"
Belgium,"68,006",+671,"9,840",+4,"17,513","40,653",42,"5,866",849,"1,644,394","141,833"
Belarus,"67,808",+143,559,+6,"62,444","4,805",0,"7,176",59,"1,299,428","137,519"
Kuwait,"66,957",+428,447,+2,"57,932","8,578",134,"15,660",105,"505,088","118,132"
Panama,"65,256","+1,065","1,421",+24,"39,166","24,669",161,"15,105",329,"222,990","51,616"
UAE,"60,506",+283,351,+2,"53,909","6,246",0,"6,112",35,"5,076,384","512,760"
Netherlands,"54,301",+338,"6,147",0,0,0,19,"3,168",359,"962,965","56,188"
Singapore,"52,205",+396,27,0,"46,491","5,687",0,"8,918",5,"1,321,094","225,667"
Portugal,"51,072",+204,"1,735",+8,"36,483","12,854",41,"5,010",170,"1,591,873","156,157"
Romania,"50,886","+1,295","2,343",+39,"27,007","21,536",409,"2,647",122,"1,202,607","62,551"
Guatemala,"49,789",+963,"1,924",+57,"36,816","11,049",5,"2,775",107,"156,568","8,727"
Poland,"45,688",+657,"1,716",+7,"33,987","9,985",72,"1,207",45,"2,245,168","59,329"
Nigeria,"43,151",+462,879,+1,"19,565","22,707",7,209,4,"272,748","1,321"
Honduras,"41,426",+482,"1,312",+53,"5,443","34,671",52,"4,177",132,"102,882","10,374"
Bahrain,"40,982",+227,147,+1,"37,840","2,995",41,"24,027",86,"830,998","487,191"
Armenia,"38,550",+354,738,+10,"28,997","8,815",10,"13,007",249,"163,736","55,247"
Afghanistan,"36,675",+133,"1,272",+1,"25,509","9,894",31,941,33,"89,066","2,284"
Kyrgyzstan,"35,805",+582,"1,378",+14,"25,037","9,390",24,"5,481",211,"267,718","40,981"
Ghana,"35,501",+359,182,+7,"32,096","3,223",8,"1,141",6,"391,378","12,575"
Switzerland,"35,232",+210,"1,981",+1,"31,100","2,151",27,"4,068",229,"791,725","91,424"
Japan,"34,372","+1,323","1,006",+2,"24,929","8,437",87,272,8,"806,067","6,375"
Azerbaijan,"31,878",+318,448,+7,"25,882","5,548",66,"3,142",44,"724,953","71,447"
Algeria,"30,394",+563,"1,210",+10,"20,537","8,647",65,692,28,0,0
Ireland,"26,065",+38,"1,763",0,"23,364",938,4,"5,274",357,"632,854","128,049"
Serbia,"25,552",+339,573,+8,"14,047","10,932",162,"2,925",66,"668,984","76,593"
Moldova,"24,733",+390,778,+7,"17,269","6,686",362,"6,132",193,"128,076","31,756"
Morocco,"24,322","+1,063",353,+7,"17,658","6,311",31,658,10,"1,252,365","33,897"
Uzbekistan,"24,009",+738,141,+5,"14,464","9,404",138,717,4,"1,377,915","41,122"
Austria,"21,130",+175,718,0,"18,758","1,654",16,"2,345",80,"890,461","98,822"
