Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"16,410,414","+221,195","651,874","+4,300","10,042,497","5,716,043","66,266","2,105",83.6,0,0
China,"83,830",+46,"4,634",0,"78,908",288,6,58,3,"90,410,000","62,814"
USA,"4,371,839","+56,130","149,849",+451,"2,090,129","2,131,861","18,986","13,202",453,"54,219,575","163,736"
Brazil,"2,419,901","+23,467","87,052",+556,"1,634,274","698,575","8,318","11,379",409,"4,911,063","23,093"
India,"1,436,019","+50,525","32,812",+716,"918,735","484,472","8,944","1,040",24,"16,291,331","11,797"
Russia,"812,485","+5,765","13,269",+77,"600,250","198,966","2,300","5,567",91,"26,902,291","184,339"
South Africa,"445,433","+11,233","6,769",+114,"265,077","173,587",539,"7,504",114,"2,773,778","46,729"
Mexico,"385,036","+6,751","43,374",+729,"247,178","94,484","3,922","2,984",336,"911,853","7,067"
Peru,"384,797","+4,913","18,229",+199,"267,850","98,718","1,424","11,660",552,"2,230,247","67,578"
Chile,"345,790","+2,198","9,112",+92,"318,095","18,583","1,592","18,078",476,"1,524,533","79,703"
Spain,"319,501",0,"28,432",0,0,0,617,"6,833",608,"6,320,836","135,187"
UK,"299,426",+745,"45,752",+14,0,0,104,"4,409",674,"14,794,369","217,848"
Iran,"291,172","+2,333","15,700",+216,"253,213","22,259","3,695","3,464",187,"2,327,850","27,691"
Pakistan,"273,113","+1,226","5,822",+35,"237,434","29,857","1,267","1,235",26,"1,868,180","8,447"
Saudi Arabia,"266,941","+1,968","2,733",+30,"220,323","43,885","2,120","7,660",78,"3,056,956","87,719"
Colombia,"248,976","+8,181","8,525",+256,"125,037","115,414","1,493","4,890",167,"1,409,124","27,673"
Italy,"246,118",+254,"35,107",+5,"198,446","12,565",44,"4,071",581,"6,560,572","108,520"
Turkey,"226,100",+927,"5,613",+17,"209,487","11,000","1,249","2,679",67,"4,572,688","54,178"
Bangladesh,"223,453","+2,275","2,928",+54,"123,882","96,643",1,"1,356",18,"1,111,558","6,745"
Germany,"206,741",+409,"9,203",+1,"190,600","6,938",237,"2,467",110,"7,418,812","88,527"
France,"180,528",0,"30,192",0,"80,815","69,521",410,"2,765",462,"2,982,302","45,682"
Argentina,"162,526","+4,192","2,939",+46,"70,518","89,069",955,"3,594",65,"636,844","14,082"
Canada,"113,911",+355,"8,890",+5,"99,355","5,666","2,224","3,016",235,"3,801,950","100,674"
Iraq,"110,032","+2,459","4,362",+78,"75,217","30,453",433,"2,732",108,"912,698","22,659"
Qatar,"109,305",+269,165,+1,"106,024","3,116",89,"38,929",59,"472,442","168,260"
Indonesia,"98,778","+1,492","4,781",+67,"56,655","37,342",0,361,17,"1,381,699","5,048"
Egypt,"92,062",+479,"4,606",+48,"33,831","53,625",41,899,45,"135,000","1,318"
Kazakhstan,"81,720","+1,494",585,0,"51,823","29,312",221,"4,349",31,"1,894,815","100,831"
Ecuador,"80,694",+658,"5,515",+8,"34,896","40,283",350,"4,569",312,"225,293","12,757"
Philippines,"80,383","+1,971","1,929",+32,"26,087","52,367",351,733,18,"1,299,456","11,848"
Sweden,"78,997",0,"5,697",0,0,0,50,"7,819",564,"751,213","74,350"
Oman,"76,005","+1,147",384,+13,"55,299","20,322",167,"14,861",75,"296,989","58,068"
Bolivia,"68,281","+1,825","2,535",+62,"20,951","44,795",71,"5,844",217,"147,173","12,596"
Belarus,"67,132",+130,534,+4,"60,425","6,173",89,"7,105",57,"1,251,359","132,432"
Belgium,"65,727",+528,"9,821",+4,"17,425","38,481",45,"5,669",847,"1,514,046","130,597"
Ukraine,"64,849",+920,"1,605",+15,"35,807","27,437",91,"1,483",37,"937,006","21,435"
Kuwait,"63,773",+464,433,+4,"54,373","8,967",123,"14,919",101,"479,411","112,149"
Dominican Republic,"62,908","+2,012","1,063",+8,"28,603","33,242",267,"5,795",98,"235,289","21,675"
Israel,"61,956","+1,278",470,+13,"27,025","34,461",303,"6,736",51,"1,597,269","173,662"
Panama,"60,296","+1,432","1,294",+19,"34,131","24,871",158,"13,960",300,"207,908","48,135"
UAE,"58,913",+351,344,+1,"52,182","6,387",0,"5,952",35,"4,828,066","487,758"
Netherlands,"52,946",+214,"6,139",0,0,0,16,"3,089",358,"851,885","49,708"
Singapore,"50,369",+481,27,0,"45,521","4,821",0,"8,605",5,"1,170,049","199,887"
Portugal,"50,164",+209,"1,717",+1,"35,217","13,230",48,"4,921",168,"1,528,600","149,944"
Guatemala,"45,053",+561,"1,734",+35,"31,612","11,707",5,"2,512",97,"140,501","7,833"
