Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"181,168,201","+409,493","3,925,025","+8,730","165,751,980","11,491,196","80,511","23,242",503.5,0,0
China,"91,693",+24,"4,636",0,"86,571",486,14,64,3,"160,000,000","111,163"
USA,"34,482,672","+15,537","619,145",+388,"28,897,460","4,966,067","3,855","103,580","1,860","503,006,392","1,510,948"
India,"30,182,469","+49,052","394,524","+1,186","29,185,559","602,386","8,944","21,662",283,"399,568,448","286,777"
Brazil,"18,322,760","+79,277","511,272","+1,990","16,548,159","1,263,329","8,318","85,604","2,389","53,196,856","248,535"
France,"5,766,315","+1,986","110,939",+33,"5,596,777","58,599","1,389","88,149","1,696","92,004,378","1,406,463"
Russia,"5,409,088","+20,393","132,064",+601,"4,929,639","347,385","2,300","37,050",905,"147,400,000","1,009,617"
Turkey,"5,398,878","+5,630","49,473",+56,"5,261,892","87,513",737,"63,346",580,"59,667,586","700,087"
UK,"4,699,541","+14,969","128,066",+18,"4,312,164","259,311",259,"68,872","1,877","207,164,164","3,035,991"
Argentina,"4,374,587","+24,023","91,979",+541,"3,990,289","292,319","7,057","95,929","2,017","16,275,456","356,898"
Italy,"4,256,451",+753,"127,418",+56,"4,068,798","60,235",306,"70,501","2,110","70,769,618","1,172,179"
Colombia,"4,092,746","+32,733","103,321",+685,"3,800,388","189,037","8,155","79,603","2,010","19,409,243","377,504"
Spain,"3,782,463","+4,924","80,779",+13,"3,575,883","125,801",641,"80,869","1,727","51,240,666","1,095,528"
Germany,"3,733,665",+820,"91,281",+70,"3,616,800","25,584",889,"44,423","1,086","63,091,197","750,665"
Iran,"3,150,949","+10,820","83,588",+115,"2,809,595","257,766","3,219","37,050",983,"22,945,493","269,800"
Poland,"2,879,469",+132,"74,953",+36,"2,651,209","153,307",185,"76,165","1,983","17,206,104","455,117"
Mexico,"2,493,087","+5,340","232,068",+221,"1,982,674","278,345","4,798","19,139","1,782","7,402,958","56,832"
Ukraine,"2,232,790",+876,"52,234",+53,"2,160,137","20,419",177,"51,358","1,201","10,759,153","247,478"
Indonesia,"2,072,867","+18,872","56,371",+422,"1,835,061","181,435",0,"7,501",204,"19,304,667","69,853"
Peru,"2,043,262","+3,076","191,447",+161,0,0,"2,464","61,136","5,728","13,992,580","418,667"
South Africa,"1,895,905","+18,762","59,621",+215,"1,690,380","145,904",546,"31,577",993,"12,842,761","213,898"
Netherlands,"1,682,221",+641,"17,740",+5,"1,616,403","48,078",162,"97,962","1,033","14,596,733","850,025"
