Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"82,312,998","+615,391","1,795,676","+13,813","58,328,507","22,188,815","105,936","10,560",230.4,0,0
China,"87,003",+27,"4,634",0,"82,021",348,5,60,3,"160,000,000","111,163"
USA,"19,977,704","+194,860","346,579","+3,398","11,844,472","7,786,653","29,132","60,180","1,044","250,172,246","753,609"
India,"10,245,326","+20,529","148,475",+285,"9,833,339","263,512","8,944","7,388",107,"169,801,749","122,449"
Brazil,"7,564,117","+57,227","192,716","+1,075","6,647,538","723,863","8,318","35,461",903,"28,600,000","134,078"
Russia,"3,105,037","+27,002","55,827",+562,"2,496,183","553,027","2,300","21,272",382,"89,800,000","615,213"
France,"2,574,041","+11,395","64,078",+468,"191,806","2,318,157","2,675","39,391",981,"34,540,094","528,578"
UK,"2,382,865","+53,135","71,567",+414,0,0,"1,529","35,010","1,051","54,118,134","795,118"
Turkey,"2,178,580","+15,805","20,388",+253,"2,058,437","99,755","4,191","25,695",240,"24,141,935","284,734"
Italy,"2,067,487","+11,212","73,029",+659,"1,425,730","568,728","2,549","34,220","1,209","26,243,558","434,370"
Spain,"1,906,057","+11,985","50,442",+320,0,0,"2,005","40,759","1,079","27,016,086","577,714"
Germany,"1,691,707","+19,062","32,420","+1,244","1,277,900","381,387","5,649","20,159",386,"33,708,381","401,687"
Colombia,"1,614,822","+11,015","42,620",+246,"1,483,017","89,185","2,578","31,570",833,"7,982,544","156,058"
Argentina,"1,602,163","+11,650","43,018",+150,"1,420,885","138,260","3,345","35,289",948,"4,757,372","104,786"
Mexico,"1,389,430","+5,996","122,855",+429,"1,048,539","218,036","3,913","10,721",948,"3,531,289","27,247"
Poland,"1,268,634","+7,914","27,454",+307,"1,014,005","227,175","1,604","33,539",726,"7,112,203","188,024"
Iran,"1,212,481","+6,108","54,946",+132,"969,408","188,127","5,128","14,345",650,"7,513,534","88,893"
Ukraine,"1,037,362","+6,988","18,081",+232,"681,835","337,446",177,"23,791",415,"5,472,989","125,521"
South Africa,"1,021,451","+9,580","27,568",+497,"858,456","135,427",546,"17,116",462,"6,500,482","108,926"
Peru,"1,010,496","+1,588","37,574",+49,"949,391","23,531","1,190","30,438","1,132","5,486,007","165,249"
Netherlands,"777,902","+7,502","11,212",+170,0,0,684,"45,349",654,"5,770,408","336,394"
Indonesia,"727,122","+7,903","21,703",+251,"596,783","108,636",0,"2,645",79,"7,224,452","26,275"
Czechia,"685,293","+10,892","11,370",+112,"584,218","89,705",618,"63,933","1,061","3,663,434","341,774"
Belgium,"639,734",+857,"19,234",+34,"43,935","576,565",510,"55,080","1,656","6,829,550","588,010"
Romania,"623,066","+4,637","15,469",+135,"549,262","58,335","1,162","32,496",807,"4,751,057","247,793"
Chile,"603,986","+1,958","16,488",+45,"573,681","13,817",745,"31,462",859,"6,382,766","332,480"
Iraq,"593,541","+1,013","12,800",+9,"534,801","45,940",162,"14,596",315,"4,474,689","110,039"
Canada,"565,506","+10,299","15,378",+257,"478,157","71,971",711,"14,919",406,"13,710,053","361,686"
Bangladesh,"511,261","+1,181","7,509",+30,"454,563","49,189",0,"3,089",45,"3,199,115","19,330"
Pakistan,"475,085","+1,776","9,992",+63,"425,494","39,599","2,259","2,130",45,"6,619,983","29,686"
Philippines,"471,518",+878,"9,162",+38,"438,991","23,365",708,"4,275",83,"6,699,789","60,741"
Switzerland,"442,481","+4,197","7,493",+131,"317,600","117,388",429,"50,942",863,"3,559,277","409,772"
Morocco,"435,189","+2,160","7,314",+42,"401,429","26,446",782,"11,722",197,"4,421,874","119,102"
Sweden,"428,533",0,"8,484",+25,0,0,302,"42,301",837,"4,272,532","421,749"
Israel,"412,398","+5,113","3,292",+36,"369,117","39,989",623,"44,838",358,"7,801,153","848,174"
Portugal,"400,002","+3,336","6,751",+74,"327,794","65,457",486,"39,286",663,"5,550,198","545,106"
Saudi Arabia,"362,488",+149,"6,204",+8,"353,512","2,772",401,"10,333",177,"10,937,706","311,786"
Austria,"355,352","+1,868","6,059",+128,"328,974","20,319",411,"39,344",671,"3,794,046","420,072"
Serbia,"331,755","+3,136","3,119",+46,"31,536","297,100",283,"38,046",358,"2,268,962","260,208"
Hungary,"317,571",+902,"9,292",+131,"138,365","169,914",444,"32,915",963,"2,621,427","271,704"
Jordan,"291,393","+1,645","3,801",+23,"266,622","20,970",252,"28,420",371,"3,126,192","304,898"
Nepal,"259,548",+708,"1,840",+8,"251,312","6,396",0,"8,830",63,"1,921,367","65,365"
Panama,"238,279","+4,574","3,933",+41,"189,764","44,582",180,"54,799",905,"1,275,819","293,412"
Georgia,"224,155","+2,012","2,443",+25,"208,951","12,761",0,"56,245",613,"1,876,048","470,736"
Japan,"223,120","+2,884","3,306",+54,"186,946","32,868",675,"1,767",26,"4,802,239","38,028"
Azerbaijan,"216,584","+1,101","2,575",+37,"176,228","37,781",0,"21,266",253,"2,174,343","213,497"
Ecuador,"210,326",+568,"14,001",+7,"184,507","11,818",362,"11,833",788,"741,132","41,695"
Croatia,"206,596","+1,350","3,795",+56,"195,128","7,673",254,"50,480",927,"1,004,346","245,405"
UAE,"204,369","+1,506",662,+2,"181,400","22,307",0,"20,541",67,"20,593,376","2,069,809"
Bulgaria,"199,491","+1,438","7,405",+154,"115,402","76,684",474,"28,819","1,070","1,141,072","164,841"
Belarus,"190,404","+1,816","1,404",+10,"169,257","19,743",0,"20,153",149,"3,937,864","416,803"
Lebanon,"175,118","+2,298","1,430",+21,"125,473","48,215",426,"25,714",210,"1,943,220","285,341"
Slovakia,"170,187","+2,095","1,983",+104,"121,760","46,444",412,"31,164",363,"1,395,615","255,562"
Dominican Republic,"168,265",+860,"2,405",+1,"129,965","35,895",246,"15,435",221,"860,206","78,906"
Costa Rica,"166,799","+1,037","2,156",+12,"130,989","33,654",245,"32,596",421,"483,612","94,508"
Denmark,"158,447","+2,621","1,226",+22,"118,727","38,494",128,"27,307",211,"10,342,927","1,782,544"
Armenia,"158,296",+348,"2,797",+22,"140,942","14,557",0,"53,370",943,"587,540","198,092"
Bolivia,"155,594",+751,"9,106",+8,"130,620","15,868",71,"13,240",775,"404,394","34,412"
Kazakhstan,"153,199",+739,"2,262",0,"140,684","10,253",221,"8,111",120,"5,250,104","277,965"
Kuwait,"150,093",+236,932,0,"146,056","3,105",43,"34,892",217,"1,249,114","290,377"
Qatar,"143,428",+206,245,+1,"141,147","2,036",28,"51,082",87,"1,231,890","438,738"
Moldova,"142,851",+927,"2,934",+25,"128,501","11,416",193,"35,453",728,"551,384","136,844"
Greece,"136,976","+1,045","4,730",+58,"9,989","122,257",458,"13,174",455,"3,315,550","318,876"
Guatemala,"136,287",+846,"4,781",+8,"125,161","6,345",5,"7,539",264,"630,182","34,858"
Palestine,"135,459","+1,149","1,351",+19,"113,082","21,026",127,"26,255",262,"873,460","169,293"
Egypt,"135,233","+1,333","7,520",+54,"111,040","16,673",90,"1,309",73,"1,000,000","9,682"
Tunisia,"134,802","+1,598","4,570",+52,"104,401","25,831",330,"11,347",385,"599,189","50,438"
Lithuania,"134,285","+1,921","1,347",+78,"66,485","66,453",198,"49,677",498,"1,598,754","591,433"
Oman,"128,633",+70,"1,497",+2,"121,356","5,780",34,"24,880",290,"571,472","110,535"
Ethiopia,"123,388",+243,"1,913",+1,"110,739","10,736",233,"1,060",16,"1,789,287","15,378"
Myanmar,"123,153",+619,"2,637",+19,"105,279","15,237",0,"2,256",48,"1,777,243","32,556"
Honduras,"120,103",+390,"3,088",+22,"56,463","60,552",122,"12,032",309,"304,975","30,552"
Slovenia,"117,305","+1,978","2,631",+36,"95,688","18,986",198,"56,422","1,265","662,648","318,722"
Venezuela,"112,861",+225,"1,021",+3,"106,958","4,882",62,"3,975",36,"2,406,607","84,752"
Bosnia and Herzegovina,"110,454",+543,"4,024",+82,"76,802","29,628",0,"33,772","1,230","509,067","155,649"
Malaysia,"108,615","+1,925",457,+2,"86,715","21,443",117,"3,335",14,"3,291,834","101,067"
Paraguay,"106,136",+762,"2,220",+18,"80,097","23,819",162,"14,791",309,"554,487","77,272"
Libya,"99,350",+437,"1,444",+4,"70,412","27,494",0,"14,362",209,"539,989","78,063"
Algeria,"98,988",+357,"2,745",+8,"66,550","29,693",42,"2,238",62,0,0
Kenya,"96,139",+147,"1,665",+1,"77,659","16,815",31,"1,769",31,"1,038,352","19,104"
Bahrain,"92,169",+234,351,0,"89,804","2,014",10,"53,270",203,"2,345,325","1,355,495"
Ireland,"88,439","+1,545","2,213",+8,"23,364","62,862",34,"17,812",446,"2,330,969","469,476"
Nigeria,"85,560",+749,"1,267",+3,"71,937","12,356",10,410,6,"937,712","4,494"
North Macedonia,"82,301",+497,"2,473",+17,"60,256","19,572",138,"39,505","1,187","396,797","190,463"
Kyrgyzstan,"80,654",+119,"1,353",+4,"75,334","3,967",53,"12,263",206,"587,892","89,384"
Uzbekistan,"76,907",+75,613,0,"74,626","1,668",165,"2,282",18,"1,377,915","40,878"
S. Korea,"58,725","+1,045",859,+40,"40,703","17,163",330,"1,145",17,"4,098,181","79,900"
Singapore,"58,542",+13,29,0,"58,400",113,0,"9,968",5,"5,426,351","923,927"
Albania,"57,146",+574,"1,170",+6,"32,700","23,276",39,"19,868",407,"250,798","87,197"
Ghana,"54,681",+178,335,+2,"53,462",884,13,"1,742",11,"663,709","21,143"
Afghanistan,"52,330",+183,"2,189",+7,"41,801","8,340",93,"1,330",56,"197,366","5,015"
Norway,"48,278",+693,433,+4,"37,658","10,187",29,"8,871",80,"2,754,609","506,153"
Montenegro,"47,404",+435,677,+2,"37,900","8,827",68,"75,471","1,078","177,532","282,647"
Luxembourg,"46,088",+239,489,+2,"40,608","4,991",32,"73,041",775,"1,657,313","2,626,528"
El Salvador,"45,684",+269,"1,313",0,"40,885","3,486",69,"7,026",202,"619,208","95,227"
Sri Lanka,"42,056",+453,195,+1,"33,925","7,936",0,"1,960",9,"1,213,018","56,530"
Latvia,"37,676",+838,603,+25,"26,115","10,958",61,"20,086",321,"852,649","454,569"
Finland,"35,420",+283,550,+4,"26,000","8,870",30,"6,388",99,"2,447,979","441,475"
Uganda,"34,281",+308,250,+2,"11,450","22,581",0,738,5,"739,532","15,923"
Australia,"28,350",+13,909,0,"25,751","1,690",0,"1,105",35,"11,164,921","435,347"
Estonia,"26,288",+483,221,+8,"16,965","9,102",33,"19,810",167,"621,043","468,013"
Cameroon,"26,277",0,448,0,"24,892",937,46,978,17,"149,000","5,545"
Sudan,"23,316",0,"1,468",0,"13,524","8,324",0,526,33,0,0
Namibia,"22,851",+564,195,+2,"18,743","3,913",43,"8,914",76,"204,698","79,850"
