Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"126,693,761","+630,203","2,779,174","+11,625","102,157,435","21,757,152","92,468","16,254",356.5,0,0
China,"90,147",+11,"4,636",0,"85,348",163,0,63,3,"160,000,000","111,163"
USA,"30,853,032","+76,976","561,142","+1,289","23,275,268","7,016,622","8,610","92,812","1,688","396,894,166","1,193,932"
Brazil,"12,407,323","+82,558","307,326","+3,600","10,824,095","1,275,902","8,318","58,069","1,438","28,600,000","133,853"
India,"11,908,373","+62,291","161,275",+292,"11,292,849","454,249","8,944","8,568",116,"238,604,638","171,666"
Russia,"4,501,859","+9,167","97,017",+405,"4,120,161","284,681","2,300","30,839",665,"118,800,000","813,808"
France,"4,465,956","+41,869","94,275",+363,"288,062","4,083,619","4,766","68,308","1,442","61,991,132","948,172"
UK,"4,325,315","+6,187","126,515",+70,"3,768,434","430,366",630,"63,470","1,856","121,517,399","1,783,150"
Italy,"3,488,619","+23,987","107,256",+457,"2,814,652","566,711","3,628","57,762","1,776","48,463,509","802,423"
Spain,"3,255,324","+7,586","75,010",+590,"3,016,247","164,067","1,830","69,606","1,604","41,884,958","895,588"
Turkey,"3,149,094","+29,081","30,772",+153,"2,921,037","197,285","1,810","37,047",362,"37,433,913","440,382"
Germany,"2,754,002","+21,872","76,303",+187,"2,467,600","210,099","3,209","32,793",909,"48,979,281","583,221"
Colombia,"2,367,337","+7,395","62,645",+126,"2,255,948","48,744","1,982","46,165","1,222","12,485,669","243,481"
Argentina,"2,291,051","+12,936","55,235",+143,"2,064,479","171,337","3,508","50,353","1,214","8,605,895","189,143"
Mexico,"2,214,542","+5,787","200,211",+584,"1,752,125","262,206","4,798","17,045","1,541","5,983,144","46,051"
Poland,"2,189,968","+35,145","51,305",+443,"1,747,223","391,440","2,730","57,911","1,357","11,610,747","307,032"
Iran,"1,838,803","+7,980","62,223",+81,"1,577,408","199,172","3,908","21,689",734,"12,481,917","147,229"
Ukraine,"1,614,707","+18,132","31,461",+326,"1,290,158","293,088",177,"37,085",723,"7,889,544","181,201"
South Africa,"1,543,079","+1,516","52,602",+67,"1,469,565","20,912",546,"25,780",879,"9,752,061","162,927"
Peru,"1,512,384","+11,919","51,032",+201,"1,423,259","38,093","2,285","45,407","1,532","9,014,018","270,630"
Czechia,"1,503,367","+7,909","25,711",+139,"1,299,694","177,962","1,860","140,193","2,398","11,690,302","1,090,150"
Indonesia,"1,487,541","+4,982","40,166",+85,"1,322,878","124,497",0,"5,397",146,"12,422,800","45,069"
Netherlands,"1,236,209","+7,562","16,421",+24,0,0,625,"72,029",957,"9,747,836","567,966"
Chile,"962,321","+7,559","22,587",+63,"897,975","41,759","2,466","50,026","1,174","10,887,507","565,984"
Canada,"956,655","+5,093","22,826",+36,"893,469","40,360",661,"25,185",601,"27,110,125","713,714"
Romania,"926,310","+6,516","22,835",+116,"830,270","73,205","1,364","48,389","1,193","7,163,451","374,205"
Belgium,"854,608","+5,518","22,816",+30,"56,170","775,622",636,"73,504","1,962","10,772,328","926,521"
Israel,"831,383",+538,"6,165",+2,"814,505","10,713",479,"90,391",670,"13,379,821","1,454,709"
Iraq,"822,095","+6,490","14,157",+29,"736,747","71,191",472,"20,110",346,"7,835,444","191,672"
Portugal,"819,698",+488,"16,819",+5,"771,339","31,540",155,"80,561","1,653","8,949,804","879,602"
Sweden,"780,018",0,"13,402",+37,0,0,284,"76,884","1,321","6,627,544","653,253"
Philippines,"702,847","+9,829","13,149",+54,"580,680","109,018",785,"6,352",119,"9,938,136","89,818"
Pakistan,"645,356","+4,368","14,091",+63,"591,145","40,120","2,758","2,881",63,"9,976,791","44,535"
Hungary,"614,612","+11,265","19,499",+275,"392,314","202,799","1,480","63,741","2,022","4,443,610","460,845"
Switzerland,"592,217","+2,053","10,298",+14,"542,535","39,384",159,"68,063","1,184","5,851,917","672,556"
Bangladesh,"588,132","+3,737","8,830",+33,"531,651","47,651",0,"3,545",53,"4,542,030","27,380"
Jordan,"577,734","+6,444","6,374",+97,"468,037","103,323",729,"56,215",620,"5,705,121","555,119"
Serbia,"577,120","+5,225","5,114",+39,"484,455","87,551",241,"66,248",587,"3,348,198","384,344"
Austria,"530,288","+3,895","9,200",+22,"486,088","35,000",463,"58,634","1,017","6,568,554","726,281"
Morocco,"493,867",+514,"8,793",+5,"481,597","3,477",267,"13,265",236,"5,917,273","158,936"
Japan,"462,840","+1,943","8,967",+29,"438,879","14,994",323,"3,668",71,"9,555,049","75,719"
Lebanon,"455,381","+3,100","6,013",+49,"356,820","92,548",978,"66,939",884,"3,487,759","512,684"
UAE,"450,765","+2,128","1,472",+6,"434,035","15,258",0,"45,177",148,"36,484,412","3,656,555"
Saudi Arabia,"387,292",+510,"6,637",+7,"376,203","4,452",622,"11,000",188,"14,812,806","420,701"
Slovakia,"355,454","+1,272","9,373",+60,"255,300","90,781",653,"65,083","1,716","2,310,054","422,964"
