Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"18,435,341","+199,770","697,090","+4,374","11,665,880","6,072,371","64,732","2,365",89.4,0,0
China,"84,428",+43,"4,634",0,"79,013",781,35,59,3,"90,410,000","62,814"
USA,"4,862,174","+48,622","158,929",+568,"2,446,798","2,256,447","18,725","14,681",480,"60,937,541","184,000"
Brazil,"2,751,665","+17,988","94,702",+572,"1,912,319","744,644","8,318","12,937",445,"13,196,132","62,042"
India,"1,855,331","+50,629","38,971",+810,"1,230,440","585,920","8,944","1,343",28,"20,202,858","14,627"
Russia,"856,264","+5,394","14,207",+79,"653,593","188,464","2,300","5,867",97,"29,029,900","198,916"
South Africa,"516,862","+5,377","8,539",+173,"358,037","150,286",539,"8,705",144,"3,058,695","51,514"
Mexico,"439,046","+4,853","47,746",+274,"289,394","101,906","3,944","3,402",370,"1,005,498","7,791"
Peru,"433,100","+4,250","19,811",+197,"298,091","115,198","1,419","13,119",600,"2,417,857","73,241"
Chile,"361,493","+1,762","9,707",+99,"333,976","17,810",235,"18,895",507,"1,697,558","88,733"
Spain,"344,134","+3,044","28,472",+9,0,0,617,"7,360",609,"6,678,414","142,834"
Colombia,"327,850","+10,199","11,017",+367,"173,727","143,106","1,493","6,437",216,"1,685,530","33,094"
Iran,"312,035","+2,598","17,405",+215,"270,228","24,402","4,104","3,711",207,"2,534,658","30,143"
UK,"305,623",+928,"46,210",+9,0,0,86,"4,500",680,"16,717,684","246,141"
Saudi Arabia,"280,093","+1,258","2,949",+32,"242,055","35,089","2,017","8,034",85,"3,473,715","99,643"
Pakistan,"280,029",+331,"5,984",+8,"248,873","25,172","1,064","1,266",27,"2,010,170","9,085"
Italy,"248,229",+159,"35,166",+12,"200,589","12,474",41,"4,106",582,"6,940,801","114,813"
Bangladesh,"242,102","+1,356","3,184",+30,"137,905","101,013",0,"1,469",19,"1,193,544","7,241"
Turkey,"233,851",+995,"5,747",+19,"217,497","10,607",580,"2,770",68,"4,927,217","58,365"
Germany,"212,320",+858,"9,232",+6,"194,700","8,388",270,"2,533",110,"8,006,135","95,528"
Argentina,"206,743","+4,824","3,813",+165,"91,302","111,628","1,150","4,571",84,"747,907","16,534"
France,"191,295",+556,"30,294",+22,"81,500","79,501",371,"2,930",464,"2,982,302","45,680"
Iraq,"131,886","+2,735","4,934",+66,"94,111","32,841",514,"3,273",122,"1,042,806","25,877"
Canada,"117,031",+147,"8,947",+2,"101,597","6,487","2,253","3,098",237,"4,178,195","110,615"
Indonesia,"113,134","+1,679","5,302",+66,"70,237","37,595",0,413,19,"1,552,141","5,669"
Qatar,"111,322",+215,177,0,"108,002","3,143",75,"39,647",63,"502,792","179,069"
Philippines,"106,241","+3,137","2,104",+45,"65,809","38,328",351,968,19,"1,585,957","14,456"
Egypt,"94,640",+157,"4,888",+23,"44,066","45,686",41,923,48,"135,000","1,317"
Kazakhstan,"92,662","+1,069","1,058",0,"62,511","29,093",221,"4,930",56,"2,079,540","110,633"
Ecuador,"87,041",+517,"5,767",+17,"59,344","21,930",366,"4,927",326,"247,583","14,014"
Sweden,"81,012",+43,"5,744",+5,0,0,37,"8,017",568,"810,356","80,193"
Bolivia,"80,153","+1,360","3,153",+89,"24,156","52,844",71,"6,858",270,"171,637","14,686"
Oman,"79,159",0,421,0,"61,421","17,317",187,"15,469",82,"305,651","59,728"
Israel,"74,430","+1,615",546,+10,"47,571","26,313",331,"8,092",59,"1,794,889","195,148"
Ukraine,"73,158",+990,"1,738",+13,"39,876","31,544",125,"1,674",40,"1,067,006","24,412"
Dominican Republic,"73,117",+874,"1,183",+5,"38,824","33,110",385,"6,734",109,"268,529","24,732"
Belgium,"69,849",+447,"9,845",0,"17,590","42,414",57,"6,024",849,"1,703,059","146,887"
Panama,"68,456","+1,003","1,497",+26,"42,093","24,866",164,"15,844",346,"232,514","53,814"
Kuwait,"68,299",+388,461,+4,"59,739","8,099",126,"15,972",108,"511,599","119,640"
Belarus,"68,166",+99,571,+4,"62,943","4,652",0,"7,214",60,"1,323,814","140,101"
UAE,"61,163",+164,351,0,"54,863","5,949",0,"6,177",35,"5,189,891","524,173"
Netherlands,"55,470",+372,"6,149",0,0,0,27,"3,237",359,"962,965","56,187"
Romania,"54,009",+823,"2,432",+19,"27,750","23,827",419,"2,809",127,"1,248,318","64,932"
Singapore,"53,051",+226,27,0,"47,179","5,845",1,"9,061",5,"1,321,094","225,652"
Portugal,"51,569",+106,"1,738",0,"37,111","12,720",42,"5,059",170,"1,622,951","159,209"
Guatemala,"51,542",+236,"2,013",+18,"39,346","10,183",5,"2,872",112,"161,606","9,006"
Poland,"47,469",+575,"1,732",+1,"34,881","10,856",74,"1,254",46,"2,315,210","61,180"
Nigeria,"44,129",+288,896,+8,"20,663","22,570",7,214,4,"287,532","1,392"
Honduras,"43,197",+512,"1,377",+9,"5,794","36,026",43,"4,355",139,"105,820","10,669"
