Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"219,237,565","+688,202","4,543,781","+10,480","196,007,671","18,686,113","105,761","28,126",582.9,0,0
China,"94,898",+19,"4,636",0,"89,240","1,022",3,66,3,"160,000,000","111,163"
USA,"40,330,712","+184,420","659,927","+1,480","31,137,936","8,532,849","25,598","121,016","1,980","586,680,183","1,760,387"
India,"32,856,863","+45,971","439,559",+505,"32,021,097","396,207","8,944","23,539",315,"523,184,293","374,820"
Brazil,"20,804,215","+26,348","581,228",+703,"19,775,873","447,114","8,318","97,070","2,712","56,897,224","265,475"
Russia,"6,937,333","+18,368","184,014",+790,"6,199,379","553,940","2,300","47,514","1,260","179,100,000","1,226,649"
UK,"6,824,750","+35,585","132,742",+207,"5,502,108","1,189,900","1,014","99,920","1,943","270,870,957","3,965,771"
France,"6,783,329","+17,621","114,577",+86,"6,284,539","384,213","2,270","103,654","1,751","124,769,146","1,906,556"
Turkey,"6,412,277","+23,946","57,000",+290,"5,852,381","502,896",633,"75,088",667,"76,740,334","898,627"
Argentina,"5,190,948","+5,328","112,005",+193,"4,878,099","200,844","2,602","113,638","2,452","22,216,037","486,346"
Iran,"5,025,233","+33,170","108,393",+599,"4,237,315","679,525","7,860","58,950","1,272","28,213,229","330,962"
Colombia,"4,911,082","+1,996","125,016",+71,"4,740,709","45,357",542,"95,332","2,427","24,217,542","470,104"
Spain,"4,861,883","+6,818","84,472",+132,"4,381,350","396,061","1,518","103,940","1,806","60,618,810","1,295,940"
Italy,"4,546,480","+6,496","129,318",+59,"4,280,619","136,543",540,"75,325","2,143","84,339,436","1,397,321"
Indonesia,"4,100,138","+10,337","133,676",+653,"3,776,891","189,571",0,"14,807",483,"32,436,136","117,142"
Germany,"3,970,033","+14,615","92,757",+27,"3,744,600","132,676","1,135","47,208","1,103","68,329,706","812,513"
Mexico,"3,352,410","+11,146","259,326",+835,"2,700,732","392,352","4,798","25,687","1,987","9,758,240","74,769"
Poland,"2,889,022",+352,"75,360",+15,"2,657,084","156,578",55,"76,433","1,994","19,819,235","524,344"
South Africa,"2,787,203","+9,544","82,496",+235,"2,560,605","144,102",546,"46,314","1,371","16,536,206","274,778"
Ukraine,"2,288,371","+2,075","53,833",+44,"2,208,865","25,673",177,"52,695","1,240","12,008,463","276,523"
Peru,"2,151,010","+1,004","198,329",+34,0,0,"1,256","64,196","5,919","16,793,799","501,201"
Philippines,"2,003,863","+14,124","33,532",+85,"1,829,329","141,002","3,050","18,007",301,"18,799,732","168,939"
Netherlands,"1,943,882","+2,827","18,012",+2,"1,851,899","73,971",206,"113,154","1,048","16,593,808","965,928"
Iraq,"1,895,459","+7,309","20,878",+48,"1,741,493","133,088",932,"45,925",506,"14,393,597","348,745"
Malaysia,"1,765,016","+18,762","16,942",+278,"1,482,800","265,274","1,007","53,731",516,"22,843,267","695,394"
Czechia,"1,679,477",+289,"30,404",0,"1,647,233","1,840",9,"156,490","2,833","36,018,150","3,356,089"
Chile,"1,639,123",+448,"36,945",+8,"1,596,357","5,821",657,"84,895","1,913","20,318,662","1,052,365"
Bangladesh,"1,503,680","+3,062","26,274",+79,"1,431,984","45,422","1,452","9,026",158,"8,958,639","53,772"
