Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"33,545,333","+230,919","1,006,138","+3,841","24,873,101","7,666,094","65,403","4,304",129.1,0,0
China,"85,372",+21,"4,634",0,"80,553",185,3,59,3,"160,000,000","111,163"
USA,"7,361,611","+37,418","209,808",+355,"4,609,636","2,542,167","14,065","22,208",633,"105,401,706","317,974"
India,"6,143,019","+69,671","96,351",+777,"5,098,573","948,095","8,944","4,441",70,"71,967,230","52,025"
Brazil,"4,748,327","+16,018","142,161",+385,"4,084,182","521,984","8,318","22,300",668,"17,900,000","84,066"
Russia,"1,159,573","+8,135","20,385",+61,"945,920","193,268","2,300","7,945",140,"45,400,000","311,066"
Colombia,"818,203","+5,147","25,641",+153,"722,536","70,026","2,220","16,039",503,"3,668,126","71,903"
Peru,"808,714","+3,412","32,324",+62,"670,989","105,401","1,354","24,445",977,"3,865,360","116,839"
Spain,"748,266","+2,425","31,411",+59,0,0,"1,529","16,003",672,"12,723,989","272,117"
Mexico,"730,317","+3,886","76,430",+187,"523,831","130,056","2,385","5,650",591,"1,671,189","12,929"
Argentina,"723,132","+11,807","16,113",+364,"576,715","130,304","3,678","15,964",356,"1,926,717","42,535"
South Africa,"671,669",+903,"16,586",+188,"604,478","50,605",539,"11,290",279,"4,152,480","69,801"
France,"542,639","+4,070","31,808",+81,"95,426","415,405","1,118","8,309",487,"10,712,335","164,025"
Chile,"459,671","+1,770","12,698",+57,"433,016","13,957",884,"23,996",663,"3,265,887","170,487"
Iran,"449,960","+3,512","25,779",+190,"376,531","47,650","4,068","5,341",306,"3,959,783","46,999"
UK,"439,013","+4,044","42,001",+13,0,0,262,"6,459",618,"24,016,711","353,324"
Bangladesh,"360,555","+1,407","5,193",+32,"272,073","83,289",0,"2,184",31,"1,921,382","11,638"
Iraq,"353,566","+4,116","9,052",+62,"284,784","59,730",532,"8,744",224,"2,220,913","54,923"
Saudi Arabia,"333,648",+455,"4,712",+29,"317,846","11,090","1,034","9,548",135,"6,392,497","182,933"
Turkey,"315,845","+1,412","8,062",+65,"277,052","30,731","1,596","3,735",95,"10,153,223","120,072"
Italy,"311,363","+1,493","35,851",+16,"225,190","50,322",264,"5,152",593,"11,138,173","184,286"
Pakistan,"310,841",+566,"6,466",+9,"296,022","8,353",451,"1,401",29,"3,449,541","15,544"
Philippines,"307,278","+3,063","5,380",+36,"252,640","49,258","1,758","2,795",49,"3,654,944","33,247"
Germany,"288,618","+2,280","9,545",+11,"252,400","26,673",353,"3,442",114,"15,642,654","186,555"
Indonesia,"278,722","+3,509","10,473",+87,"206,870","61,379",0,"1,016",38,"3,239,244","11,812"
Israel,"233,265","+2,239","1,507",+41,"165,191","66,567",772,"25,362",164,"3,424,497","372,325"
Ukraine,"201,305","+2,671","3,996",+37,"88,453","108,856",177,"4,610",92,"2,226,508","50,987"
Canada,"155,301","+2,176","9,278",+10,"132,607","13,416",110,"4,106",245,"7,220,108","190,893"
Ecuador,"134,965",+218,"11,280",+1,"112,296","11,389",366,"7,622",637,"419,740","23,704"
Bolivia,"133,901",+309,"7,858",+30,"93,791","32,252",71,"11,433",671,"297,176","25,375"
Qatar,"125,311",+227,214,0,"122,209","2,888",55,"44,630",76,"764,925","272,428"
Romania,"123,944","+1,271","4,748",+30,"99,344","19,852",557,"6,454",247,"2,372,340","123,524"
Morocco,"119,107","+1,422","2,113",+44,"97,468","19,526",415,"3,218",57,"2,575,657","69,581"
Netherlands,"114,540","+2,914","6,380",+6,0,0,144,"6,681",372,"2,240,526","130,687"
Belgium,"114,179","+1,376","9,980",+6,"19,275","84,924",135,"9,841",860,"3,135,283","270,236"
Dominican Republic,"111,666",+280,"2,098",+3,"86,422","23,146",194,"10,269",193,"472,421","43,443"
Panama,"111,277",+722,"2,348",+8,"87,695","21,234",110,"25,692",542,"472,799","109,163"
Kazakhstan,"107,775",+52,"1,699",0,"102,736","3,340",221,"5,723",90,"2,895,805","153,777"
Kuwait,"103,981",+437,605,+4,"95,511","7,865",125,"24,262",141,"738,783","172,379"
Egypt,"102,955",+115,"5,901",+18,"95,586","1,468",41,"1,002",57,"135,000","1,313"
Oman,"98,057",+607,924,+15,"88,234","8,899",201,"19,087",180,"376,700","73,326"
Sweden,"92,466",+296,"5,885",0,0,0,15,"9,142",582,"1,532,632","151,525"
UAE,"92,095",+626,413,+1,"81,462","10,220",0,"9,284",42,"9,503,699","958,094"
Guatemala,"90,263",+171,"3,234",+5,"79,067","7,962",5,"5,016",180,"314,975","17,504"
Poland,"88,636","+1,306","2,447",+15,"68,420","17,769",130,"2,343",65,"3,267,844","86,368"
Japan,"82,131",+441,"1,548",+3,"74,990","5,593",159,650,12,"1,957,973","15,493"
Belarus,"77,946",+337,822,+4,"74,167","2,957",0,"8,250",87,"1,835,232","194,234"
Honduras,"75,109",+561,"2,289",+1,"26,374","46,446",15,"7,554",230,"176,804","17,783"
Nepal,"74,745","+1,351",481,+4,"54,640","19,624",0,"2,554",16,"998,407","34,119"
Portugal,"74,029",+425,"1,957",+4,"47,884","24,188",98,"7,265",192,"2,553,085","250,565"
Ethiopia,"73,944",+612,"1,177",+7,"30,753","42,014",247,639,10,"1,260,929","10,904"
Costa Rica,"73,714",+935,861,+19,"29,420","43,433",228,"14,438",169,"224,515","43,975"
Venezuela,"73,528",+837,614,+8,"63,346","9,568",208,"2,588",22,"1,939,282","68,246"
Bahrain,"69,848",+487,245,+3,"63,549","6,054",61,"40,721",143,"1,418,129","826,761"
Czechia,"65,883","+1,286",618,+12,"31,799","33,466",181,"6,149",58,"1,335,867","124,686"
Nigeria,"58,460",+136,"1,111",+3,"49,895","7,454",7,282,5,"507,006","2,445"
Singapore,"57,715",+15,27,0,"57,393",295,0,"9,846",5,"2,692,047","459,269"
Uzbekistan,"55,776",+456,460,+2,"52,324","2,992",283,"1,661",14,"1,377,915","41,026"
Switzerland,"52,646",+782,"2,065",+1,"42,700","7,881",31,"6,072",238,"1,349,159","155,610"
Algeria,"51,213",+146,"1,719",+5,"35,962","13,532",22,"1,163",39,0,0
Moldova,"51,194",+319,"1,301",+14,"38,217","11,676",710,"12,698",323,"276,750","68,645"
Armenia,"49,574",+174,957,+6,"43,665","4,952",0,"16,722",323,"286,161","96,526"
Ghana,"46,444",+57,299,0,"45,646",499,6,"1,487",10,"479,104","15,342"
Kyrgyzstan,"46,355",+104,"1,064",+1,"42,613","2,678",24,"7,077",162,"267,718","40,872"
Austria,"43,432",+556,790,+3,"34,052","8,590",88,"4,816",88,"1,569,992","174,076"
Azerbaijan,"40,061",+38,588,+2,"37,725","1,748",0,"3,942",58,"1,104,783","108,723"
Paraguay,"39,432",+748,818,+15,"23,063","15,551",161,"5,512",114,"272,494","38,091"
Afghanistan,"39,233",+6,"1,455",+2,"32,642","5,136",93,"1,002",37,"110,359","2,820"
Palestine,"39,121",+418,299,+8,"30,220","8,602",0,"7,627",58,"414,286","80,764"
Kenya,"38,168",+53,700,+9,"24,681","12,787",44,706,13,"541,415","10,016"
Lebanon,"37,272","+1,018",351,+4,"16,676","20,245",178,"5,467",51,"811,938","119,091"
Ireland,"35,377",+387,"1,802",0,"23,364","10,211",16,"7,145",364,"1,155,064","233,290"
Serbia,"33,414",+30,748,+1,"31,536","1,130",20,"3,828",86,"1,120,363","128,356"
Libya,"33,213",+849,527,+7,"18,518","14,168",0,"4,818",76,"204,604","29,679"
El Salvador,"28,897",+267,836,+10,"23,528","4,533",45,"4,450",129,"391,051","60,215"
Denmark,"27,072",+435,649,0,"19,942","6,481",28,"4,670",112,"3,759,877","648,565"
Australia,"27,044",+4,875,+3,"24,676","1,493",11,"1,058",34,"7,562,779","295,748"
Bosnia and Herzegovina,"27,001",+81,829,+7,"20,005","6,167",0,"8,243",253,"232,973","71,121"
Hungary,"24,716",+702,749,+13,"5,152","18,815",44,"2,560",78,"697,473","72,245"
S. Korea,"23,661",+50,406,+5,"21,292","1,963",120,461,8,"2,301,303","44,877"
Cameroon,"20,838",+103,418,0,"19,440",980,30,780,16,"149,000","5,580"
Bulgaria,"20,271",+216,807,+11,"14,339","5,125",42,"2,923",116,"519,613","74,923"
Ivory Coast,"19,641",+12,120,0,"19,202",319,0,740,5,"160,428","6,046"
Greece,"17,707",+263,383,+4,"9,989","7,335",73,"1,701",37,"1,284,694","123,406"
North Macedonia,"17,674",+45,729,+4,"14,642","2,303",5,"8,483",350,"185,708","89,139"
Madagascar,"16,348",+63,229,0,"14,947","1,172",17,587,8,"70,281","2,523"
Croatia,"16,245",+48,272,0,"14,793","1,180",24,"3,963",66,"295,998","72,213"
Tunisia,"16,114",0,214,0,"5,032","10,868",74,"1,360",18,"225,033","18,992"
Senegal,"14,919",+10,309,+1,"12,231","2,379",14,886,18,"174,968","10,385"
Zambia,"14,660",+19,332,0,"13,821",507,0,792,18,"152,555","8,244"
Norway,"13,788",+90,274,+4,"11,190","2,324",3,"2,538",50,"1,034,670","190,491"
Sudan,"13,606",0,836,0,"6,764","6,006",0,309,19,0,0
Albania,"13,391",+132,380,+3,"7,629","5,382",18,"4,654",132,"81,979","28,494"
Myanmar,"11,631",+897,256,+30,"3,073","8,302",0,213,5,"245,154","4,498"
Namibia,"11,121",+88,121,+1,"8,787","2,213",15,"4,358",47,"96,041","37,635"
Malaysia,"11,034",+115,134,0,"9,889","1,011",8,340,4,"1,451,697","44,714"
DRC,"10,624",+12,271,0,"10,093",260,0,118,3,0,0
Guinea,"10,598",+18,66,0,"9,940",592,24,802,5,"32,458","2,456"
Montenegro,"10,441",+128,163,+5,"6,720","3,558",17,"16,624",260,"67,685","107,764"
Maldives,"10,157",+59,34,0,"8,950","1,173",12,"18,711",63,"149,135","274,737"
French Guiana,"9,895",+32,65,0,"9,536",294,6,"32,927",216,"65,570","218,196"
Finland,"9,743",+61,345,+2,"7,850","1,548",4,"1,758",62,"975,893","176,063"
Tajikistan,"9,685",+39,75,0,"8,483","1,127",0,"1,010",8,0,0
Slovakia,"9,343",+265,44,0,"4,213","5,086",31,"1,711",8,"447,940","82,036"
Jordan,"9,226",+734,51,+6,"4,359","4,816",13,902,5,"1,187,350","116,091"
Haiti,"8,740",0,227,0,"6,757","1,756",0,764,20,"27,986","2,447"
Gabon,"8,728",0,54,0,"7,934",740,2,"3,900",24,"163,264","72,945"
Luxembourg,"8,376",+19,124,0,"7,128","1,124",3,"13,328",197,"818,380","1,302,265"
Mozambique,"8,288",+305,59,+1,"4,836","3,393",0,263,2,"135,406","4,304"
Zimbabwe,"7,816",+4,228,+1,"6,112","1,476",0,524,15,"159,274","10,679"
Uganda,"7,777",+247,75,+2,"4,033","3,669",0,169,2,"477,473","10,362"
