Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"186,820,172","+492,452","4,035,019","+8,465","170,877,453","11,907,700","77,726","23,967",517.7,0,0
China,"91,989",+23,"4,636",0,"86,902",451,4,64,3,"160,000,000","111,163"
USA,"34,711,416","+27,237","622,708",+366,"29,222,972","4,865,736","3,937","104,244","1,870","511,428,004","1,535,903"
India,"30,794,756","+42,648","407,173","+1,206","29,925,883","461,700","8,944","22,094",292,"427,016,605","306,363"
Brazil,"19,020,499","+57,713","531,777","+1,433","17,479,277","1,009,445","8,318","88,839","2,484","54,204,686","253,175"
France,"5,803,687","+4,580","111,302",+18,"5,644,212","48,173",953,"88,713","1,701","95,721,796","1,463,168"
Russia,"5,733,218","+25,766","141,501",+726,"5,165,087","426,630","2,300","39,269",969,"154,100,000","1,055,491"
Turkey,"5,470,764","+5,670","50,155",+59,"5,338,885","81,724",684,"64,163",588,"62,798,364","736,521"
UK,"5,058,093","+35,707","128,365",+29,"4,352,069","577,659",417,"74,112","1,881","222,632,706","3,262,032"
Argentina,"4,627,537","+14,518","98,148",+244,"4,246,200","283,189","5,405","101,440","2,152","17,503,256","383,689"
Colombia,"4,471,622","+21,536","111,731",+576,"4,199,227","160,664","8,155","86,937","2,172","20,828,287","404,941"
Italy,"4,268,491","+1,390","127,756",+25,"4,099,339","41,396",169,"70,704","2,116","73,157,509","1,211,798"
Spain,"3,937,192","+21,879","81,003",+6,"3,635,907","220,282",627,"84,176","1,732","53,392,296","1,141,513"
Germany,"3,742,335",+884,"91,740",+39,"3,633,300","17,295",453,"44,521","1,091","65,247,345","776,225"
Iran,"3,344,122","+16,596","85,543",+146,"2,995,195","263,384","3,506","39,302","1,005","23,967,488","281,681"
Poland,"2,880,669",+75,"75,152",+17,"2,652,409","153,108",71,"76,200","1,988","17,723,903","468,833"
Mexico,"2,567,821","+9,452","234,458",+266,"2,031,875","301,488","4,798","19,705","1,799","7,671,778","58,872"
Indonesia,"2,455,912","+38,124","64,631",+871,"2,023,548","367,733",0,"8,883",234,"21,423,547","77,490"
Ukraine,"2,240,246",+655,"52,572",+12,"2,176,110","11,564",177,"51,541","1,210","11,001,742","253,116"
South Africa,"2,157,687","+22,441","63,873",+374,"1,884,170","209,644",546,"35,920","1,063","13,771,077","229,250"
Peru,"2,076,530","+2,344","194,084",+175,0,0,"2,206","62,098","5,804","14,596,948","436,520"
Netherlands,"1,708,837","+6,926","17,764",+2,"1,649,798","41,275",89,"99,504","1,034","14,730,069","857,718"
Czechia,"1,668,904",+253,"30,331",0,"1,636,777","1,796",3,"155,547","2,827","30,584,299","2,850,551"
Chile,"1,582,391","+2,800","33,636",+122,"1,529,269","19,486","2,525","82,060","1,744","17,501,660","907,601"
Philippines,"1,461,444","+5,870","25,720",+70,"1,383,783","51,941","2,031","13,158",232,"15,426,170","138,892"
Canada,"1,419,964",+768,"26,419",+14,"1,388,108","5,437",345,"37,290",694,"37,279,413","978,992"
Iraq,"1,414,925","+8,636","17,476",+32,"1,294,411","103,038",644,"34,394",425,"12,133,671","294,942"
Sweden,"1,092,540",0,"14,604",0,"1,068,085","9,851",27,"107,497","1,437","11,051,292","1,087,353"
Belgium,"1,092,477","+1,382","25,196",0,"1,046,075","21,206",99,"93,847","2,164","15,784,103","1,355,897"
Romania,"1,081,174",+54,"34,215",+1,"1,045,351","1,608",58,"56,587","1,791","10,014,512","524,141"
Bangladesh,"1,000,543","+11,324","16,004",+212,"862,384","122,155","1,182","6,014",96,"6,903,268","41,496"
Pakistan,"969,476","+1,843","22,520",+27,"911,383","35,573","1,971","4,304",100,"14,960,221","66,416"
Portugal,"902,489","+3,194","17,142",+7,"842,024","43,323",141,"88,772","1,686","13,854,788","1,362,810"
Israel,"845,379",+390,"6,434",+2,"834,998","3,947",40,"90,648",690,"15,418,324","1,653,262"
Malaysia,"817,838","+9,180","5,980",+77,"731,193","80,665",959,"24,943",182,"15,228,292","464,444"
Japan,"813,964","+2,252","14,917",+20,"781,613","17,434",441,"6,456",118,"16,909,861","134,119"
Hungary,"808,437",+44,"30,004",0,"741,083","37,350",13,"83,904","3,114","6,192,388","642,678"
