Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"233,089,409","+378,614","4,769,628","+5,515","209,801,593","18,518,188","92,118","29,903",611.9,0,0
China,"96,050",+35,"4,636",0,"90,402","1,012",11,67,3,"160,000,000","111,163"
USA,"43,942,335","+81,409","709,119",+689,"33,394,833","9,838,383","21,819","131,798","2,127","636,523,937","1,909,159"
India,"33,693,148","+14,905","447,406",+181,"32,948,657","297,085","8,944","24,122",320,"564,408,251","404,075"
Brazil,"21,366,395","+14,423","594,702",+218,"20,361,191","410,502","8,318","99,643","2,773","57,282,520","267,139"
UK,"7,701,709","+37,958","136,208",+40,"6,219,111","1,346,390",878,"112,718","1,993","300,199,126","4,393,533"
Russia,"7,443,149","+22,236","204,679",+779,"6,618,117","620,353","2,300","50,976","1,402","190,200,000","1,302,633"
Turkey,"7,066,688","+27,188","63,372",+206,"6,522,435","480,881",633,"82,688",742,"85,239,798","997,403"
France,"6,995,628","+1,309","116,555",+92,"6,737,565","141,508","1,609","106,881","1,781","139,307,228","2,128,375"
Iran,"5,547,990","+14,470","119,649",+289,"4,966,098","462,243","6,209","65,024","1,402","31,868,828","373,510"
Argentina,"5,251,940","+1,538","114,954",+92,"5,113,603","23,383","1,200","114,900","2,515","24,252,818","530,592"
Colombia,"4,952,690","+1,015","126,178",+33,"4,793,387","33,125",542,"96,068","2,448","25,404,570","492,778"
Spain,"4,951,640","+1,679","86,298",+23,"4,736,022","129,320",837,"105,856","1,845","64,557,887","1,380,114"
Italy,"4,662,064","+1,749","130,742",+45,"4,430,265","101,057",488,"77,248","2,166","91,522,929","1,516,494"
Germany,"4,211,071","+4,814","94,035",+56,"3,966,700","150,336","1,435","50,063","1,118","70,379,237","836,696"
Indonesia,"4,209,403","+1,390","141,585",+118,"4,027,548","40,270",0,"15,191",511,"38,291,015","138,184"
Mexico,"3,632,800","+3,988","275,446",+147,"2,984,461","372,893","4,798","27,814","2,109","10,559,580","80,849"
Poland,"2,903,656",+422,"75,572",0,"2,662,008","166,076",153,"76,826","2,000","20,767,718","549,479"
South Africa,"2,897,521",+578,"87,216",+164,"2,762,812","47,493",546,"48,105","1,448","17,588,025","291,998"
Philippines,"2,509,119","+18,261","37,595",+190,"2,313,160","158,364","3,170","22,527",338,"20,795,557","186,700"
Ukraine,"2,395,404","+3,007","55,720",+94,"2,245,144","94,540",177,"55,183","1,284","12,710,080","292,804"
Malaysia,"2,209,194","+10,959","25,695",+258,"2,005,939","177,560",978,"67,192",782,"29,820,166","906,972"
Peru,"2,173,354",+320,"199,314",+22,0,0,"1,025","64,799","5,943","17,782,096","530,180"
Netherlands,"1,997,885","+1,387","18,154",+4,"1,916,133","63,598",177,"116,279","1,057","17,203,296","1,001,250"
Iraq,"1,996,214","+2,447","22,142",+32,"1,900,227","73,845",521,"48,291",536,"15,154,796","366,617"
Japan,"1,694,914","+2,373","17,482",+29,"1,638,633","38,799","1,106","13,452",139,"24,500,691","194,455"
Czechia,"1,689,616",+250,"30,454",0,"1,653,571","5,591",30,"157,414","2,837","37,949,088","3,535,546"
Chile,"1,652,364",+614,"37,445",+5,"1,607,496","7,423",380,"85,529","1,938","21,663,179","1,121,326"
Canada,"1,612,431","+4,345","27,698",+12,"1,538,280","46,453",638,"42,264",726,"43,006,019","1,127,239"
Thailand,"1,571,926","+10,288","16,369",+101,"1,435,401","120,156","3,324","22,451",234,"9,201,621","131,420"
Bangladesh,"1,552,563","+1,212","27,439",+25,"1,512,681","12,443","1,413","9,312",165,"9,646,937","57,863"
Israel,"1,270,230","+3,514","7,684",+9,"1,205,657","56,889",641,"136,203",824,"20,852,386","2,235,941"
Pakistan,"1,240,425","+1,757","27,597",+31,"1,162,177","50,651","4,033","5,484",122,"19,240,519","85,063"
Belgium,"1,236,554","+1,142","25,563",+4,"1,149,151","61,840",216,"106,123","2,194","19,774,019","1,697,038"
Romania,"1,199,761","+5,655","36,450",+109,"1,098,795","64,516","1,218","62,885","1,911","12,644,635","662,765"
Sweden,"1,151,173","+1,068","14,808",+3,"1,109,544","26,821",42,"113,113","1,455","12,423,746","1,220,741"
Portugal,"1,067,175",+230,"17,955",+1,"1,017,935","31,285",79,"105,038","1,767","18,392,457","1,810,305"
Morocco,"929,699",+394,"14,199",+32,"901,220","14,280",552,"24,824",379,"9,651,083","257,694"
Serbia,"917,802","+6,736","8,097",+46,"786,477","123,228",225,"105,570",931,"5,575,278","641,297"
Kazakhstan,"878,990","+1,878","11,065",+30,"812,883","55,042",221,"46,130",581,"11,575,012","607,469"
Cuba,"860,799","+6,632","7,279",+52,"819,622","33,898",386,"76,055",643,"9,423,660","832,622"
Switzerland,"836,483","+3,100","11,075",+7,"759,741","65,667",209,"95,785","1,268","10,727,205","1,228,359"
Hungary,"821,261","+1,183","30,171",+20,"783,167","7,923",71,"85,282","3,133","6,893,915","715,882"
Jordan,"820,798","+1,015","10,697",+17,"797,773","12,328",446,"79,470","1,036","9,985,935","966,837"
Nepal,"792,367",+975,"11,103",+7,"762,416","18,848",0,"26,603",373,"4,174,503","140,158"
Vietnam,"766,051","+9,362","18,758",+174,"538,454","208,839",0,"7,783",191,"42,517,091","431,986"
Austria,"737,202","+1,312","10,976",+7,"705,102","21,124",234,"81,279","1,210","86,033,575","9,485,495"
UAE,"735,180",+286,"2,094",+4,"727,516","5,570",0,"73,238",209,"83,041,963","8,272,596"
Tunisia,"705,474",+179,"24,794",+6,"673,438","7,242",316,"58,929","2,071","2,909,401","243,025"
Greece,"648,400","+2,431","14,727",+48,"608,082","25,591",323,"62,587","1,422","19,401,554","1,872,745"
Lebanon,"622,440",+205,"8,296",+10,"591,002","23,142",200,"91,703","1,222","4,780,275","704,270"
Georgia,"607,155",+663,"8,844",+27,"578,881","19,430",0,"152,564","2,222","8,841,732","2,221,720"
Guatemala,"550,333",+773,"13,394",+19,"507,777","29,162",5,"30,032",731,"2,504,013","136,644"
Saudi Arabia,"546,985",+59,"8,704",+5,"536,026","2,255",244,"15,415",245,"28,754,325","810,345"
Belarus,"532,149","+1,946","4,102",+10,"514,561","13,486",0,"56,339",434,"8,414,751","890,877"
Costa Rica,"525,999","+1,178","6,277",+28,"425,077","94,645",443,"102,102","1,218","2,393,237","464,555"
Sri Lanka,"514,592",+983,"12,731",+51,"455,344","46,517",0,"23,907",591,"4,950,195","229,980"
Ecuador,"508,655",0,"32,747",0,"443,880","32,028",759,"28,299","1,822","1,821,662","101,348"
Bolivia,"498,895",+105,"18,700",+2,"457,516","22,679",220,"42,030","1,575","2,386,969","201,094"
Bulgaria,"495,397","+2,536","20,638",+149,"432,315","42,444",432,"71,968","2,998","4,744,679","689,273"
Azerbaijan,"481,401",+558,"6,476",+19,"452,968","21,957",0,"46,956",632,"4,830,338","471,149"
Panama,"466,357",+179,"7,216",+8,"455,577","3,564",61,"106,021","1,640","3,858,367","877,156"
Paraguay,"459,855",+27,"16,191",+2,"442,854",810,23,"63,508","2,236","1,833,388","253,199"
Myanmar,"459,436","+1,282","17,583",+56,"413,821","28,032",0,"8,375",320,"4,260,959","77,668"
Kuwait,"411,533",+49,"2,447",+1,"408,424",662,10,"94,635",563,"4,197,698","965,287"
