Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"175,163,428","+420,194","3,776,798","+14,097","158,967,656","12,418,974","85,302","22,472",484.5,0,0
China,"91,316",+16,"4,636",0,"86,267",413,10,63,3,"160,000,000","111,163"
USA,"34,264,727","+14,201","613,494",+452,"28,254,091","5,397,142","5,083","102,952","1,843","491,081,281","1,475,502"
India,"29,182,072","+93,896","359,695","+6,138","27,645,225","1,177,152","8,944","20,953",258,"370,193,563","265,807"
Brazil,"17,125,357","+87,097","479,791","+2,484","15,596,816","1,048,750","8,318","80,034","2,242","50,127,012","234,264"
France,"5,725,492","+5,557","110,202",+65,"5,458,414","156,876","2,326","87,534","1,685","87,626,503","1,339,668"
Turkey,"5,306,690","+6,454","48,428",+87,"5,179,833","78,429","1,018","62,293",568,"56,123,336","658,809"
Russia,"5,156,250","+10,407","124,895",+399,"4,761,899","269,456","2,300","35,318",855,"141,100,000","966,483"
UK,"4,535,754","+7,540","127,860",+6,"4,281,627","126,267",154,"66,487","1,874","191,044,609","2,800,397"
Italy,"4,237,790","+2,199","126,767",+77,"3,936,088","174,935",661,"70,187","2,100","67,851,729","1,123,777"
Argentina,"4,038,528","+29,757","83,272",+605,"3,608,895","346,361","7,769","88,594","1,827","14,861,736","326,027"
Germany,"3,715,870","+3,275","90,187",+103,"3,557,600","68,083","1,796","44,218","1,073","61,380,686","730,415"
Spain,"3,715,454","+4,427","80,332",+23,"3,501,083","134,039","1,040","79,438","1,718","51,240,666","1,095,546"
Colombia,"3,635,835","+24,233","93,473",+550,"3,385,586","156,776","6,582","70,749","1,819","17,799,489","346,355"
Iran,"2,990,714","+10,598","81,519",+157,"2,590,682","318,513","3,584","35,185",959,"21,065,451","247,831"
Poland,"2,876,285",+424,"74,363",+108,"2,646,647","155,275",388,"76,077","1,967","16,414,782","434,165"
Mexico,"2,438,011","+3,449","229,100",+262,"1,944,267","264,644","4,798","18,725","1,760","7,152,174","54,931"
Ukraine,"2,218,039","+1,385","51,410",+77,"2,108,684","57,945",177,"51,005","1,182","10,405,577","239,282"
Peru,"1,991,203","+3,270","187,479",+322,0,0,"2,604","59,614","5,613","13,274,284","397,414"
Indonesia,"1,877,050","+7,725","52,162",+170,"1,723,253","101,635",0,"6,795",189,"17,509,373","63,386"
South Africa,"1,712,939","+8,881","57,310",+127,"1,589,501","66,128",546,"28,545",955,"11,985,750","199,733"
Netherlands,"1,667,560","+1,714","17,700",+5,"1,548,185","101,675",314,"97,118","1,031","14,248,931","829,851"
Czechia,"1,664,401",+383,"30,210",+5,"1,628,151","6,040",40,"155,151","2,816","26,152,234","2,437,838"
Chile,"1,445,770","+5,353","30,141",+37,"1,369,856","45,773","3,279","75,027","1,564","15,372,255","797,730"
Canada,"1,396,798","+1,388","25,843",+52,"1,350,578","20,377",873,"36,707",679,"35,422,973","930,902"
Philippines,"1,286,202","+5,447","22,190",+126,"1,209,950","54,062","1,704","11,593",200,"13,863,613","124,958"
Iraq,"1,237,856","+4,616","16,614",+25,"1,155,887","65,355",422,"30,144",405,"10,807,363","263,177"
Sweden,"1,081,898",0,"14,525",0,"1,006,975","60,398",130,"106,504","1,430","10,239,089","1,007,951"
Romania,"1,079,294",+140,"31,507",+14,"1,043,482","4,305",272,"56,457","1,648","9,288,260","485,865"
Belgium,"1,072,175",+904,"25,051",+10,"989,310","57,814",319,"92,135","2,153","14,319,318","1,230,504"
Pakistan,"936,131","+1,118","21,453",+77,"869,691","44,987","3,024","4,162",95,"13,663,666","60,755"
Portugal,"854,522",+890,"17,037",0,"813,489","23,996",70,"84,034","1,675","12,186,678","1,198,442"
Israel,"839,585",0,"6,418",0,"832,981",186,34,"90,026",688,"14,739,061","1,580,427"
Bangladesh,"817,819","+2,537","12,949",+36,"757,569","47,301","1,153","4,920",78,"6,106,791","36,738"
Hungary,"806,385",+179,"29,889",+6,"720,400","56,096",58,"83,673","3,101","5,936,304","615,972"
Japan,"765,566","+1,832","13,743",+98,"713,807","38,016","1,055","6,070",109,"15,106,526","119,786"
Jordan,"741,699",+598,"9,561",+12,"723,637","8,501",540,"72,023",928,"7,471,403","725,517"
Serbia,"714,252",+198,"6,938",+8,"702,339","4,975",20,"82,058",797,"4,240,178","487,137"
Switzerland,"699,339",+541,"10,851",+7,"663,486","25,002",101,"80,255","1,245","7,897,523","906,307"
Austria,"647,688",+366,"10,650",+3,"632,188","4,850",124,"71,531","1,176","46,426,166","5,127,357"
Malaysia,"633,891","+6,239","3,611",+75,"548,705","81,575",905,"19,353",110,"12,920,184","394,459"
Nepal,"598,813","+3,449","8,179",+81,"510,298","80,336",0,"20,212",276,"3,179,203","107,309"
UAE,"589,423","+2,179","1,710",+6,"568,828","18,885",0,"58,929",171,"52,387,380","5,237,538"
Lebanon,"541,940",+139,"7,780",+6,"525,065","9,095",86,"79,736","1,145","4,543,738","668,521"
Morocco,"522,389",+386,"9,190",+3,"509,958","3,241",97,"13,997",246,"6,593,120","176,663"
Saudi Arabia,"461,242","+1,274","7,503",+15,"443,810","9,929","1,565","13,059",212,"20,021,161","566,834"
Ecuador,"433,870",+885,"20,903",+72,"398,645","14,322",479,"24,247","1,168","1,452,441","81,171"
Bulgaria,"419,990",+131,"17,872",+12,"387,915","14,203",256,"60,875","2,590","2,943,018","426,572"
Greece,"412,420",+886,"12,346",+15,"386,567","13,507",381,"39,751","1,190","9,910,362","955,199"
