Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"246,247,665","+476,960","4,995,953","+7,883","223,142,514","18,109,198","75,122","31,591",640.9,0,0
China,"96,938",+39,"4,636",0,"91,643",659,33,67,3,"160,000,000","111,163"
USA,"46,685,145","+78,460","763,784","+1,208","36,565,948","9,355,413","12,956","139,956","2,290","696,084,706","2,086,775"
India,"34,245,530","+14,323","457,221",+803,"33,619,942","168,367","8,944","24,497",327,"604,498,405","432,421"
Brazil,"21,781,436","+15,268","607,125",+399,"20,979,324","194,987","8,318","101,518","2,830","63,776,166","297,245"
UK,"8,936,155","+39,842","140,206",+165,"7,261,767","1,534,182",945,"130,726","2,051","325,510,859","4,761,880"
Russia,"8,392,697","+40,096","235,057","+1,159","7,272,053","885,587","2,300","57,477","1,610","206,300,000","1,412,847"
Turkey,"7,961,535","+25,528","69,998",+229,"7,404,472","487,065","1,405","93,075",818,"95,921,793","1,121,386"
France,"7,146,755","+6,461","117,622",+33,"6,930,197","98,936","1,049","109,170","1,797","151,204,954","2,309,721"
Iran,"5,899,509","+11,409","125,875",+159,"5,468,620","305,014","4,078","69,070","1,474","32,619,228","381,898"
Argentina,"5,286,074","+1,589","115,916",+27,"5,151,229","18,929",627,"115,558","2,534","25,004,055","546,608"
Spain,"5,008,887","+2,212","87,322",+33,"4,862,672","58,893",413,"107,076","1,867","66,213,858","1,415,469"
Colombia,"4,997,444","+1,750","127,195",+36,"4,840,891","29,358",342,"96,850","2,465","26,694,350","517,335"
Italy,"4,757,231","+4,866","132,004",+50,"4,548,449","76,778",347,"78,835","2,188","102,949,658","1,706,041"
Germany,"4,553,730","+26,610","96,062",+122,"4,247,000","210,668","1,336","54,122","1,142","73,348,901","871,766"
Indonesia,"4,242,532",+723,"143,333",+34,"4,086,759","12,440",0,"15,297",517,"46,061,624","166,080"
Mexico,"3,793,783","+4,797","287,274",+386,"3,156,269","350,240","4,798","29,021","2,198","11,275,833","86,257"
Poland,"2,998,891","+8,378","76,773",+101,"2,693,373","228,745",495,"79,353","2,031","22,043,704","583,294"
South Africa,"2,921,114",+533,"89,104",+55,"2,813,442","18,568",546,"48,446","1,478","18,471,818","306,348"
Ukraine,"2,851,804","+26,071","66,204",+576,"2,411,711","373,889",177,"65,731","1,526","14,232,081","328,034"
Philippines,"2,772,491","+3,694","42,575",+227,"2,680,081","49,835","3,194","24,864",382,"22,794,383","204,419"
Malaysia,"2,454,749","+6,377","28,769",+95,"2,354,622","71,358",564,"74,581",874,"33,791,439","1,026,660"
Peru,"2,199,036",+998,"200,179",+30,0,0,860,"65,489","5,961","18,955,153","564,500"
Netherlands,"2,108,549","+7,683","18,371",+15,"1,981,236","108,942",203,"122,697","1,069","17,988,698","1,046,766"
Iraq,"2,052,123","+1,471","23,083",+22,"1,996,126","32,914",226,"49,552",557,"15,760,869","380,573"
Thailand,"1,884,973","+9,658","19,006",+84,"1,766,823","99,144","2,432","26,916",271,"14,913,135","212,948"
Czechia,"1,747,738","+5,847","30,697",+17,"1,671,666","45,375",167,"162,803","2,859","40,290,474","3,753,095"
Japan,"1,717,706",+309,"18,228",+7,"1,694,929","4,549",177,"13,636",145,"26,297,440","208,769"
Canada,"1,709,529","+2,645","28,928",+47,"1,655,268","25,333",765,"44,776",758,"45,995,324","1,204,708"
Chile,"1,688,454","+2,136","37,719",+22,"1,636,151","14,584",437,"87,335","1,951","23,364,387","1,208,515"
Romania,"1,616,027","+13,197","46,430",+413,"1,371,046","198,551","1,881","84,752","2,435","14,589,574","765,142"
Bangladesh,"1,568,857",+294,"27,847",+6,"1,532,695","8,315","1,388","9,402",167,"10,301,593","61,739"
Belgium,"1,342,718","+8,771","25,946",+32,"1,210,640","106,132",260,"115,192","2,226","21,498,679","1,844,377"
Israel,"1,326,171",+675,"8,081",+8,"1,307,148","10,942",234,"142,201",867,"29,182,529","3,129,158"
Pakistan,"1,271,027",+705,"28,414",+9,"1,219,174","23,439","1,408","5,610",125,"20,660,167","91,193"
Sweden,"1,170,422",0,"14,984",0,"1,137,002","18,436",26,"114,944","1,472","13,154,558","1,291,874"
Serbia,"1,125,602","+6,697","9,761",+63,"990,667","125,174",275,"129,517","1,123","6,253,869","719,597"
Portugal,"1,088,133",+888,"18,149",+5,"1,038,529","31,455",60,"107,128","1,787","19,784,847","1,947,834"
Cuba,"949,747",+900,"8,219",+9,"936,832","4,696",123,"83,919",726,"10,449,263","923,286"
Morocco,"945,504",+303,"14,654",+7,"925,820","5,030",347,"25,221",391,"10,056,878","268,264"
Kazakhstan,"934,387","+1,699","12,028",+27,"878,983","43,376",221,"48,989",631,"11,575,012","606,863"
Vietnam,"905,477","+4,892","21,910",+54,"813,963","69,604",0,"9,193",222,"42,517,091","431,661"
Switzerland,"870,834","+1,792","11,233",+2,"826,584","33,017",85,"99,657","1,285","11,619,402","1,329,708"
Hungary,"859,378","+4,039","30,692",+45,"797,142","31,544",204,"89,259","3,188","7,348,118","763,212"
Jordan,"858,342","+1,892","11,000",+17,"827,523","19,819",577,"83,036","1,064","10,885,037","1,053,014"
Austria,"813,334","+4,248","11,316",+27,"765,385","36,633",265,"89,630","1,247","96,262,394","10,608,176"
Nepal,"811,407",+527,"11,382",+2,"789,789","10,236",0,"27,202",382,"4,402,582","147,595"
UAE,"739,654",+88,"2,135",0,"733,782","3,737",0,"73,610",212,"92,486,713","9,204,198"
Greece,"731,167","+2,957","15,801",+31,"676,427","38,939",391,"70,606","1,526","25,510,912","2,463,475"
Tunisia,"712,230",+91,"25,227",+6,"685,634","1,369",116,"59,441","2,105","3,061,394","255,498"
Georgia,"707,290","+4,009","9,918",+45,"647,878","49,494",0,"177,754","2,493","10,091,598","2,536,194"
Lebanon,"639,995",+663,"8,480",+8,"614,503","17,012",200,"94,325","1,250","4,780,275","704,537"
Guatemala,"599,042","+1,274","14,928",+66,"577,526","6,588",5,"32,640",813,"2,877,835","156,803"
Belarus,"594,203","+1,979","4,580",+17,"567,058","22,565",0,"62,911",485,"9,515,805","1,007,474"
Bulgaria,"592,943","+5,178","23,718",+124,"475,949","93,276",656,"86,194","3,448","5,469,185","795,033"
Costa Rica,"559,250",+596,"7,021",+13,"492,619","59,610",296,"108,474","1,362","2,544,016","493,446"
Saudi Arabia,"548,474",+51,"8,788",+3,"537,453","2,233",59,"15,437",247,"30,233,942","850,941"
Sri Lanka,"538,860",+540,"13,696",+22,"511,863","13,301",0,"25,026",636,"5,381,256","249,919"
Azerbaijan,"524,788","+2,420","6,995",+29,"489,032","28,761",0,"51,149",682,"5,158,035","502,733"
Ecuador,"515,859",0,"32,958",0,"443,880","39,021",759,"28,664","1,831","1,917,796","106,562"
Bolivia,"511,854",+707,"18,911",+4,"474,163","18,780",220,"43,073","1,591","2,530,350","212,932"
Myanmar,"497,700",+799,"18,622",+19,"463,349","15,729",0,"9,067",339,"4,810,731","87,640"
Panama,"472,197",+140,"7,314",0,"462,681","2,202",49,"107,208","1,661","4,054,784","920,604"
Slovakia,"470,008","+4,981","12,977",+20,"418,800","38,231",261,"86,033","2,375","3,912,175","716,104"
Paraguay,"460,944",+50,"16,243",+5,"444,391",310,14,"63,593","2,241","1,889,744","260,715"
Croatia,"458,090","+4,154","9,142",+26,"426,566","22,382",160,"112,504","2,245","3,073,618","754,864"
Ireland,"438,124","+2,598","5,436",0,"381,782","50,906",99,"87,438","1,085","8,019,575","1,600,495"
Palestine,"422,641",+355,"4,395",+6,"411,884","6,362",56,"80,382",836,"2,623,160","498,901"
Kuwait,"412,619",+25,"2,461",0,"409,756",402,6,"94,768",565,"4,771,773","1,095,951"
Venezuela,"404,387","+1,069","4,860",+12,"386,910","12,617",681,"14,275",172,"3,359,014","118,570"
Lithuania,"399,748","+3,576","5,774",+42,"354,382","39,592",241,"149,607","2,161","5,532,602","2,070,599"
Uruguay,"393,139",+260,"6,076",0,"385,070","1,993",22,"112,658","1,741","3,806,902","1,090,911"
Denmark,"382,796","+1,847","2,709",+1,"364,002","16,085",24,"65,782",466,"85,630,634","14,715,233"
Dominican Republic,"379,336","+1,102","4,124",+6,"369,087","6,125",254,"34,511",375,"2,197,647","199,937"
Honduras,"375,009",+226,"10,219",+8,"115,697","249,093",165,"37,083","1,011","1,086,743","107,463"
Ethiopia,"364,098",+386,"6,428",+16,"338,776","18,894",486,"3,067",54,"3,677,210","30,974"
S. Korea,"358,412","+2,107","2,808",+11,"330,853","24,751",345,"6,983",55,"15,678,187","305,454"
Libya,"356,086",+596,"5,061",+13,"293,779","57,246",0,"50,908",724,"1,780,050","254,484"
Mongolia,"355,129","+1,625","1,699",+10,"313,256","40,174",192,"106,071",507,"4,030,048","1,203,712"
Moldova,"334,287","+1,662","7,665",+46,"310,306","16,316",278,"83,124","1,906","2,003,239","498,125"
Slovenia,"328,729","+2,631","4,723",+10,"300,244","23,762",93,"158,095","2,271","1,713,687","824,159"
Egypt,"328,209",+923,"18,483",+55,"276,801","32,925",90,"3,129",176,"3,693,367","35,214"
Oman,"304,241",+22,"4,111",0,"299,580",550,3,"57,644",779,"25,000,000","4,736,709"
Armenia,"302,450","+2,307","6,189",+38,"264,678","31,583",0,"101,815","2,083","2,048,128","689,473"
Bahrain,"276,718",+33,"1,393",0,"274,798",527,2,"155,505",783,"6,872,519","3,862,096"
Kenya,"253,018",+80,"5,270",+4,"246,569","1,179",24,"4,573",95,"2,691,330","48,638"
Bosnia and Herzegovina,"252,083",+819,"11,477",+27,"192,218","48,388",0,"77,473","3,527","1,298,834","399,174"
Qatar,"238,950",+105,609,0,"237,225","1,116",11,"85,102",217,"2,815,544","1,002,756"
Latvia,"211,702","+2,919","3,173",+64,"173,054","35,475",183,"113,905","1,707","4,882,408","2,626,952"
Nigeria,"211,678",+182,"2,892",+6,"202,930","5,856",11,994,14,"3,298,966","15,497"
Zambia,"209,672",+15,"3,660",0,"205,904",108,12,"10,999",192,"2,587,760","135,749"
Algeria,"206,160",+91,"5,907",+3,"141,468","58,785",14,"4,592",132,"230,861","5,142"
Norway,"204,730",+996,900,0,"88,952","114,878",16,"37,378",164,"8,113,617","1,481,320"
North Macedonia,"201,292",+436,"7,098",+11,"187,695","6,499",0,"96,624","3,407","1,375,566","660,295"
Estonia,"188,522","+1,995","1,491",+8,"162,891","24,140",48,"141,990","1,123","2,116,680","1,594,228"
Singapore,"187,851","+3,432",364,+15,"155,928","31,559",61,"31,779",62,"20,824,694","3,522,936"
Botswana,"186,594",+609,"2,406",+4,"182,928","1,260",1,"77,287",997,"1,817,142","752,657"
Uzbekistan,"184,905",+342,"1,316",+4,"180,591","2,998",23,"5,421",39,"1,377,915","40,396"
Albania,"183,873",+591,"2,902",+9,"173,443","7,528",3,"63,986","1,010","1,297,234","451,426"
Kyrgyzstan,"180,989",+124,"2,664",+3,"175,402","2,923",131,"27,150",400,"1,766,598","265,002"
Australia,"165,904","+2,135","1,696",+27,"137,672","26,536",279,"6,408",66,"42,896,018","1,656,799"
Finland,"156,959",+673,"1,150",0,"46,000","109,809",33,"28,270",207,"7,443,522","1,340,666"
Afghanistan,"156,166",+42,"7,268",+2,"128,573","20,325","1,124","3,896",181,"772,383","19,269"
Mozambique,"151,260",+7,"1,929",0,"149,182",149,32,"4,667",60,"938,672","28,962"
Montenegro,"142,807",+499,"2,087",+5,"136,212","4,508",57,"227,338","3,322","808,784","1,287,522"
Zimbabwe,"132,880",+72,"4,675",0,"127,596",609,12,"8,772",309,"1,498,412","98,913"
Ghana,"130,077",+36,"1,175",+1,"127,121","1,781",40,"4,074",37,"1,857,963","58,190"
Namibia,"128,880",+12,"3,550",0,"124,536",794,0,"49,538","1,365","746,177","286,808"
Uganda,"125,920",+59,"3,209",+5,"96,597","26,114",179,"2,643",67,"1,792,314","37,618"
Cyprus,"122,295",+109,572,0,"90,755","30,968",18,"100,326",469,"9,420,908","7,728,517"
Cambodia,"118,220",+109,"2,766",+8,"114,063","1,391",0,"6,944",162,"2,601,505","152,808"
