Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"239,909,126","+442,752","4,888,774","+7,537","217,259,507","17,760,845","80,627","30,778",627.2,0,0
China,"96,457",+22,"4,636",0,"91,176",645,0,67,3,"160,000,000","111,163"
USA,"45,547,920","+99,775","739,778","+1,819","35,107,452","9,700,690","16,141","136,580","2,218","664,075,307","1,991,289"
India,"34,019,680","+19,180","451,469",+249,"33,355,097","213,114","8,944","24,345",323,"586,363,442","419,615"
Brazil,"21,597,949","+7,852","601,643",+201,"20,740,267","256,039","8,318","100,692","2,805","63,776,166","297,331"
UK,"8,272,883","+42,776","138,080",+136,"6,765,629","1,369,174",780,"121,049","2,020","316,222,267","4,626,985"
Russia,"7,861,681","+28,717","219,329",+984,"6,916,086","726,266","2,300","53,842","1,502","198,100,000","1,356,713"
Turkey,"7,540,223","+31,248","66,841",+236,"6,987,778","485,604",633,"88,188",782,"90,921,790","1,063,395"
France,"7,069,089","+5,578","117,173",+23,"6,860,572","91,344","1,200","107,993","1,790","146,046,715","2,231,128"
Iran,"5,742,083","+12,298","123,275",+194,"5,264,775","354,033","5,026","67,262","1,444","32,619,228","382,095"
Argentina,"5,268,653","+1,314","115,582",+35,"5,135,343","17,728",921,"115,220","2,528","24,345,129","532,401"
Spain,"4,980,206","+2,758","86,869",+42,"4,823,235","70,102",486,"106,465","1,857","66,213,858","1,415,491"
Colombia,"4,975,656","+1,256","126,726",+34,"4,819,082","29,848",342,"96,469","2,457","26,100,851","506,051"
Italy,"4,707,087","+2,772","131,421",+37,"4,495,215","80,451",367,"77,999","2,178","96,040,177","1,591,445"
Germany,"4,354,487","+12,309","95,265",+82,"4,116,400","142,822","1,336","51,761","1,132","73,348,901","871,879"
Indonesia,"4,231,046","+1,233","142,811",+48,"4,067,684","20,551",0,"15,262",515,"42,366,580","152,822"
Mexico,"3,732,429","+7,187","282,773",+546,"3,093,786","355,870","4,798","28,564","2,164","10,946,370","83,773"
Poland,"2,928,065","+2,640","75,958",+40,"2,670,394","181,713",239,"77,475","2,010","21,378,996","565,680"
South Africa,"2,913,880",+942,"88,466",+37,"2,802,615","22,799",546,"48,350","1,468","18,055,424","299,595"
Philippines,"2,690,455","+7,181","40,069",+173,"2,567,975","82,411","3,194","24,141",360,"21,949,976","196,952"
Ukraine,"2,578,394","+16,309","59,523",+471,"2,304,361","214,510",177,"59,415","1,372","13,379,666","308,311"
Malaysia,"2,361,529","+7,950","27,593",+68,"2,227,889","106,047",722,"71,786",839,"31,944,479","971,047"
Peru,"2,186,246",+891,"199,746",+19,0,0,927,"65,145","5,952","18,367,317","547,300"
Netherlands,"2,033,005","+3,716","18,227",+12,"1,954,438","60,340",147,"118,312","1,061","17,632,552","1,026,134"
Iraq,"2,028,115","+1,766","22,655",+35,"1,955,288","50,172",300,"49,016",548,"15,453,389","373,483"
Thailand,"1,740,428","+10,064","17,917",+82,"1,615,343","107,168","3,324","24,855",256,"9,201,621","131,406"
Japan,"1,711,935",+611,"17,986",+27,"1,683,921","10,028",413,"13,589",143,"25,521,756","202,586"
Czechia,"1,702,939","+1,512","30,521",+5,"1,660,413","12,005",78,"158,642","2,843","38,989,926","3,632,223"
Canada,"1,670,240","+2,665","28,367",+78,"1,605,864","36,009",776,"43,762",743,"44,641,851","1,169,673"
Chile,"1,664,725",+733,"37,578",+4,"1,618,500","8,647",369,"86,137","1,944","22,493,184","1,163,856"
Bangladesh,"1,564,019",+518,"27,730",+17,"1,525,673","10,616","1,395","9,377",166,"10,020,697","60,079"
Romania,"1,398,264","+15,733","40,461",+382,"1,199,267","158,536","1,676","73,311","2,121","13,653,507","715,854"
Israel,"1,311,838","+1,730","7,959",+2,"1,280,972","22,907",412,"140,665",853,"27,956,176","2,997,660"
Belgium,"1,269,002","+2,440","25,713",+18,"1,181,547","61,742",197,"108,887","2,206","20,561,955","1,764,327"
Pakistan,"1,260,669","+1,021","28,173",+21,"1,191,425","41,071","2,257","5,569",124,"19,997,075","88,335"
Sweden,"1,160,465",0,"14,882",0,"1,126,758","18,825",29,"113,995","1,462","12,879,376","1,265,169"
Portugal,"1,077,186",+828,"18,065",+9,"1,029,087","30,034",54,"106,037","1,778","19,078,687","1,878,087"
Serbia,"1,024,497","+6,699","8,892",+51,"890,644","124,961",288,"117,864","1,023","5,920,403","681,115"
