Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"178,950,099","+359,826","3,875,349","+8,178","163,472,827","11,601,923","82,769","22,958",497.2,0,0
China,"91,564",+30,"4,636",0,"86,425",503,21,64,3,"160,000,000","111,163"
USA,"34,401,712","+7,782","617,083",+170,"28,694,843","5,089,786","3,989","103,347","1,854","498,689,211","1,498,123"
India,"29,881,352","+58,588","386,740","+1,239","28,758,447","736,165","8,944","21,450",278,"389,207,637","279,385"
Brazil,"17,883,750","+81,574","500,868","+2,247","16,183,849","1,199,033","8,318","83,562","2,340","52,714,701","246,310"
France,"5,755,496","+2,624","110,724",+22,"5,555,411","89,361","1,703","87,987","1,693","90,467,735","1,383,023"
Turkey,"5,365,208","+5,480","49,122",+51,"5,228,419","87,667",829,"62,962",576,"58,339,486","684,624"
Russia,"5,299,215","+17,906","128,911",+466,"4,861,343","308,961","2,300","36,297",883,"144,800,000","991,815"
UK,"4,620,968","+10,321","127,970",+14,"4,299,835","193,163",210,"67,726","1,876","200,024,844","2,931,615"
Argentina,"4,258,394","+15,631","88,742",+495,"3,868,105","301,547","7,386","93,395","1,946","15,791,124","346,329"
Italy,"4,252,095","+1,197","127,253",+28,"4,035,692","89,150",394,"70,427","2,108","69,765,699","1,155,523"
Colombia,"3,917,348","+28,734","99,335",+589,"3,644,287","173,726","8,155","76,205","1,932","18,772,724","365,187"
Spain,"3,757,442",0,"80,652",0,"3,544,205","132,585",793,"80,335","1,724","51,240,666","1,095,535"
Germany,"3,729,557",+974,"90,953",+41,"3,601,200","37,404","1,210","44,377","1,082","63,091,197","750,704"
Iran,"3,086,974","+6,448","82,854",+108,"2,736,013","268,107","3,307","36,305",974,"22,194,745","261,026"
Poland,"2,878,634",+168,"74,823",+41,"2,650,194","153,617",237,"76,141","1,979","16,924,814","447,669"
