Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"32,752,247","+317,952","992,978","+5,818","24,168,132","7,591,137","63,773","4,202",127.4,0,0
China,"85,322",+8,"4,634",0,"80,522",166,4,59,3,"160,000,000","111,163"
USA,"7,244,184","+53,629","208,440",+895,"4,480,719","2,555,025","14,141","21,855",629,"102,547,355","309,378"
India,"5,901,571","+85,468","93,410","+1,093","4,846,168","961,993","8,944","4,267",68,"68,928,440","49,833"
Brazil,"4,692,579","+32,670","140,709",+826,"4,040,949","510,921","8,318","22,039",661,"17,900,000","84,070"
Russia,"1,136,048","+7,212","20,056",+108,"934,146","181,846","2,300","7,784",137,"44,300,000","303,530"
Colombia,"798,317","+7,494","25,103",+179,"687,477","85,737",863,"15,650",492,"3,571,117","70,008"
Peru,"794,584","+5,654","32,037",+99,"650,948","111,599","1,368","24,021",968,"3,804,340","115,007"
Spain,"735,198","+4,122","31,232",+114,0,0,"1,465","15,723",668,"11,820,505","252,796"
Mexico,"715,457","+5,408","75,439",+490,"514,760","125,258","2,622","5,535",584,"1,635,790","12,656"
Argentina,"691,235","+12,969","15,208",+442,"546,924","129,103","3,595","15,261",336,"1,868,089","41,244"
South Africa,"668,529","+1,480","16,312",+29,"599,149","53,068",539,"11,239",274,"4,117,079","69,214"
France,"513,034","+15,797","31,661",+150,"94,891","386,482","1,098","7,856",485,"10,218,319","156,464"
Chile,"453,868","+2,222","12,527",+58,"428,580","12,761",891,"23,695",654,"3,150,848","164,493"
Iran,"439,882","+3,563","25,222",+207,"369,842","44,818","4,023","5,221",299,"3,879,640","46,052"
UK,"423,236","+6,874","41,936",+34,0,0,243,"6,227",617,"23,188,836","341,160"
Bangladesh,"356,767","+1,383","5,093",+21,"267,024","84,650",0,"2,161",31,"1,888,010","11,437"
Iraq,"341,699","+4,593","8,867",+68,"273,266","59,566",553,"8,452",219,"2,162,547","53,489"
Saudi Arabia,"332,329",+472,"4,625",+26,"315,636","12,068","1,043","9,511",132,"6,275,557","179,609"
Turkey,"311,455","+1,665","7,858",+73,"273,282","30,315","1,601","3,684",93,"9,834,572","116,314"
Pakistan,"309,015",+798,"6,444",+7,"294,740","7,831",544,"1,393",29,"3,344,019","15,071"
Italy,"306,235","+1,912","35,801",+20,"222,716","47,718",244,"5,067",592,"10,894,963","180,259"
Philippines,"298,509","+1,778","5,196",+69,"232,119","61,194","1,758","2,716",47,"3,554,832","32,340"
Germany,"283,706","+2,361","9,530",+11,"249,500","24,676",304,"3,384",114,"15,642,654","186,560"
Indonesia,"266,845","+4,823","10,218",+113,"196,196","60,431",0,973,37,"3,120,947","11,382"
Israel,"217,899","+5,784","1,412",+34,"153,574","62,913",708,"23,691",154,"3,322,537","361,240"
Ukraine,"191,671","+3,565","3,827",+70,"85,133","102,711",177,"4,389",88,"2,156,653","49,385"
Canada,"150,456","+1,362","9,255",+6,"129,573","11,628",97,"3,978",245,"6,979,242","184,538"
Bolivia,"132,618",+628,"7,765",+34,"92,101","32,752",71,"11,325",663,"293,581","25,071"
Ecuador,"132,475","+1,329","11,236",+23,"102,852","18,387",370,"7,482",635,"409,334","23,119"
Qatar,"124,650",+225,212,0,"121,512","2,926",63,"44,394",76,"751,104","267,506"
Romania,"119,683","+1,629","4,633",+42,"96,158","18,892",508,"6,231",241,"2,328,322","121,225"
Morocco,"112,522","+2,423","1,998",+42,"91,932","18,592",368,"3,040",54,"2,505,151","67,683"
Dominican Republic,"110,597",+475,"2,087",+11,"84,610","23,900",214,"10,171",192,"462,287","42,515"
Panama,"109,431",+705,"2,311",+14,"86,158","20,962",121,"25,269",534,"459,451","106,095"
Belgium,"108,768","+1,881","9,965",+6,"19,123","79,680",104,"9,375",859,"3,027,173","260,927"
Kazakhstan,"107,590",+61,"1,699",0,"102,360","3,531",221,"5,714",90,"2,733,455","145,170"
Netherlands,"105,918","+2,777","6,328",+16,0,0,125,"6,178",369,"2,240,526","130,689"
Egypt,"102,625",+112,"5,853",+18,"93,531","3,241",41,998,57,"135,000","1,313"
Kuwait,"102,441",+590,595,+3,"93,562","8,284",111,"23,905",139,"729,755","170,293"
Oman,"95,907",0,885,0,"86,765","8,257",185,"18,673",172,"376,700","73,342"
Sweden,"90,923",0,"5,880",+5,0,0,15,"8,990",581,"1,532,632","151,533"
UAE,"89,540","+1,008",409,+2,"78,819","10,312",0,"9,028",41,"9,222,609","929,848"
Guatemala,"88,878",+945,"3,186",+16,"77,750","7,942",5,"4,940",177,"307,668","17,100"
Poland,"84,396","+1,587","2,392",+23,"66,740","15,264",96,"2,231",63,"3,201,501","84,614"
Japan,"80,497",+456,"1,532",+12,"73,490","5,475",163,637,12,"1,908,707","15,103"
Belarus,"76,957",+306,807,+5,"73,925","2,225",0,"8,145",85,"1,792,426","189,703"
Honduras,"73,193",+518,"2,249",+27,"24,580","46,364",20,"7,363",226,"172,323","17,334"
Ethiopia,"72,173",+486,"1,155",+7,"29,863","41,155",273,624,10,"1,241,872","10,742"
Portugal,"72,055",+899,"1,936",+5,"47,003","23,116",86,"7,071",190,"2,501,955","245,541"
Venezuela,"71,273",+867,591,+10,"60,709","9,973",202,"2,508",21,"1,927,870","67,843"
Costa Rica,"70,816","+1,357",812,+17,"27,023","42,981",237,"13,872",159,"216,356","42,381"
Nepal,"70,614","+1,313",459,+6,"51,866","18,289",0,"2,413",16,"968,185","33,091"
Bahrain,"68,190",+489,236,+5,"61,475","6,479",55,"39,766",138,"1,388,323","809,615"
Czechia,"61,318","+2,944",581,+14,"30,740","29,997",151,"5,723",54,"1,286,000","120,033"
Nigeria,"58,062",+213,"1,103",+1,"49,606","7,353",7,280,5,"494,577","2,386"
Singapore,"57,665",+11,27,0,"57,341",297,0,"9,838",5,"2,692,047","459,299"
Uzbekistan,"54,392",+558,449,+3,"50,879","3,064",283,"1,620",13,"1,377,915","41,031"
Switzerland,"51,864",+372,"2,064",+3,"42,600","7,200",35,"5,982",238,"1,326,290","152,982"
