Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"162,532,777","+698,680","3,371,102","+12,839","141,457,464","17,704,211","103,611","20,851",432.5,0,0
China,"90,815",+7,"4,636",0,"85,894",285,1,63,3,"160,000,000","111,163"
USA,"33,668,931","+39,095","599,314",+733,"26,712,821","6,356,796","8,346","101,203","1,801","464,099,542","1,395,010"
India,"24,372,243","+326,123","266,229","+3,879","20,426,323","3,679,691","8,944","17,512",191,"311,324,100","223,692"
Brazil,"15,521,313","+84,486","432,785","+2,189","14,028,355","1,060,173","8,318","72,574","2,024","46,970,130","219,621"
France,"5,848,154","+7,025","107,423",+173,"5,042,584","698,147","4,352","89,423","1,643","80,698,552","1,233,944"
Turkey,"5,095,390","+11,394","44,301",+242,"4,894,024","157,065","2,670","59,858",520,"50,463,016","592,813"
Russia,"4,922,901","+9,462","115,116",+393,"4,537,634","270,151","2,300","33,721",789,"132,700,000","908,974"
UK,"4,446,824","+2,193","127,668",+17,"4,273,441","45,715",129,"65,207","1,872","169,007,195","2,478,284"
Italy,"4,146,715","+7,560","123,927",+182,"3,683,189","339,599","1,860","68,672","2,052","62,405,408","1,033,466"
Spain,"3,604,799","+6,347","79,339",+58,"3,297,340","228,120","1,899","77,074","1,696","47,213,067","1,009,462"
Germany,"3,585,891","+10,247","86,481",+205,"3,259,000","240,410","4,376","42,681","1,029","58,093,759","691,457"
Argentina,"3,269,466","+27,363","69,853",+599,"2,913,144","286,469","5,457","71,770","1,533","12,224,943","268,356"
Colombia,"3,084,460","+16,581","80,250",+490,"2,888,990","115,220","6,582","60,065","1,563","15,783,446","307,356"
Poland,"2,849,015","+3,289","71,311",+289,"2,589,277","188,427","1,690","75,350","1,886","15,078,062","398,779"
Iran,"2,732,152","+10,145","76,433",+202,"2,196,197","459,522","5,468","32,172",900,"17,750,149","209,015"
Mexico,"2,375,115","+3,632","219,901",+311,"1,895,483","259,731","4,798","18,255","1,690","6,811,363","52,353"
Ukraine,"2,143,448","+7,562","47,620",+287,"1,832,601","263,227",177,"49,269","1,095","9,790,291","225,037"
Peru,"1,879,049","+5,733","65,608",+292,"1,720,665","92,776","2,685","56,311","1,966","11,972,376","358,787"
Indonesia,"1,734,285","+2,633","47,823",+107,"1,592,886","93,576",0,"6,283",173,"15,410,887","55,831"
Czechia,"1,651,188","+1,224","29,879",+21,"1,592,136","29,173",319,"153,939","2,786","21,004,062","1,958,197"
South Africa,"1,608,393","+3,141","55,124",+112,"1,522,165","31,104",546,"26,826",919,"11,052,993","184,353"
Netherlands,"1,589,282","+5,515","17,423",+10,"1,351,998","219,861",722,"92,574","1,015","13,171,698","767,234"
