Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"483,402,506","+1,067,246","6,151,655","+2,910","417,765,793","59,485,058","58,446","62,016",789.2,0,0
China,"144,515","+1,275","4,638",0,"112,132","27,745",58,100,3,"160,000,000","111,163"
USA,"81,658,973","+16,886","1,004,244",+215,"64,683,169","15,971,560","2,270","244,218","3,003","979,700,827","2,930,000"
India,"43,021,982","+1,259","521,098",+32,"42,485,534","15,350","8,944","30,653",371,"787,355,354","560,981"
Brazil,"29,852,341","+9,923","659,012",+86,"28,550,311","643,018","8,318","138,732","3,063","63,776,166","296,386"
France,"25,059,028","+29,455","141,821",+149,"23,023,200","1,894,007","1,486","382,440","2,164","254,106,036","3,878,060"
UK,"20,940,865","+63,194","164,671",+73,"18,903,733","1,872,461",302,"305,686","2,404","502,637,378","7,337,294"
Germany,"20,465,072","+214,035","129,106",+159,"15,873,400","4,462,566","2,494","242,913","1,532","104,701,826","1,242,773"
Russia,"17,783,843","+21,101","367,686",+335,"16,689,977","726,180","2,300","121,771","2,518","273,400,000","1,872,052"
Turkey,"14,815,041","+14,364","97,861",+61,"14,475,383","241,797",975,"172,443","1,139","152,938,450","1,780,160"
Italy,"14,397,122","+31,549","158,877",+95,"12,983,350","1,254,895",487,"238,728","2,634","199,235,675","3,303,656"
S. Korea,"12,003,054","+187,213","15,186",+287,0,0,"1,273","233,769",296,"15,804,065","307,797"
Spain,"11,494,150","+14,158","102,392",0,"10,847,737","544,021",510,"245,674","2,189","471,036,328","10,067,851"
Vietnam,"9,274,849","+83,376","42,358",+52,"5,474,708","3,757,783","3,401","93,821",428,"84,027,988","849,992"
Argentina,"9,028,730","+2,655","127,943",+34,"8,852,314","48,473",550,"196,640","2,787","35,298,948","768,790"
Netherlands,"7,775,347","+21,462","21,908",+10,"6,283,491","1,469,948",168,"452,039","1,274","21,107,399","1,227,130"
Iran,"7,154,003","+2,915","140,063",+42,"6,858,772","155,168","1,513","83,325","1,631","48,991,010","570,611"
Japan,"6,377,719","+43,565","27,767",+68,"5,923,340","426,612",691,"50,695",221,"42,863,127","340,711"
Colombia,"6,083,939",+296,"139,585",+12,"5,917,027","27,327",342,"117,398","2,693","33,853,193","653,242"
Indonesia,"6,001,751","+2,798","154,774",+104,"5,724,963","122,014","2,771","21,547",556,"91,602,381","328,867"
Poland,"5,945,592","+2,366","114,829",+1,"5,293,498","537,265",328,"157,396","3,040","35,468,501","938,948"
Mexico,"5,650,896",+919,"322,750",+15,"4,948,911","379,235","4,798","43,044","2,458","15,524,434","118,253"
Ukraine,"4,959,082","+6,169","107,861",+50,0,0,177,"114,586","2,492","19,521,252","451,065"
Australia,"4,326,294","+46,957","5,897",+6,"3,850,408","469,989",113,"166,313",227,"66,122,074","2,541,894"
Malaysia,"4,152,203","+13,336","34,842",+54,"3,896,489","220,872",288,"125,501","1,053","55,851,665","1,688,125"
Israel,"3,876,122","+11,967","10,485",0,"3,782,095","83,542",278,"415,625","1,124","41,373,364","4,436,346"
Belgium,"3,800,166","+8,917","30,731",+21,"3,506,989","262,446",167,"325,438","2,632","32,630,945","2,794,439"
Czechia,"3,790,346","+2,245","39,599",+18,"3,688,831","61,916",88,"352,806","3,686","54,579,690","5,080,282"
Austria,"3,747,582","+49,071","15,706",+41,"3,331,691","400,185",241,"412,025","1,727","173,915,134","19,120,969"
South Africa,"3,713,833",+581,"99,970",+4,"3,600,227","13,636",546,"61,279","1,650","23,757,304","392,001"
Philippines,"3,677,370",+381,"59,030",+15,"3,576,500","41,840",289,"32,801",527,"28,867,209","257,490"
Thailand,"3,553,720","+24,635","24,883",+81,"3,278,103","250,734","1,496","50,692",355,"17,270,775","246,360"
Peru,"3,545,628",+225,"212,157",+29,0,0,492,"104,999","6,283","28,614,628","847,384"
Portugal,"3,534,003",0,"21,545",0,0,0,64,"348,344","2,124","39,851,361","3,928,121"
Chile,"3,455,060","+4,463","56,446",+65,"2,961,198","437,416",655,"178,089","2,909","35,313,893","1,820,232"
Canada,"3,450,363","+7,966","37,455",+31,"3,268,869","144,039",384,"90,050",978,"59,252,292","1,546,411"
Switzerland,"3,440,541","+6,958","13,670",+10,"2,759,069","667,802",145,"392,559","1,560","20,199,118","2,304,682"
Greece,"2,957,810","+27,489","27,341",+73,"2,681,342","249,127",342,"286,200","2,646","73,051,999","7,068,572"
Denmark,"2,899,802","+3,209","5,585",0,"2,811,399","82,818",26,"497,600",958,"126,729,778","21,746,564"
Romania,"2,842,739","+1,951","64,914",+7,"2,606,660","171,165",400,"149,499","3,414","21,987,011","1,156,290"
Sweden,"2,481,736",0,"18,155",0,"2,426,067","37,514",32,"243,105","1,778","18,382,831","1,800,742"
Iraq,"2,318,450",+473,"25,156",+6,"2,280,424","12,870",53,"55,483",602,"18,304,232","438,039"
Serbia,"1,970,827","+1,783","15,768",+10,"1,917,068","37,991",41,"227,150","1,817","9,142,320","1,053,707"
Bangladesh,"1,951,363",+81,"29,119",+1,"1,878,797","43,447","1,248","11,648",174,"13,797,351","82,355"
Hungary,"1,844,581","+5,223","45,342",+84,"1,699,172","100,067",60,"191,788","4,714","11,086,534","1,152,709"
Slovakia,"1,690,203","+2,778","19,292",+22,"1,557,216","113,695",176,"309,321","3,531","6,830,063","1,249,959"
Jordan,"1,689,314",0,"14,003",0,"1,668,852","6,459",276,"162,766","1,349","16,575,546","1,597,061"
Georgia,"1,646,545",+229,"16,720",+12,"1,621,396","8,429",0,"414,133","4,205","16,320,431","4,104,853"
Pakistan,"1,524,086",+186,"30,346",+1,"1,485,426","8,314",420,"6,675",133,"27,388,407","119,953"
Ireland,"1,442,877","+5,263","6,721",+11,"1,289,097","147,059",52,"286,659","1,335","11,724,746","2,329,375"
Norway,"1,399,714","+2,076","2,339",0,0,0,20,"254,736",426,"9,852,076","1,792,996"
Kazakhstan,"1,305,065",+25,"13,658",0,"1,287,281","4,126",528,"68,092",713,"11,575,012","603,930"
Morocco,"1,163,012",+38,"16,058",+1,"1,146,377",577,293,"30,874",426,"11,237,010","298,308"
Hong Kong,"1,136,192","+7,685","7,420",+168,0,0,115,"149,451",976,"36,260,319","4,769,551"
Bulgaria,"1,134,906","+1,442","36,480",+43,"910,314","188,112",218,"165,493","5,320","9,562,817","1,394,456"
Croatia,"1,094,202",+143,"15,534",+14,"1,069,971","8,697",36,"269,417","3,825","4,660,113","1,147,426"
Lebanon,"1,091,084",+302,"10,288",+5,"1,055,020","25,776",186,"161,107","1,519","4,795,578","708,102"
Cuba,"1,088,017",+834,"8,510",+1,"1,075,430","4,077",23,"96,160",752,"12,920,253","1,141,907"
Singapore,"1,076,930","+4,925","1,254",+4,"1,025,578","50,098",25,"181,603",211,"23,477,384","3,958,997"
Tunisia,"1,033,731",0,"28,165",0,0,0,63,"85,908","2,341","4,500,701","374,028"
Lithuania,"1,016,140","+1,094","8,851",+20,"941,367","65,922",52,"382,521","3,332","8,036,844","3,025,432"
Nepal,"978,347",+15,"11,951",0,"965,142","1,254",100,"32,562",398,"5,534,505","184,206"
Belarus,"959,802",+526,"6,791",+6,"928,536","24,475",0,"101,632",719,"12,822,145","1,357,713"
Slovenia,"957,792",+981,"6,479",+4,"912,559","38,754",55,"460,602","3,116","2,609,695","1,255,003"
Bolivia,"901,367",+75,"21,487",0,"831,184","48,696",220,"75,434","1,798","2,682,016","224,453"
UAE,"890,398",+287,"2,302",0,"865,229","22,867",0,"88,179",228,"147,194,995","14,577,214"
Uruguay,"884,742",+661,"7,154",+3,"869,748","7,840",41,"253,173","2,047","5,972,902","1,709,176"
Finland,"859,477","+14,764","3,054",+69,"46,000","810,423",32,"154,703",550,"10,353,764","1,863,647"
Ecuador,"857,299",0,"35,418",0,0,0,759,"47,345","1,956","2,470,170","136,417"
Costa Rica,"834,726",0,"8,266",0,"792,603","33,857",73,"161,306","1,597","3,913,872","756,335"
Guatemala,"824,644",+142,"17,289",+4,"796,288","11,067",5,"44,599",935,"4,206,401","227,495"
Azerbaijan,"791,766",+16,"9,684",+3,"781,788",294,0,"76,888",940,"6,687,581","649,427"
Latvia,"791,550",+930,"5,577",+2,"736,915","49,058",31,"427,856","3,015","7,030,509","3,800,197"
Panama,"763,608",+125,"8,167",+3,"753,027","2,414",10,"172,274","1,843","5,682,298","1,281,955"
Saudi Arabia,"750,483",+127,"9,040",+1,"733,592","7,851",135,"20,990",253,"41,492,799","1,160,513"
Sri Lanka,"661,053",+163,"16,465",+6,"637,136","7,452",0,"30,648",763,"6,368,159","295,246"
Paraguay,"647,906",0,"18,664",0,"624,673","4,569",38,"88,944","2,562","2,584,332","354,774"
Kuwait,"628,130",0,"2,553",0,"623,331","2,246",10,"143,406",583,"7,763,313","1,772,417"
Myanmar,"611,021",+163,"19,430",0,"568,818","22,773",0,"11,101",353,"7,614,334","138,336"
New Zealand,"610,687","+12,942",231,+8,"497,480","112,976",0,"122,086",46,"6,909,758","1,381,371"
Palestine,"580,873",0,"5,345",0,"574,144","1,384",17,"109,455","1,007","3,078,533","580,096"
Dominican Republic,"577,910",+30,"4,375",0,"573,347",188,25,"52,363",396,"3,218,626","291,633"
Estonia,"552,285",+571,"2,444",+5,"472,895","76,946",17,"415,852","1,840","3,230,722","2,432,622"
Bahrain,"552,155",+813,"1,469",+1,"542,990","7,696",6,"306,069",814,"9,591,574","5,316,778"
Venezuela,"520,169",+56,"5,680",+1,"512,923","1,566",230,"18,383",201,"3,359,014","118,709"
Moldova,"512,638",+36,"11,421",+4,"498,077","3,140",37,"127,595","2,843","3,141,676","781,958"
Libya,"501,559",+64,"6,408",+4,"489,520","5,631",105,"71,312",911,"2,470,822","351,303"
Egypt,"500,889",0,"24,361",0,"430,198","46,330",122,"4,740",231,"3,693,367","34,949"
Ethiopia,"469,656",+35,"7,492",0,"437,120","25,044",11,"3,917",62,"4,642,075","38,717"
Mongolia,"468,051",+69,"2,177",0,"313,256","152,618",192,"138,895",646,"4,030,048","1,195,925"
Armenia,"422,468",+10,"8,610",0,"409,819","4,039",0,"142,109","2,896","2,968,785","998,633"
Honduras,"420,621",0,"10,871",0,"131,100","278,650",105,"41,328","1,068","1,263,329","124,127"
Cyprus,"416,514","+6,494",935,+3,"124,370","291,209",60,"340,679",765,"9,477,138","7,751,620"
Oman,"388,160",+74,"4,250",0,"382,636","1,274",19,"72,803",797,"25,000,000","4,688,954"
Bosnia and Herzegovina,"375,054",+143,"15,706",+3,"192,218","167,130",0,"115,564","4,839","1,732,924","533,958"
Qatar,"361,020",+152,677,0,"359,148","1,195",2,"128,577",241,"3,406,584","1,213,255"
Réunion,"327,189",0,702,0,"314,338","12,149",41,"360,979",774,"1,569,429","1,731,511"
Kenya,"323,383",+9,"5,647",0,"317,608",128,1,"5,793",101,"3,502,787","62,747"
Zambia,"316,550",0,"3,966",0,"311,868",716,0,"16,422",206,"3,348,548","173,716"
North Macedonia,"305,114",+48,"9,208",+2,"294,072","1,834",0,"146,462","4,420","1,955,058","938,476"
Albania,"273,459",+27,"3,492",+1,"269,463",504,13,"95,204","1,216","1,773,637","617,487"
