Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"423,565,779","+1,586,051","5,900,480","+8,124","348,544,291","69,121,008","82,576","54,340",757.0,0,0
China,"107,512",+137,"4,636",0,"101,394","1,482",8,75,3,"160,000,000","111,163"
USA,"80,072,561","+41,443","959,130",+715,"51,544,851","27,568,580","12,060","239,614","2,870","938,400,179","2,808,127"
India,"42,822,473","+19,968","511,935",+673,"42,086,383","224,155","8,944","30,540",365,"758,127,480","540,685"
Brazil,"28,167,587","+103,363","643,938",+827,"24,949,782","2,573,867","8,318","130,995","2,995","63,776,166","296,596"
France,"22,227,826","+76,638","136,594",+148,"18,921,627","3,169,605","3,055","339,307","2,085","243,529,298","3,717,468"
UK,"18,580,216","+34,377","160,507",+128,"16,611,995","1,807,714",331,"271,369","2,344","474,976,532","6,937,155"
Russia,"15,199,720","+179,147","344,755",+798,"12,217,942","2,637,023","2,300","104,082","2,361","271,700,000","1,860,491"
Germany,"13,498,300","+137,722","121,826",+133,"9,594,900","3,781,574","2,494","160,271","1,446","104,701,826","1,243,171"
Turkey,"13,434,130","+80,454","92,188",+278,"12,570,134","771,808","1,128","156,536","1,074","139,846,443","1,629,512"
Italy,"12,427,773","+50,534","152,848",+252,"10,905,147","1,369,778",953,"206,042","2,534","183,773,732","3,046,819"
Spain,"10,809,222",0,"97,998",0,"8,326,793","2,384,431","1,284","231,043","2,095","471,036,328","10,068,243"
Argentina,"8,823,054","+7,807","125,185",+123,"8,564,650","133,219","1,625","192,336","2,729","33,844,227","737,780"
Iran,"6,925,485","+12,058","134,798",+191,"6,458,629","332,058","4,011","80,765","1,572","46,144,867","538,143"
Netherlands,"6,046,118","+33,597","21,475",+10,"3,726,636","2,298,007",170,"351,584","1,249","21,107,399","1,227,402"
Colombia,"6,043,661","+4,498","137,996",+127,"5,861,641","44,024",342,"116,744","2,666","32,922,807","635,962"
Poland,"5,540,154","+20,894","109,792",+283,"4,824,210","606,152","1,017","146,647","2,906","32,960,601","872,461"
Mexico,"5,387,854","+21,449","315,055",+457,"4,632,641","440,158","4,798","41,083","2,402","14,837,164","113,136"
Indonesia,"5,149,021","+59,384","146,202",+158,"4,481,909","520,910","2,428","18,505",525,"80,569,140","289,560"
Ukraine,"4,703,323","+31,125","104,366",+260,"3,926,496","672,461",177,"108,610","2,410","19,288,823","445,423"
Japan,"4,334,739","+92,939","21,433",+235,"3,455,831","857,475","1,480","34,445",170,"37,381,793","297,049"
South Africa,"3,657,091","+2,267","98,617",+319,"3,521,246","37,228",546,"60,418","1,629","22,860,591","377,676"
Philippines,"3,650,491","+1,666","55,607",+198,"3,532,301","62,583",304,"32,605",497,"27,872,998","248,949"
Israel,"3,535,062","+11,598","9,842",+14,"3,382,734","142,486",822,"379,054","1,055","41,373,364","4,436,346"
Czechia,"3,497,856","+13,766","38,207",+43,"3,286,805","172,844",248,"325,641","3,557","52,212,048","4,860,808"
Belgium,"3,494,223","+9,705","29,920",+34,"2,491,576","972,727",350,"299,368","2,563","31,353,093","2,686,177"
Peru,"3,490,988","+9,236","209,298",+188,0,0,"1,166","103,523","6,207","26,909,789","797,995"
Canada,"3,238,490","+4,278","36,016",+21,"3,074,848","127,626",912,"84,594",941,"57,686,902","1,506,870"
Malaysia,"3,194,848","+28,825","32,310",+34,"2,919,196","243,342",238,"96,687",978,"47,754,410","1,445,215"
Portugal,"3,178,029","+14,160","20,796",+37,"2,653,048","504,185",118,"313,164","2,049","33,409,187","3,292,149"
Australia,"3,014,660","+21,954","4,880",+45,"2,791,833","217,947",190,"116,024",188,"62,814,510","2,417,522"
Chile,"2,820,984","+35,507","41,196",+129,"1,875,455","904,333",994,"145,530","2,125","32,159,886","1,659,078"
Vietnam,"2,740,293","+41,980","39,423",+65,"2,268,020","432,850","3,017","27,744",399,"78,353,494","793,301"
Thailand,"2,693,362","+18,885","22,597",+29,"2,513,269","157,496",687,"38,429",322,"17,270,775","246,422"
Romania,"2,655,933","+12,319","62,473",+146,"2,279,015","314,445","1,117","139,580","3,283","20,624,218","1,083,885"
Switzerland,"2,652,931",0,"13,117",0,"1,807,046","832,768",183,"302,915","1,498","18,265,214","2,085,547"
Austria,"2,451,024","+26,282","14,562",+25,"2,140,712","295,750",185,"269,630","1,602","154,061,824","16,947,873"
Denmark,"2,432,777","+31,467","4,278",+28,"1,875,157","553,342",37,"417,607",734,"124,297,725","21,336,760"
Sweden,"2,422,856",0,"16,817",0,"1,725,058","680,981",79,"237,485","1,648","17,964,116","1,760,822"
Iraq,"2,290,011","+1,234","24,851",+11,"2,216,765","48,395",208,"54,922",596,"17,838,851","427,838"
Greece,"2,289,330","+15,305","25,260",+77,"2,042,311","221,759",463,"221,408","2,443","63,132,377","6,105,715"
Bangladesh,"1,931,304","+2,150","28,944",+13,"1,745,332","157,028","1,289","11,539",173,"13,183,462","78,769"
Serbia,"1,879,237","+5,103","14,787",+59,"1,682,284","182,166",143,"216,505","1,704","8,621,254","993,246"
S. Korea,"1,858,009","+102,203","7,354",+71,"869,695","980,960",408,"36,189",143,"15,804,065","307,824"
