Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"31,229,767","+249,136","964,762","+3,891","22,825,021","7,439,984","61,468","4,006",123.8,0,0
China,"85,279",+10,"4,634",0,"80,477",168,3,59,3,"160,000,000","111,163"
USA,"7,004,768","+33,344","204,118",+294,"4,250,140","2,550,510","14,020","21,135",616,"98,166,609","296,185"
India,"5,485,612","+87,382","87,909","+1,135","4,392,650","1,005,053","8,944","3,966",64,"63,661,060","46,031"
Brazil,"4,544,629","+16,282","136,895",+330,"3,851,227","556,507","8,318","21,347",643,"15,011,116","70,509"
Russia,"1,103,399","+6,148","19,418",+79,"909,357","174,624","2,300","7,560",133,"42,821,891","293,404"
Peru,"768,895","+6,030","31,369",0,"615,255","122,271","1,425","23,249",948,"3,693,813","111,687"
Colombia,"765,076","+6,678","24,208",+169,"633,199","107,669",863,"15,001",475,"3,393,562","66,537"
Mexico,"694,121","+5,167","73,258",+455,"496,224","124,639","2,692","5,371",567,"1,580,377","12,229"
South Africa,"661,211","+1,555","15,953",+13,"590,071","55,187",539,"11,118",268,"4,041,453","67,954"
Spain,"659,334",0,"30,495",0,0,0,"1,345","14,101",652,"10,756,835","230,049"
Argentina,"631,365","+8,431","13,053",+254,"488,231","130,081","3,261","13,941",288,"1,729,040","38,179"
France,"452,763","+10,569","31,285",+11,"91,574","329,904",827,"6,933",479,"10,000,000","153,125"
Chile,"446,274","+1,600","12,286",+32,"419,746","14,242",901,"23,301",641,"3,038,333","158,638"
Iran,"422,140","+3,097","24,301",+183,"359,570","38,269","3,898","5,012",289,"3,746,629","44,481"
UK,"394,257","+3,899","41,777",+18,0,0,138,"5,801",615,"21,368,297","314,398"
Bangladesh,"348,918","+1,544","4,939",+26,"256,565","87,414",0,"2,114",30,"1,821,270","11,034"
Saudi Arabia,"329,754",+483,"4,485",+27,"310,439","14,830","1,138","9,440",128,"6,049,949","173,189"
Iraq,"319,035","+3,438","8,555",+64,"253,591","56,889",537,"7,894",212,"2,057,088","50,896"
Pakistan,"305,671",+640,"6,416",+1,"292,303","6,952",562,"1,378",29,"3,160,924","14,250"
Turkey,"302,867","+1,519","7,506",+61,"267,233","28,128","1,456","3,583",89,"9,269,015","109,641"
Italy,"298,156","+1,587","35,707",+15,"218,351","44,098",222,"4,933",591,"10,432,814","172,610"
Philippines,"286,715","+3,283","4,984",+55,"229,833","51,898","1,048","2,609",45,"3,370,482","30,668"
Germany,"273,477","+1,169","9,470",+4,"244,000","20,007",246,"3,262",113,"14,557,136","173,621"
Indonesia,"244,676","+3,989","9,553",+105,"177,327","57,796",0,892,35,"2,922,648","10,660"
Israel,"187,902","+4,300","1,256",+30,"134,069","52,577",643,"20,429",137,"3,071,277","333,922"
Ukraine,"175,678","+2,966","3,557",+41,"77,512","94,609",177,"4,023",81,"2,038,850","46,684"
Canada,"143,649",+875,"9,217",+6,"124,691","9,741",82,"3,799",244,"6,618,481","175,020"
Bolivia,"130,470",+419,"7,586",+36,"89,032","33,852",71,"11,144",648,"286,864","24,501"
Ecuador,"126,419",+799,"11,090",+6,"102,852","12,477",377,"7,142",626,"387,107","21,868"
Qatar,"123,376",+230,210,+1,"120,303","2,863",60,"43,940",75,"724,077","257,880"
Romania,"112,781","+1,231","4,435",+33,"89,771","18,575",470,"5,871",231,"2,223,462","115,755"
Dominican Republic,"108,289",+589,"2,047",+3,"81,668","24,574",210,"9,960",188,"446,239","41,045"
Kazakhstan,"107,262",+63,"1,671",0,"101,877","3,714",221,"5,697",89,"2,733,455","145,194"
Panama,"106,203",+602,"2,257",+10,"81,365","22,581",133,"24,529",521,"433,808","100,195"
Egypt,"102,015",+115,"5,770",+20,"89,532","6,713",41,993,56,"135,000","1,314"
Morocco,"101,743","+1,927","1,830",+35,"80,732","19,181",279,"2,749",49,"2,389,115","64,558"
Belgium,"100,748","+1,099","9,944",+7,"18,945","71,859",78,"8,684",857,"2,835,780","244,444"
Kuwait,"99,434",+385,584,+3,"90,168","8,682",98,"23,208",136,"707,292","165,084"
Netherlands,"93,778","+1,844","6,279",+4,0,0,70,"5,470",366,"2,042,887","119,165"
