Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"275,794,532","+559,091","5,377,005","+5,503","247,398,215","23,019,312","88,704","35,382",689.8,0,0
China,"100,386",+102,"4,636",0,"94,014","1,736",5,70,3,"160,000,000","111,163"
USA,"52,059,667","+143,530","828,836",+623,"40,719,047","10,511,784","15,830","155,937","2,483","791,372,546","2,370,443"
India,"34,752,164","+5,326","478,007",+453,"34,187,017","87,140","8,944","24,825",341,"665,112,580","475,114"
Brazil,"22,215,856","+2,094","617,905",+67,"21,414,318","183,633","8,318","103,437","2,877","63,776,166","296,943"
UK,"11,453,121","+91,743","147,261",+44,"9,826,541","1,479,319",879,"167,421","2,153","388,970,198","5,685,936"
Russia,"10,241,812","+27,022","298,222","+1,019","9,014,980","928,610","2,300","70,137","2,042","235,600,000","1,613,408"
Turkey,"9,189,881","+18,762","80,591",+176,"8,810,097","299,193","1,128","107,271",941,"114,726,791","1,339,173"
France,"8,640,924","+15,075","121,717",+224,"7,554,011","965,196","3,025","131,952","1,859","178,020,146","2,718,469"
Germany,"6,834,446","+21,710","109,243",+280,"5,801,400","923,803","4,636","81,191","1,298","89,622,218","1,064,687"
Iran,"6,173,369","+2,390","131,124",+41,"6,009,489","32,756","2,849","72,145","1,532","40,880,338","477,746"
Spain,"5,535,231","+26,568","88,793",+29,"4,985,234","461,204","1,306","118,321","1,898","66,213,858","1,415,390"
Italy,"5,405,360","+16,213","135,778",+137,"4,899,879","369,703",987,"89,595","2,251","130,705,958","2,166,468"
Argentina,"5,395,044","+5,337","116,930",+27,"5,237,599","40,515",795,"117,785","2,553","27,082,573","591,271"
Colombia,"5,109,022","+1,699","129,487",+29,"4,948,804","30,731",342,"98,862","2,506","29,007,812","561,316"
Indonesia,"4,260,677",+133,"144,013",+11,"4,111,835","4,829",0,"15,339",518,"60,470,151","217,702"
Poland,"3,968,450","+9,609","91,514",+29,"3,458,870","418,066","2,116","105,025","2,422","26,243,534","694,535"
Mexico,"3,933,386",+841,"297,858",+23,"3,287,874","347,654","4,798","30,044","2,275","12,173,363","92,984"
Ukraine,"3,610,687","+2,536","93,262",+157,"3,338,555","178,870",177,"83,295","2,151","16,503,941","380,730"
South Africa,"3,316,585","+8,511","90,453",+105,"3,026,285","199,847",546,"54,906","1,497","20,985,692","347,416"
Netherlands,"2,992,157","+12,154","20,504",+36,"2,401,175","570,478",610,"174,059","1,193","19,205,114","1,117,193"
Philippines,"2,837,730",+263,"50,784",+45,"2,777,354","9,592",899,"25,401",455,"24,937,631","223,217"
Malaysia,"2,721,544","+2,589","31,135",+43,"2,638,191","52,218",379,"82,536",944,"39,845,376","1,208,388"
Czechia,"2,406,989","+3,740","35,288",+22,"2,173,844","197,857",838,"224,153","3,286","46,159,025","4,298,608"
Peru,"2,266,205",+885,"202,295",+70,0,0,934,"67,356","6,013","21,192,993","629,896"
Thailand,"2,194,053","+2,525","21,408",+31,"2,132,548","40,097",899,"31,318",306,"17,270,775","246,525"
Iraq,"2,090,844",+364,"24,074",+11,"2,060,413","6,357",91,"50,328",579,"16,683,065","401,571"
Belgium,"2,010,956","+7,702","27,953",+33,"1,539,829","443,174",804,"172,413","2,397","26,251,807","2,250,742"
Canada,"1,896,462","+10,450","30,063",+13,"1,800,387","66,012",455,"49,610",786,"51,062,934","1,335,764"
Romania,"1,798,629",+424,"58,232",+28,"1,726,051","14,346",527,"94,420","3,057","16,703,409","876,851"
Chile,"1,792,902","+1,126","38,885",+21,"1,701,632","52,385",620,"92,624","2,009","26,810,503","1,385,064"
Japan,"1,729,964",+187,"18,379",0,"1,710,316","1,269",27,"13,740",146,"28,827,171","228,954"
Bangladesh,"1,581,343",+260,"28,050",+2,"1,545,807","7,486","1,352","9,464",168,"11,286,029","67,542"
Vietnam,"1,555,455","+14,977","29,791",+225,"1,109,899","415,765","7,615","15,772",302,"72,840,350","738,573"
Israel,"1,356,579","+1,088","8,232",0,"1,340,915","7,432",84,"145,462",883,"36,880,800","3,954,621"
Pakistan,"1,291,467",+359,"28,878",+6,"1,253,001","9,588",666,"5,685",127,"22,864,737","100,647"
Serbia,"1,283,490","+1,029","12,432",+31,"1,246,604","24,454",121,"147,770","1,431","7,077,197","814,809"
Austria,"1,251,433","+1,792","13,496",+17,"1,196,295","41,642",478,"137,796","1,486","117,832,609","12,974,608"
Sweden,"1,250,885",0,"15,197",0,"1,174,809","60,879",79,"122,736","1,491","14,208,757","1,394,157"
Hungary,"1,228,400","+10,105","37,896",+366,"1,048,633","141,871",503,"127,635","3,938","9,014,430","936,627"
Portugal,"1,227,854","+2,752","18,796",+18,"1,135,358","73,700",152,"120,934","1,851","23,905,081","2,354,468"
Switzerland,"1,190,370","+2,629","12,017",+16,"934,401","243,952",296,"136,082","1,374","13,618,501","1,556,852"
Jordan,"1,040,243","+3,578","12,268",+38,"969,499","58,476","1,253","100,490","1,185","13,117,168","1,267,153"
Greece,"1,037,759","+3,689","19,976",+85,"964,410","53,373",670,"100,283","1,930","43,043,808","4,159,495"
Kazakhstan,"983,294",+379,"12,923",+6,"953,206","17,165",528,"51,465",676,"11,575,012","605,830"
Cuba,"964,176",+79,"8,315",+1,"955,462",399,15,"85,201",735,"11,467,928","1,013,384"
Morocco,"952,916",+102,"14,810",+1,"936,597","1,509",103,"25,376",394,"10,659,005","283,846"
Georgia,"910,456","+1,296","13,116",+45,"863,076","34,264",0,"228,877","3,297","12,462,653","3,132,950"
Nepal,"825,954",+218,"11,574",+1,"809,155","5,225",114,"27,619",387,"4,771,758","159,565"
Slovakia,"807,339","+1,224","16,068",+54,"716,481","74,790",543,"147,769","2,941","4,967,400","909,194"
UAE,"744,438",+301,"2,152",+1,"738,785","3,501",0,"73,958",214,"107,090,244","10,639,212"
Bulgaria,"726,794","+2,001","30,239",+157,"600,728","95,827",506,"105,767","4,401","7,156,089","1,041,391"
Tunisia,"721,103",+72,"25,475",+5,"694,280","1,348",76,"60,092","2,123","3,270,912","272,577"
Lebanon,"701,749",+806,"8,950",+14,"649,517","43,282",186,"103,494","1,320","4,795,578","707,252"
Belarus,"685,462",+834,"5,399",+14,"677,045","3,018",0,"72,576",572,"10,836,163","1,147,320"
Croatia,"675,730",+367,"12,043",+62,"644,117","19,570",268,"166,104","2,960","3,647,762","896,673"
Ireland,"661,388","+4,788","5,835",0,"518,948","136,605",104,"131,786","1,163","9,313,992","1,855,870"
Denmark,"627,356","+10,082","3,084",+8,"513,181","111,091",66,"107,754",530,"102,257,394","17,563,574"
Guatemala,"623,795",+133,"16,077",+10,"607,014",704,5,"33,900",874,"3,222,269","175,112"
Azerbaijan,"610,895",+577,"8,208",+9,"587,338","15,349",0,"59,465",799,"5,757,381","560,426"
Sri Lanka,"580,209",+524,"14,771",+19,"557,621","7,817",0,"26,930",686,"5,726,599","265,797"
S. Korea,"570,417","+5,319","4,776",+54,"456,126","109,515",997,"11,112",93,"15,804,065","307,868"
Costa Rica,"568,538",0,"7,340",0,"559,654","1,544",50,"110,132","1,422","2,881,944","558,263"
Bolivia,"564,747",+889,"19,440",+12,"511,260","34,047",220,"47,432","1,633","2,615,853","219,700"
Saudi Arabia,"550,988",+146,"8,864",+2,"540,178","1,946",31,"15,473",249,"32,413,727","910,279"
Ecuador,"537,032",0,"33,597",0,"443,880","59,555",759,"29,776","1,863","2,103,013","116,602"
Myanmar,"528,380",+127,"19,226",+6,"505,761","3,393",0,"9,617",350,"5,909,389","107,551"
Lithuania,"502,969",+609,"7,143",+19,"468,115","27,711",104,"188,624","2,679","6,462,129","2,423,430"
Panama,"483,638",+252,"7,400",+2,"472,089","4,149",16,"109,561","1,676","4,371,071","990,202"
Paraguay,"464,703",+73,"16,583",+8,"447,130",990,50,"64,000","2,284","2,002,195","275,746"
Slovenia,"449,149",+585,"5,506",+10,"425,374","18,269",215,"216,004","2,648","2,026,862","974,754"
Venezuela,"441,937",+375,"5,291",+6,"430,351","6,295",681,"15,606",187,"3,359,014","118,619"
Palestine,"436,702",+389,"4,607",+5,"428,032","4,063",55,"82,786",873,"2,811,936","533,059"
Kuwait,"414,178",+80,"2,466",0,"411,118",594,3,"94,926",565,"5,738,643","1,315,251"
Dominican Republic,"411,883",+162,"4,223",0,"406,256","1,404",96,"37,419",384,"2,532,073","230,033"
Uruguay,"404,821",+361,"6,156",+1,"395,799","2,866",21,"115,948","1,763","4,286,277","1,227,670"
Mongolia,"387,116",+125,"2,045",+2,"313,256","71,815",192,"115,362",609,"4,030,048","1,200,967"
Libya,"382,341",+592,"5,607",+9,"370,567","6,167",0,"54,556",800,"1,982,408","282,867"
Honduras,"378,804",0,"10,428",0,"123,618","244,758",38,"37,374","1,029","1,132,491","111,735"
Ethiopia,"377,056",+681,"6,872",+6,"351,059","19,125",138,"3,165",58,"3,981,630","33,422"
Egypt,"376,233",+903,"21,410",+49,"313,051","41,772",90,"3,578",204,"3,693,367","35,121"
Moldova,"372,429",+229,"9,521",+28,"358,118","4,790",155,"92,639","2,368","2,326,057","578,592"
Norway,"354,465","+4,041","1,207",+3,"88,952","264,306",121,"64,643",220,"9,126,520","1,664,385"
Armenia,"343,708",+72,"7,903",+4,"328,799","7,006",0,"115,673","2,660","2,497,107","840,389"
Oman,"304,874",+31,"4,113",0,"300,203",558,2,"57,558",777,"25,000,000","4,719,837"
Bosnia and Herzegovina,"285,133",+240,"13,188",+33,"192,218","79,727",0,"87,710","4,057","1,449,713","445,947"
Bahrain,"278,600",+101,"1,394",0,"276,603",603,1,"155,808",780,"7,796,697","4,360,342"
Singapore,"276,105",+195,815,+2,"271,753","3,537",29,"46,656",138,"21,098,774","3,565,289"
Latvia,"267,465",+326,"4,454",+10,"253,282","9,729",84,"144,141","2,400","5,524,045","2,976,985"
Kenya,"264,727","+1,020","5,353",0,"249,315","10,059",16,"4,769",96,"2,933,764","52,855"
Australia,"254,685","+3,957","2,146",0,"222,384","30,155",114,"9,821",83,"51,880,210","2,000,492"
Qatar,"246,714",+177,614,0,"243,785","2,315",11,"87,867",219,"3,109,035","1,107,283"
Estonia,"232,506",+386,"1,888",+4,"217,356","13,262",22,"175,100","1,422","2,448,373","1,843,871"
Nigeria,"225,255","+1,368","2,985",0,"211,660","10,610",11,"1,054",14,"3,686,403","17,257"
North Macedonia,"221,411",+126,"7,825",+10,"208,209","5,377",0,"106,282","3,756","1,551,730","744,861"
Finland,"219,250","+5,932","1,493",+39,"46,000","171,757",60,"39,481",269,"8,355,976","1,504,673"
Zambia,"217,117",+609,"3,684",+5,"207,424","6,009",112,"11,345",193,"2,829,589","147,855"
Algeria,"214,835",+243,"6,190",+6,"147,829","60,816",22,"4,773",138,"230,861","5,129"
Albania,"205,897",+120,"3,172",+6,"197,547","5,178",23,"71,662","1,104","1,441,247","501,620"
Botswana,"204,701","+4,837","2,425",0,"193,454","8,822",1,"84,546","1,002","1,985,958","820,240"
Uzbekistan,"197,268",+194,"1,461",+3,"194,052","1,755",23,"5,771",43,"1,377,915","40,313"
Zimbabwe,"195,079","+2,283","4,805",+18,"140,812","49,462",12,"12,851",317,"1,780,757","117,309"
Kyrgyzstan,"184,218",+23,"2,784",+1,"179,311","2,123",131,"27,569",417,"1,889,527","282,781"
Montenegro,"161,127",+132,"2,378",+3,"156,855","1,894",60,"256,497","3,786","940,615","1,497,358"
Mozambique,"160,457",+553,"1,952",0,"150,484","8,021",13,"4,931",60,"1,028,872","31,621"
Afghanistan,"157,795",+8,"7,335",0,"145,268","5,192","1,124","3,924",182,"811,979","20,192"
Cyprus,"145,996",+835,623,+3,"124,370","21,003",60,"119,644",511,"9,477,138","7,766,548"
Namibia,"139,518","+1,334","3,583",+1,"127,439","8,496",16,"53,489","1,374","842,897","323,155"
Ghana,"132,132",+221,"1,257",+2,"129,701","1,174",5,"4,126",39,"2,047,201","63,929"
Uganda,"129,319",+258,"3,274",+1,"98,053","27,992",74,"2,702",68,"2,066,294","43,178"
El Salvador,"121,530",0,"3,809",+2,"105,567","12,154",198,"18,599",583,"1,493,233","228,525"
Cambodia,"120,423",+7,"3,005",0,"116,803",615,0,"7,060",176,"2,745,722","160,962"
Cameroon,"108,026",+364,"1,841",+5,"105,735",450,13,"3,926",67,"1,751,774","63,670"
Rwanda,"101,889",+307,"1,345",+1,"45,522","55,022",0,"7,591",100,"3,811,370","283,957"
Laos,"99,396",+824,274,+1,"7,339","91,783",0,"13,377",37,"896,123","120,603"
Luxembourg,"97,029",+921,903,+5,"90,713","5,413",18,"151,394","1,409","3,776,879","5,893,050"
Maldives,"94,057",+100,260,+1,"91,832","1,965",23,"169,626",469,"1,833,257","3,306,168"
Jamaica,"92,089",+37,"2,449",+3,"64,004","25,636",2,"30,901",822,"692,662","232,427"
Trinidad and Tobago,"85,873",+451,"2,612",+32,"67,651","15,610",22,"61,070","1,858","487,240","346,510"
Senegal,"74,183",+22,"1,886",0,"72,221",76,2,"4,266",108,"903,402","51,950"
DRC,"67,298",+967,"1,126",0,"50,930","15,242",0,719,12,"306,299","3,274"
Réunion,"67,237",0,393,0,"62,026","4,818",21,"74,321",434,"1,347,378","1,489,336"
Angola,"66,086",+148,"1,738",0,"63,822",526,3,"1,923",51,"1,232,382","35,864"
Malawi,"65,223",+482,"2,313",+2,"59,161","3,749",67,"3,285",117,"463,170","23,329"
Ivory Coast,"62,166",+47,706,0,"61,132",328,0,"2,274",26,"1,194,265","43,690"
Eswatini,"61,146","+1,110","1,263",+2,"49,913","9,970",11,"51,916","1,072","416,760","353,852"
Guadeloupe,"55,441",0,749,0,"2,250","52,442",23,"138,525","1,871","551,264","1,377,389"
Fiji,"52,651",+5,697,0,"51,205",749,0,"58,115",769,"468,032","516,606"
Suriname,"51,416",+10,"1,185",+2,"48,875","1,356",11,"86,509","1,994","165,674","278,752"
Syria,"49,806",+55,"2,850",+4,"31,266","15,690",0,"2,748",157,"113,162","6,244"
Madagascar,"47,295",0,996,0,"43,961","2,338",22,"1,646",35,"307,183","10,691"
French Guiana,"46,841",+109,337,+1,"11,254","35,250",5,"151,092","1,087","475,616","1,534,161"
Martinique,"46,700",0,749,0,104,"45,847",1,"124,587","1,998","438,296","1,169,294"
French Polynesia,"46,342",0,636,0,0,0,7,"163,585","2,245",0,0
Sudan,"45,901",+789,"3,295",+6,"36,009","6,597",0,"1,012",73,"238,579","5,261"
Malta,"42,105",+252,471,0,"39,032","2,602",5,"94,988","1,063","1,211,456","2,733,010"
Mauritania,"40,126",+43,855,+2,"38,777",494,15,"8,310",177,"540,664","111,971"
Guyana,"38,891",+21,"1,033",+3,"37,099",759,11,"49,097","1,304","412,954","521,328"
Cabo Verde,"38,596",+7,351,0,"38,124",121,23,"68,331",621,"211,692","374,781"
Gabon,"37,830",+87,286,+1,"35,893","1,651",10,"16,429",124,"1,462,919","635,320"
Papua New Guinea,"36,004",0,589,0,"35,252",163,7,"3,915",64,"249,149","27,095"
Belize,"31,294",+48,591,+2,"30,237",466,4,"76,662","1,448","370,663","908,029"
Guinea,"30,814",0,388,0,"29,776",650,49,"2,257",28,"569,940","41,741"
Barbados,"27,218",0,256,0,"25,653","1,309",0,"94,543",889,"458,730","1,593,416"
Togo,"26,742",+64,245,0,"25,991",506,0,"3,123",29,"600,962","70,182"
Tanzania,"26,483",0,734,0,0,0,7,426,12,0,0
Haiti,"25,923",+3,765,0,"22,788","2,370",0,"2,234",66,"132,422","11,409"
Lesotho,"25,609",+81,665,0,"14,133","10,811",0,"11,817",307,"292,830","135,122"
Benin,"24,907",0,161,0,"24,705",41,5,"1,979",13,"604,310","48,006"
Seychelles,"24,047",0,131,0,"23,574",342,0,"242,312","1,320",0,0
Somalia,"23,169",0,"1,333",0,"12,903","8,933",0,"1,401",81,"262,138","15,847"
Bahamas,"23,112",+117,713,0,"21,702",697,2,"57,960","1,788","177,143","444,240"
Mauritius,"22,979",+14,680,0,"21,461",838,0,"18,025",533,"358,675","281,344"
Channel Islands,"22,304",+637,110,0,"20,229","1,965",0,"126,574",624,"1,102,820","6,258,449"
Burundi,"21,422",0,38,0,773,"20,611",0,"1,726",3,"345,742","27,862"
Mayotte,"21,180",0,185,0,"2,964","18,031",0,"74,985",655,"176,919","626,362"
Andorra,"21,062",+513,137,+3,"19,164","1,761",31,"271,957","1,769","218,899","2,826,473"
Iceland,"20,890",+167,37,+1,"19,036","1,817",2,"60,640",107,"1,315,669","3,819,157"
Timor-Leste,"19,833",0,122,0,"19,704",7,0,"14,634",90,"211,166","155,814"
Mali,"19,365",+59,646,+7,"16,219","2,500",0,918,31,"519,417","24,612"
Congo,"19,179",0,365,0,"12,421","6,393",0,"3,355",64,"188,207","32,921"
Curaçao,"17,807",+37,184,0,"17,391",232,3,"107,870","1,115","365,693","2,215,274"
Nicaragua,"17,391",0,210,0,"4,225","12,956",0,"2,580",31,0,0
Tajikistan,"17,095",0,124,0,"16,966",5,0,"1,735",13,0,0
Aruba,"16,848",+41,180,0,"16,401",267,9,"156,826","1,675","177,885","1,655,807"
Taiwan,"16,816",+11,850,0,"15,751",215,0,704,36,"8,937,193","374,254"
Burkina Faso,"16,672",0,296,0,"15,926",450,0,767,14,"234,250","10,774"
Brunei,"15,412",+10,98,0,"15,113",201,0,"34,741",221,"668,138","1,506,094"
Equatorial Guinea,"13,618",0,175,0,"13,407",36,1,"9,261",119,"263,190","178,989"
South Sudan,"13,614",+155,133,0,"12,614",867,2,"1,196",12,"284,611","24,996"
Djibouti,"13,538",+3,189,0,"13,304",45,0,"13,416",187,"254,217","251,934"
New Zealand,"13,495",+70,49,0,"11,642","1,804",40,"2,698",10,"5,420,104","1,083,566"
Saint Lucia,"13,166",+17,293,0,"12,780",93,3,"71,222","1,585","104,523","565,423"
Isle of Man,"13,154",+57,67,0,"12,477",610,1,"153,501",782,"133,676","1,559,941"
Hong Kong,"12,534",+7,213,0,"12,184",137,0,"1,652",28,"28,539,548","3,762,038"
New Caledonia,"12,519",+17,280,0,"12,074",165,4,"43,240",967,"42,756","147,677"
CAR,"11,961",0,101,0,"6,859","5,001",2,"2,415",20,"60,228","12,160"
Yemen,"10,102",+1,"1,977",+1,"6,976","1,149",23,328,64,"265,253","8,615"
Gambia,"10,051",0,342,0,"9,647",62,1,"3,995",136,"128,823","51,200"
Cayman Islands,"8,097",0,9,0,"4,660","3,428",17,"121,115",135,"215,963","3,230,368"
