Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"40,264,222","+324,930","1,118,167","+3,971","30,108,034","9,038,021","71,972","5,166",143.5,0,0
China,"85,672",+13,"4,634",0,"80,786",252,5,60,3,"160,000,000","111,163"
USA,"8,387,799","+44,941","224,730",+448,"5,457,684","2,705,385","15,380","25,296",678,"125,683,881","379,040"
India,"7,548,238","+55,511","114,642",+578,"6,659,895","773,701","8,944","5,454",83,"94,224,190","68,079"
Brazil,"5,235,344","+10,982","153,905",+215,"4,650,030","431,409","8,318","24,578",723,"17,900,000","84,033"
Russia,"1,399,334","+15,099","24,187",+185,"1,070,576","304,571","2,300","9,588",166,"53,850,509","368,957"
Argentina,"989,680","+10,561","26,267",+160,"803,965","159,448","4,387","21,838",580,"2,373,496","52,372"
Spain,"982,723",0,"33,775",0,0,0,"1,768","21,016",722,"14,590,713","312,032"
Colombia,"959,572","+7,201","28,970",+167,"858,294","72,308","2,115","18,799",568,"4,433,518","86,856"
France,"897,034","+29,837","33,477",+85,"104,696","758,861","1,800","13,734",513,"13,550,961","207,464"
Peru,"868,675","+3,126","33,759",+57,"779,779","55,137","1,068","26,238","1,020","4,230,353","127,775"
Mexico,"847,108","+5,447","86,059",+355,"615,680","145,369","2,617","6,550",665,"2,176,522","16,828"
UK,"722,409","+16,982","43,646",+67,0,0,592,"10,625",642,"28,986,852","426,321"
South Africa,"703,793","+1,662","18,471",+63,"634,543","50,779",546,"11,822",310,"4,549,478","76,422"
Iran,"530,380","+3,890","30,375",+252,"427,400","72,605","4,744","6,291",360,"4,511,154","53,505"
Chile,"491,760","+1,757","13,635",+47,"463,943","14,182",776,"25,659",711,"3,894,941","203,230"
Iraq,"426,634","+3,110","10,254",+56,"360,477","55,903",454,"10,538",253,"2,624,351","64,820"
Italy,"414,241","+11,705","36,543",+69,"251,461","126,237",750,"6,854",605,"13,540,582","224,052"
Bangladesh,"388,569","+1,274","5,660",+14,"303,972","78,937",0,"2,352",34,"2,163,568","13,098"
Germany,"366,981","+5,248","9,866",+13,"291,900","65,215",769,"4,376",118,"19,276,507","229,853"
Indonesia,"361,867","+4,105","12,511",+80,"285,324","64,032",0,"1,319",46,"4,056,336","14,783"
Philippines,"356,618","+2,379","6,652",+50,"310,158","39,808","1,562","3,242",60,"4,364,328","39,671"
Turkey,"347,493","+1,815","9,296",+72,"304,003","34,194","1,427","4,107",110,"12,408,312","146,654"
Saudi Arabia,"342,202",+348,"5,185",+20,"328,538","8,479",825,"9,784",148,"7,354,136","210,274"
Pakistan,"323,019",+567,"6,654",+16,"307,069","9,296",534,"1,454",30,"4,074,024","18,339"
Israel,"303,109",+339,"2,209",+19,"268,093","32,807",669,"32,955",240,"4,193,686","455,955"
Ukraine,"298,872","+5,231","5,607",+90,"125,377","167,888",177,"6,846",128,"2,765,787","63,357"
Netherlands,"228,234","+8,182","6,751",+14,0,0,383,"13,311",394,"2,872,319","167,518"
Belgium,"213,115","+10,964","10,392",+33,"21,074","181,649",381,"18,364",895,"4,054,650","349,395"
Canada,"198,148","+1,827","9,760",+14,"167,112","21,276",188,"5,236",258,"8,698,704","229,875"
Romania,"180,388","+3,920","5,872",+60,"130,894","43,622",749,"9,396",306,"2,852,186","148,562"
Poland,"175,766","+8,536","3,573",+49,"92,651","79,542",649,"4,646",94,"3,972,432","104,996"
Czechia,"173,885","+5,058","1,422",+70,"72,134","100,329",587,"16,228",133,"1,795,340","167,554"
Morocco,"173,632","+2,721","2,928",+50,"143,972","26,732",534,"4,688",79,"3,040,181","82,077"
Ecuador,"153,289",+867,"12,387",+12,"134,187","6,715",365,"8,650",699,"495,133","27,938"
Bolivia,"139,710",+148,"8,463",+24,"104,202","27,045",71,"11,920",722,"320,746","27,367"
Nepal,"132,246","+2,942",739,+12,"92,166","39,341",0,"4,515",25,"1,283,354","43,814"
Qatar,"129,431",+204,224,+1,"126,406","2,801",51,"46,097",80,"877,342","312,465"
Panama,"124,745",+638,"2,564",+7,"101,041","21,140",107,"28,777",591,"582,974","134,486"
Dominican Republic,"121,347",+422,"2,199",+4,"98,207","20,941",157,"11,153",202,"542,227","49,836"
Kuwait,"116,146",+663,701,+7,"107,860","7,585",138,"27,078",163,"828,165","193,079"
UAE,"115,602","+1,215",463,+4,"107,516","7,623",0,"11,646",47,"11,693,164","1,178,045"
Oman,"109,953","+1,657","1,101",+30,"95,624","13,228",203,"21,373",214,"376,700","73,225"
Kazakhstan,"109,406",+104,"1,768",0,"105,001","2,637",221,"5,806",94,"3,175,675","168,529"
Egypt,"105,424",+127,"6,120",+11,"98,247","1,057",41,"1,025",59,"135,000","1,312"
Sweden,"103,200",0,"5,918",0,0,0,30,"10,200",585,"1,925,218","190,274"
Guatemala,"101,360",+332,"3,530",+15,"90,610","7,220",5,"5,627",196,"388,653","21,576"
Portugal,"99,911","+1,856","2,181",+19,"59,000","38,730",155,"9,807",214,"2,997,046","294,183"
Costa Rica,"95,514",0,"1,183",0,"58,816","35,515",217,"18,699",232,"271,394","53,131"
Japan,"92,656",+593,"1,670",+9,"85,485","5,501",145,733,13,"2,433,665","19,260"
Ethiopia,"89,137",+703,"1,352",+6,"42,649","45,136",281,770,12,"1,397,348","12,068"
Belarus,"87,698",+635,929,+4,"79,757","7,012",0,"9,282",98,"2,222,310","235,205"
Honduras,"87,594",+903,"2,563",+7,"34,662","50,369",26,"8,802",258,"205,258","20,627"
Venezuela,"86,636",+347,736,+5,"79,694","6,206",186,"3,049",26,"2,013,074","70,854"
Bahrain,"77,902",+331,300,+7,"74,320","3,282",39,"45,331",175,"1,617,632","941,287"
Switzerland,"74,422",0,"2,123",+1,"50,600","21,699",57,"8,580",245,"1,578,103","181,944"
Moldova,"67,050",+398,"1,584",+15,"47,842","17,624",898,"16,633",393,"329,958","81,853"
Austria,"64,806","+1,672",893,+4,"49,561","14,352",135,"7,183",99,"1,938,028","214,816"
Armenia,"64,694","+1,694","1,081",+14,"48,104","15,509",0,"21,820",365,"348,149","117,423"
