Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"84,970,044","+551,935","1,843,103","+8,296","60,088,426","23,038,515","106,517","10,901",236.5,0,0
China,"87,093",+22,"4,634",0,"82,076",383,10,61,3,"160,000,000","111,163"
USA,"20,904,701","+232,227","358,682","+2,107","12,361,387","8,184,632","29,258","62,968","1,080","256,748,633","773,370"
India,"10,324,631","+21,222","149,471",+266,"9,926,527","248,633","8,944","7,445",108,"173,941,658","125,421"
Brazil,"7,716,405","+15,827","195,742",+301,"6,769,420","751,243","8,318","36,172",918,"28,600,000","134,068"
Russia,"3,212,637","+26,301","58,002",+447,"2,599,035","555,600","2,300","22,009",397,"91,509,133","626,920"
France,"2,643,239","+3,466","64,921",+156,"195,174","2,383,144","2,641","40,449",993,"35,790,511","547,700"
UK,"2,599,789","+57,725","74,570",+445,0,0,"1,847","38,195","1,096","54,892,984","806,456"
Turkey,"2,232,035","+11,180","21,295",+202,"2,126,432","84,308","3,764","26,322",251,"24,811,888","292,601"
Italy,"2,141,201","+11,831","74,985",+364,"1,489,154","577,062","2,569","35,441","1,241","26,823,305","443,973"
Spain,"1,936,718",0,"50,837",0,0,0,"2,018","41,415","1,087","27,016,086","577,711"
Germany,"1,773,540","+11,015","34,859",+340,"1,368,100","370,581","5,726","21,134",415,"34,801,593","414,699"
Colombia,"1,666,408","+11,528","43,765",+270,"1,530,973","91,670","2,578","32,574",856,"8,204,984","160,389"
Argentina,"1,634,834","+5,240","43,375",+56,"1,447,092","144,367","3,438","36,005",955,"4,897,167","107,854"
Mexico,"1,437,185","+11,091","126,507",+700,"1,083,768","226,910","3,913","11,088",976,"3,653,597","28,188"
Poland,"1,312,823","+6,988","29,058",+102,"1,055,436","228,329","1,588","34,707",768,"7,278,301","192,418"
Iran,"1,237,474","+6,045","55,438",+101,"1,004,326","177,710","4,981","14,639",656,"7,723,377","91,363"
South Africa,"1,088,889","+15,002","29,175",+288,"897,704","162,010",546,"18,244",489,"6,706,231","112,359"
Ukraine,"1,069,517","+5,038","18,731",+51,"722,615","328,171",177,"24,531",430,"5,585,615","128,112"
Peru,"1,018,099",+900,"37,773",+49,"956,800","23,526","1,270","30,663","1,138","5,543,366","166,952"
Netherlands,"813,765","+8,601","11,565",+36,0,0,707,"47,438",674,"5,770,408","336,386"
Indonesia,"758,473","+7,203","22,555",+226,"625,518","110,400",0,"2,758",82,"7,429,489","27,018"
Czechia,"735,524","+3,441","11,886",+128,"611,944","111,694",868,"68,618","1,109","3,819,827","356,358"
Belgium,"648,289","+1,793","19,581",+53,"44,787","583,921",485,"55,814","1,686","6,962,795","599,454"
Romania,"637,395","+1,194","15,919",+78,"571,333","50,143","1,117","33,246",830,"4,817,844","251,295"
Chile,"615,902","+3,338","16,724",+64,"581,961","17,217",791,"32,079",871,"6,548,189","341,065"
Iraq,"597,033",+840,"12,829",+5,"541,746","42,458",155,"14,678",315,"4,618,587","113,550"
Canada,"590,280","+7,583","15,715",+109,"495,077","79,488",711,"15,571",415,"13,775,115","363,368"
Bangladesh,"515,184",+684,"7,599",+23,"459,620","47,965",0,"3,113",46,"3,249,402","19,632"
Pakistan,"484,362","+2,184","10,258",+82,"438,974","35,130","2,264","2,172",46,"6,775,307","30,376"
Philippines,"476,916","+1,097","9,253",+5,"439,942","27,721",708,"4,323",84,"6,785,172","61,506"
Switzerland,"452,296",0,"7,729",+25,"317,600","126,967",390,"52,068",890,"3,559,277","409,740"
Morocco,"442,141","+1,171","7,452",+27,"412,168","22,521",782,"11,907",201,"4,486,984","120,841"
Sweden,"437,379",0,"8,727",0,0,0,339,"43,172",861,"4,272,532","421,721"
Israel,"434,799","+6,289","3,392",+36,"381,901","49,506",749,"47,273",369,"8,099,974","880,663"
Portugal,"423,870","+3,241","7,045",+73,"340,150","76,675",492,"41,631",692,"5,641,132","554,055"
Austria,"364,302","+1,391","6,275",+14,"336,922","21,105",372,"40,333",695,"3,857,382","427,058"
Saudi Arabia,"362,979",+101,"6,239",+9,"354,263","2,477",354,"10,345",178,"11,073,936","315,616"
Serbia,"341,904","+1,907","3,288",+38,"31,536","307,080",276,"39,212",377,"2,312,861","265,254"
Hungary,"326,688","+1,410","9,781",+114,"164,403","152,504",402,"33,861","1,014","2,685,944","278,398"
Jordan,"296,668",+903,"3,877",+26,"273,986","18,805",239,"28,931",378,"3,211,366","313,171"
Nepal,"261,438",+419,"1,870",+6,"253,857","5,711",0,"8,892",64,"1,942,702","66,078"
Panama,"251,764","+2,031","4,103",+39,"199,694","47,967",215,"57,891",943,"1,324,185","304,484"
Japan,"238,012","+3,617","3,514",+54,"196,420","38,078",711,"1,885",28,"4,919,897","38,961"
Georgia,"228,752",+342,"2,572",+44,"217,973","8,207",0,"57,399",645,"1,889,078","474,016"
Azerbaijan,"219,462",+421,"2,703",+33,"191,925","24,834",0,"21,547",265,"2,204,226","216,410"
Ecuador,"214,513","+1,135","14,059",+8,"184,507","15,947",381,"12,066",791,"755,705","42,508"
Croatia,"212,262",+255,"4,016",+55,"201,300","6,946",219,"51,868",981,"1,026,480","250,831"
UAE,"211,641","+1,963",674,+3,"188,100","22,867",0,"21,269",68,"21,188,092","2,129,303"
Bulgaria,"202,880",+340,"7,644",+40,"121,467","73,769",458,"29,311","1,104","1,160,292","167,632"
Belarus,"198,125","+1,902","1,442",+9,"181,109","15,574",0,"20,971",153,"4,037,453","427,346"
Lebanon,"186,408","+2,520","1,489",+10,"131,000","53,919",463,"27,373",219,"2,020,449","296,696"
Slovakia,"186,244","+1,736","2,250",0,"128,285","55,709",439,"34,104",412,"1,450,440","265,600"
Dominican Republic,"172,965",+747,"2,416",0,"132,282","38,267",266,"15,864",222,"878,581","80,582"
