Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"83,794,025","+738,804","1,824,913","+13,550","59,319,779","22,649,333","106,365","10,750",234.1,0,0
China,"87,052",+25,"4,634",0,"82,050",368,6,60,3,"160,000,000","111,163"
USA,"20,445,654","+228,413","354,215","+3,438","12,125,806","7,965,633","29,214","61,588","1,067","253,542,640","763,737"
India,"10,286,329","+19,046","149,018",+244,"9,881,786","255,525","8,944","7,417",107,"172,049,274","124,063"
Brazil,"7,675,973","+56,003","194,976","+1,036","6,747,065","733,932","8,318","35,984",914,"28,600,000","134,073"
Russia,"3,159,297","+27,747","57,019",+593,"2,554,340","547,938","2,300","21,644",391,"90,648,889","621,028"
France,"2,620,425","+19,927","64,632",+251,"194,221","2,361,572","2,634","40,101",989,"35,025,374","535,998"
UK,"2,488,780","+55,892","73,512",+964,0,0,"1,847","36,565","1,080","54,892,984","806,479"
Turkey,"2,208,652","+14,380","20,881",+239,"2,100,650","87,121","3,918","26,048",246,"24,504,567","288,994"
Italy,"2,107,166","+23,477","74,159",+555,"1,463,111","569,896","2,555","34,877","1,227","26,598,607","440,250"
Spain,"1,936,718","+15,603","50,837",+148,0,0,"2,018","41,415","1,087","27,016,086","577,712"
Germany,"1,745,518","+25,345","34,182",+696,"1,328,200","383,136","5,649","20,800",407,"34,801,593","414,707"
Colombia,"1,642,775","+16,314","43,213",+304,"1,508,419","91,143","2,578","32,114",845,"8,134,396","159,018"
Argentina,"1,625,514","+11,586","43,245",+82,"1,426,676","155,593","3,440","35,802",952,"4,811,498","105,972"
Mexico,"1,413,935","+12,406","124,897","+1,052","1,066,771","222,267","3,913","10,909",964,"3,596,935","27,752"
Poland,"1,294,878","+13,397","28,554",+532,"1,036,138","230,186","1,607","34,233",755,"7,203,973","190,452"
