Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"123,851,287","+426,143","2,727,518","+6,023","99,787,335","21,336,434","90,189","15,889",349.9,0,0
China,"90,099",+12,"4,636",0,"85,298",165,0,63,3,"160,000,000","111,163"
USA,"30,521,774","+39,505","555,314",+455,"22,754,252","7,212,208","8,640","91,823","1,671","389,786,114","1,172,643"
Brazil,"11,998,233","+47,774","294,115","+1,259","10,449,933","1,254,185","8,318","56,159","1,377","28,600,000","133,866"
India,"11,645,719","+47,009","160,003",+213,"11,149,324","336,392","8,944","8,380",115,"233,565,119","168,062"
Russia,"4,456,869","+9,299","95,030",+371,"4,069,395","292,444","2,300","30,531",651,"117,400,000","804,222"
UK,"4,296,583","+5,312","126,155",+33,"3,673,211","497,217",830,"63,053","1,851","112,493,147","1,650,845"
France,"4,282,603","+30,581","92,305",+138,"279,646","3,910,652","4,287","65,506","1,412","58,498,845","894,784"
Italy,"3,376,376","+20,159","104,942",+300,"2,699,762","571,672","3,448","55,902","1,738","46,890,903","776,370"
Spain,"3,212,332",0,"72,910",0,"2,945,446","193,976","1,997","68,687","1,559","41,114,319","879,115"
Turkey,"3,013,122","+20,428","30,061",+102,"2,825,187","157,874","1,568","35,452",354,"36,355,374","427,756"
Germany,"2,670,000","+11,149","75,270",+74,"2,415,200","179,530","2,848","31,794",896,"47,578,793","566,569"
Colombia,"2,337,150","+5,963","62,028",+121,"2,230,195","44,927","1,982","45,583","1,210","12,286,609","239,634"
Argentina,"2,245,771","+4,032","54,545",+28,"2,030,153","161,073","3,534","49,364","1,199","8,340,398","183,330"
Mexico,"2,193,639","+5,729","197,827",+608,"1,733,089","262,723","4,798","16,886","1,523","5,889,318","45,335"
Poland,"2,058,551","+21,850","49,300",+140,"1,656,827","352,424","2,360","54,435","1,304","11,183,037","295,717"
Iran,"1,801,065","+7,260","61,797",+73,"1,543,119","196,149","3,858","21,248",729,"12,160,554","143,463"
Ukraine,"1,546,363","+11,145","29,941",+166,"1,257,849","258,573",177,"35,513",688,"7,659,777","175,910"
South Africa,"1,537,852","+1,051","52,111",+29,"1,463,089","22,652",546,"25,697",871,"9,635,287","161,003"
Peru,"1,466,326","+5,547","50,198",+113,"1,381,318","34,810","2,215","44,032","1,507","8,711,797","261,606"
Czechia,"1,464,960","+5,451","24,721",+131,"1,262,620","177,619","1,970","136,615","2,305","10,768,662","1,004,230"
Indonesia,"1,460,184","+4,396","39,550",+103,"1,290,790","129,844",0,"5,298",144,"12,076,009","43,817"
Netherlands,"1,201,545","+6,965","16,275",+15,0,0,611,"70,011",948,"9,230,498","537,839"
Canada,"933,785","+3,269","22,676",+33,"876,100","35,009",586,"24,586",597,"26,592,828","700,179"
Chile,"931,939","+6,850","22,279",+99,"871,234","38,426","2,229","48,452","1,158","10,569,012","549,491"
Romania,"897,115","+4,267","22,208",+76,"806,200","68,707","1,334","46,859","1,160","6,988,265","365,020"
Belgium,"832,751","+4,810","22,684",+34,"55,308","754,759",543,"71,629","1,951","10,390,087","893,698"
Israel,"827,772",+552,"6,092",+10,"805,667","16,013",548,"89,999",662,"13,131,993","1,427,765"
Portugal,"817,530",+450,"16,768",+6,"767,319","33,443",170,"80,345","1,648","8,771,420","862,036"
Iraq,"793,892","+4,502","14,007",+38,"715,073","64,812",492,"19,426",343,"7,654,329","187,298"
Sweden,"744,272",0,"13,262",0,0,0,272,"73,366","1,307","6,627,544","653,309"
Philippines,"663,773","+7,736","12,968",+39,"577,747","73,058",785,"6,000",117,"9,636,777","87,110"
Pakistan,"626,802","+3,667","13,843",+44,"581,852","31,107","2,900","2,799",62,"9,773,993","43,642"
Switzerland,"580,609",0,"10,213",+1,"534,217","36,179",145,"66,736","1,174","5,604,467","644,181"
Hungary,"571,596","+10,625","18,262",+194,"369,998","183,336","1,273","59,278","1,894","4,283,741","444,250"
Bangladesh,"570,878","+2,172","8,690",+22,"522,105","40,083",0,"3,442",52,"4,409,119","26,582"
Serbia,"551,128","+4,232","4,934",+34,"466,041","80,153",235,"63,261",566,"3,262,916","374,534"
Jordan,"535,455","+8,789","5,876",+88,"434,167","95,412",729,"52,108",572,"5,477,803","533,072"
Austria,"514,153","+2,713","9,074",+22,"473,357","31,722",410,"56,854","1,003","6,341,707","701,253"
Morocco,"491,709",+246,"8,767",+4,"479,252","3,690",265,"13,209",236,"5,867,200","157,616"
Japan,"455,638","+1,480","8,812",+22,"433,149","13,677",324,"3,611",70,"9,301,321","73,705"
UAE,"440,355","+1,717","1,438",+5,"422,696","16,221",0,"44,141",144,"35,391,181","3,547,569"
Lebanon,"439,568","+2,993","5,757",+42,"343,099","90,712",912,"64,610",846,"3,388,692","498,091"
Saudi Arabia,"385,020",+367,"6,609",+7,"374,412","3,999",584,"10,937",188,"14,622,683","415,389"
Panama,"350,991",+326,"6,044",+2,"339,565","5,382",111,"80,439","1,385","2,072,144","474,888"
Slovakia,"348,869",+925,"9,044",+66,"255,300","84,525",689,"63,877","1,656","2,264,750","414,672"
Malaysia,"333,040","+1,327","1,233",+4,"317,289","14,518",154,"10,196",38,"7,184,509","219,955"
Ecuador,"312,598","+1,730","16,451",+16,"271,847","24,300",515,"17,527",922,"1,101,019","61,733"
Belarus,"310,445","+1,152","2,157",+9,"301,442","6,846",0,"32,861",228,"5,215,782","552,105"
Bulgaria,"303,423",+943,"12,019",+53,"234,771","56,633",690,"43,907","1,739","1,950,384","282,231"
Georgia,"277,480",+262,"3,700",+9,"269,973","3,807",0,"69,655",929,"3,145,948","789,717"
Nepal,"275,906",+77,"3,016",0,"271,921",969,0,"9,349",102,"2,236,526","75,784"
Bolivia,"264,411",+603,"12,051",+10,"211,456","40,904",71,"22,432","1,022","841,804","71,417"
Croatia,"257,639",+834,"5,773",+20,"244,944","6,922",90,"63,039","1,413","1,475,016","360,908"
Dominican Republic,"249,463",+474,"3,272",+3,"205,697","40,494",160,"22,832",299,"1,279,403","117,096"
Azerbaijan,"246,304",+814,"3,351",+12,"232,876","10,077",0,"24,136",328,"2,776,535","272,079"
Tunisia,"245,706",+301,"8,546",+20,"212,304","24,856",258,"20,635",718,"1,063,830","89,342"
Greece,"237,125","+1,514","7,462",+41,"198,920","30,743",674,"22,831",718,"6,120,017","589,242"
Kazakhstan,"231,698","+1,171","2,917",0,"211,127","17,654",221,"12,235",154,"8,298,090","438,173"
Ireland,"230,599",+768,"4,587",+2,"23,364","202,648",80,"46,329",922,"3,816,117","766,690"
Denmark,"225,505",+657,"2,400",+1,"213,701","9,404",40,"38,834",413,"22,383,808","3,854,693"
Palestine,"223,638","+2,247","2,427",+21,"198,431","22,780",198,"43,123",468,"1,363,714","262,956"
Kuwait,"219,125","+1,192","1,226",+11,"203,539","14,360",232,"50,772",284,"1,967,210","455,811"
Moldova,"215,034",+831,"4,559",+28,"188,363","22,112",340,"53,396","1,132","802,703","199,321"
Costa Rica,"211,903",0,"2,896",0,"190,236","18,771",144,"41,326",565,"758,012","147,831"
Lithuania,"209,022",+332,"3,478",+13,"194,292","11,252",129,"77,567","1,291","2,267,006","841,270"
Slovenia,"206,027",+517,"3,972",+5,"191,500","10,555",93,"99,092","1,910","1,007,182","484,421"
Egypt,"195,418",+647,"11,598",+41,"149,934","33,886",90,"1,884",112,"1,000,000","9,642"
Paraguay,"194,122","+1,523","3,730",+35,"159,774","30,618",377,"26,979",518,"850,450","118,193"
Guatemala,"187,911",+252,"6,700",+15,"171,405","9,806",5,"10,352",369,"1,009,493","55,611"
