Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"170,618,258","+491,262","3,548,183","+10,887","152,743,881","14,326,194","92,108","21,889",455.2,0,0
China,"91,061",+16,"4,636",0,"86,107",318,4,63,3,"160,000,000","111,163"
USA,"34,035,318","+12,661","609,421",+350,"27,818,961","5,606,936","6,197","102,280","1,831","478,917,136","1,439,205"
India,"27,893,472","+174,041","325,998","+3,614","25,446,820","2,120,654","8,944","20,034",234,"341,119,909","245,003"
Brazil,"16,471,600","+78,943","461,142","+1,971","14,869,696","1,140,762","8,318","76,995","2,156","49,076,549","229,404"
France,"5,657,572","+10,675","109,358",+68,"5,312,173","236,041","3,028","86,501","1,672","84,383,310","1,290,170"
Turkey,"5,235,978","+7,656","47,271",+137,"5,094,279","94,428","1,391","61,483",555,"53,700,891","630,574"
Russia,"5,053,748","+9,289","120,807",+401,"4,670,484","262,457","2,300","34,617",827,"137,500,000","941,837"
UK,"4,480,945","+3,398","127,775",+7,"4,286,249","66,921",120,"65,694","1,873","181,453,219","2,660,220"
Italy,"4,213,055","+3,351","126,002",+83,"3,845,087","241,966","1,095","69,775","2,087","65,920,783","1,091,748"
Argentina,"3,732,263","+29,841","77,108",+415,"3,288,467","366,688","6,909","81,898","1,692","13,788,201","302,559"
Germany,"3,684,672","+4,513","89,008",+124,"3,471,800","123,864","2,702","43,851","1,059","60,408,571","718,916"
Spain,"3,668,658",0,"79,905",0,"3,424,911","163,842","1,426","78,438","1,708","49,708,830","1,062,808"
Colombia,"3,363,061","+20,494","87,747",+540,"3,141,549","133,765","6,582","65,462","1,708","16,878,897","328,545"
Iran,"2,893,218","+7,107","79,741",+173,"2,425,033","388,444","4,296","34,051",938,"19,687,077","231,702"
Poland,"2,871,371",+775,"73,682",+125,"2,636,675","161,014",734,"75,944","1,949","15,882,644","420,077"
Mexico,"2,408,778","+3,056","223,068",+411,"1,923,744","261,966","4,798","18,506","1,714","7,017,606","53,915"
Ukraine,"2,199,769","+3,096","50,388",+156,"2,030,415","118,966",177,"50,576","1,158","10,156,756","233,518"
Peru,"1,951,651","+4,096","69,202",+224,"1,720,665","161,784","2,671","58,454","2,073","12,790,076","383,075"
Indonesia,"1,809,926","+6,565","50,262",+162,"1,659,974","99,690",0,"6,554",182,"16,610,468","60,151"
Czechia,"1,660,937",+456,"30,103",+3,"1,617,503","13,331",110,"154,836","2,806","24,208,303","2,256,755"
