Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"14,845,960","+205,624","612,841","+4,040","8,901,510","5,331,609","59,807","1,905",78.6,0,0
China,"83,682",+22,"4,634",0,"78,799",249,5,58,3,"90,410,000","62,814"
USA,"3,961,429","+62,879","143,834",+545,"1,849,989","1,967,606","16,616","11,964",434,"49,161,907","148,477"
Brazil,"2,121,645","+21,749","80,251",+718,"1,409,202","632,192","8,318","9,978",377,"4,911,063","23,096"
India,"1,154,917","+36,810","28,099",+596,"724,702","402,116","8,944",836,20,"14,047,908","10,174"
Russia,"777,486","+5,940","12,427",+85,"553,602","211,457","2,300","5,328",85,"25,251,614","173,030"
South Africa,"373,628","+9,300","5,173",+140,"194,865","173,590",539,"6,296",87,"2,505,646","42,220"
Peru,"357,681","+4,091","13,384",+197,"245,081","99,216","1,303","10,840",406,"2,084,311","63,171"
Mexico,"344,224","+5,311","39,184",+296,"217,423","87,617",378,"2,668",304,"821,922","6,371"
Chile,"333,029","+2,099","8,633",+130,"303,992","20,404","1,764","17,413",451,"1,420,390","74,269"
Spain,"311,916","+1,527","28,422",+2,0,0,617,"6,671",608,"6,026,446","128,892"
UK,"295,372",+580,"45,312",+12,0,0,142,"4,350",667,"13,459,190","198,205"
Iran,"276,202","+2,414","14,405",+217,"240,087","21,710","3,583","3,286",171,"2,175,217","25,881"
Pakistan,"265,083","+1,587","5,599",+31,"205,929","53,555","1,552","1,199",25,"1,740,768","7,873"
Saudi Arabia,"253,349","+2,429","2,523",+37,"203,259","47,567","2,196","7,272",72,"2,728,424","78,311"
Italy,"244,624",+190,"35,058",+13,"197,162","12,404",47,"4,046",580,"6,262,302","103,583"
Turkey,"220,572",+931,"5,508",+17,"203,002","12,062","1,243","2,614",65,"4,316,781","51,155"
Bangladesh,"207,453","+2,928","2,668",+50,"113,556","91,229",1,"1,259",16,"1,041,661","6,322"
Colombia,"204,005","+6,727","6,929",+193,"95,804","101,272","1,040","4,007",136,"1,236,569","24,289"
Germany,"203,487",+642,"9,173",+10,"187,800","6,514",264,"2,428",109,"6,884,614","82,156"
France,"176,754",+350,"30,177",+8,"79,233","67,344",477,"2,708",462,"2,764,345","42,345"
Argentina,"130,774","+4,019","2,373",+113,"55,913","72,488",752,"2,892",52,"552,306","12,214"
Canada,"111,124",+786,"8,858",+6,"97,474","4,792","2,183","2,943",235,"3,573,630","94,641"
Qatar,"107,037",+389,159,+2,"103,782","3,096",126,"38,121",57,"446,036","158,856"
Iraq,"94,693","+2,163","3,869",+88,"62,836","27,988",431,"2,352",96,"809,522","20,105"
Egypt,"88,402",+627,"4,352",+50,"28,924","55,126",41,863,42,"135,000","1,318"
Indonesia,"88,214","+1,693","4,239",+96,"46,977","36,998",0,322,15,"1,235,545","4,515"
Sweden,"78,146",+134,"5,636",+1,0,0,48,"7,735",558,"681,820","67,489"
Ecuador,"74,620",+607,"5,318",+5,"31,955","37,347",342,"4,226",301,"204,162","11,563"
Kazakhstan,"71,838","+1,499",585,0,"43,029","28,224",221,"3,824",31,"1,791,293","95,341"
Philippines,"68,813","+1,436","1,835",+4,"23,072","43,906",351,628,17,"1,168,965","10,660"
Oman,"68,400","+1,739",326,+8,"45,150","22,924",170,"13,379",64,"274,745","53,741"
Belarus,"66,213",+118,503,+4,"58,290","7,420",89,"7,007",53,"1,199,317","126,923"
Belgium,"63,893",+187,"9,800",0,"17,289","36,804",28,"5,512",845,"1,444,885","124,641"
Kuwait,"59,763",+559,408,0,"50,339","9,016",138,"13,984",95,"462,704","108,267"
Bolivia,"59,582","+1,444","2,151",+45,"18,553","38,878",71,"5,101",184,"128,410","10,993"
Ukraine,"59,493",+651,"1,498",+13,"31,439","26,556",89,"1,361",34,"881,997","20,175"
UAE,"57,193",+271,340,+1,"49,621","7,232",1,"5,779",34,"4,536,152","458,358"
Panama,"54,426",+958,"1,127",+31,"29,164","24,135",175,"12,604",261,"189,941","43,987"
Dominican Republic,"53,956","+1,101",993,+12,"25,561","27,402",244,"4,971",91,"216,481","19,946"
Israel,"52,003","+1,714",415,+6,"22,154","29,434",264,"5,654",45,"1,477,455","160,635"
Netherlands,"51,910",+185,"6,136",0,0,0,17,"3,029",358,"764,079","44,587"
Portugal,"48,771",+135,"1,691",+2,"33,547","13,533",61,"4,784",166,"1,466,662","143,861"
Singapore,"48,035",+123,27,0,"44,371","3,637",0,"8,207",5,"1,009,532","172,487"
Poland,"40,383",+279,"1,627",+3,"30,539","8,217",72,"1,067",43,"1,971,736","52,101"
Guatemala,"39,039",+362,"1,502",+17,"25,539","11,998",5,"2,177",84,"121,125","6,755"
