Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"42,463,834","+490,533","1,148,713","+6,541","31,419,429","9,895,692","76,329","5,448",147.4,0,0
China,"85,747",+18,"4,634",0,"80,865",248,3,60,3,"160,000,000","111,163"
USA,"8,746,953","+81,210","229,284",+903,"5,698,161","2,819,508","16,323","26,377",691,"131,056,713","395,212"
India,"7,813,668","+54,028","117,992",+656,"7,013,569","682,107","8,944","5,645",85,"100,113,085","72,324"
Brazil,"5,355,650","+23,016","156,528",+566,"4,797,872","401,250","8,318","25,140",735,"21,900,000","102,801"
Russia,"1,480,646","+17,340","25,525",+283,"1,119,251","335,870","2,300","10,145",175,"56,230,544","385,262"
Spain,"1,110,372","+19,851","34,752",+231,0,0,"2,031","23,746",743,"15,503,165","331,544"
Argentina,"1,069,368","+15,718","28,338",+381,"866,695","174,335","4,696","23,593",625,"2,777,087","61,270"
France,"1,041,075","+42,032","34,508",+298,"109,486","897,081","2,441","15,938",528,"14,406,499","220,556"
Colombia,"998,942","+8,672","29,802",+166,"901,652","67,488","2,291","19,567",584,"4,668,341","91,443"
Peru,"883,116","+3,240","34,033",+49,"800,480","48,603","1,080","26,669","1,028","4,343,547","131,169"
Mexico,"874,171","+6,612","87,894",+479,"636,391","149,886","2,617","6,758",679,"2,249,619","17,391"
UK,"830,998","+20,530","44,571",+224,0,0,707,"12,221",655,"31,157,988","458,220"
South Africa,"712,412","+1,897","18,891",+48,"643,523","49,998",546,"11,965",317,"4,657,116","78,217"
Iran,"556,891","+6,134","31,985",+335,"446,685","78,221","4,933","6,604",379,"4,658,727","55,246"
Chile,"498,911","+1,780","13,844",+52,"471,343","13,724",759,"26,029",722,"4,043,282","210,945"
Italy,"484,865","+19,139","37,059",+91,"261,808","185,998","1,049","8,023",613,"14,314,453","236,862"
Iraq,"445,949","+3,785","10,513",+48,"375,188","60,248",434,"11,011",260,"2,724,328","67,269"
Germany,"417,350","+13,476","10,090",+46,"310,300","96,960","1,121","4,976",120,"20,380,376","243,005"
Bangladesh,"396,413","+1,586","5,761",+14,"312,065","78,587",0,"2,400",35,"2,235,488","13,532"
Indonesia,"381,910","+4,369","13,077",+118,"305,100","63,733",0,"1,392",48,"4,253,425","15,499"
Philippines,"365,762","+1,886","6,915",+132,"312,670","46,177","1,562","3,324",63,"4,518,010","41,060"
Turkey,"357,693","+2,165","9,658",+74,"311,520","36,515","1,648","4,227",114,"12,992,246","153,533"
Saudi Arabia,"344,157",+383,"5,264",+14,"330,578","8,315",796,"9,838",150,"7,615,539","217,702"
Ukraine,"330,396","+7,517","6,164",+121,"137,578","186,654",177,"7,569",141,"2,950,463","67,593"
Pakistan,"326,216",+736,"6,715",+13,"309,646","9,855",586,"1,468",30,"4,204,320","18,920"
Israel,"308,840",+593,"2,329",+10,"290,130","16,381",573,"33,578",253,"4,377,294","475,917"
Netherlands,"272,401","+9,996","6,964",+45,0,0,488,"15,886",406,"2,872,319","167,513"
