Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"122,915,923","+549,889","2,713,268","+10,295","99,056,072","21,146,583","89,368","15,769",348.1,0,0
China,"90,083",+11,"4,636",0,"85,283",164,0,63,3,"160,000,000","111,163"
USA,"30,426,219","+66,413","554,097","+1,262","22,610,368","7,261,754","9,045","91,538","1,667","387,305,147","1,165,216"
Brazil,"11,877,009","+89,409","290,525","+2,730","10,383,460","1,203,024","8,318","55,594","1,360","28,600,000","133,871"
India,"11,554,895","+40,950","159,594",+189,"11,105,149","290,152","8,944","8,315",115,"231,370,546","166,492"
Russia,"4,437,938","+9,699","94,267",+443,"4,049,373","294,298","2,300","30,401",646,"116,700,000","799,429"
UK,"4,285,684","+4,802","126,026",+101,"3,621,493","538,165",879,"62,895","1,849","112,493,147","1,650,892"
France,"4,216,695","+35,088","91,964",+285,"279,646","3,845,085","4,287","64,498","1,407","58,498,845","894,795"
Italy,"3,332,499","+25,816","104,241",+386,"2,671,638","556,620","3,364","55,176","1,726","46,259,337","765,907"
Spain,"3,212,332",0,"72,910",0,"2,945,446","193,976","1,997","68,687","1,559","41,114,319","879,117"
Turkey,"2,971,633","+21,030","29,864",+87,"2,788,757","153,012","1,547","34,966",351,"35,975,339","423,309"
Germany,"2,645,186","+16,557","75,073",+195,"2,401,700","168,413","2,848","31,499",894,"47,578,793","566,579"
Colombia,"2,324,426","+5,133","61,771",+135,"2,221,642","41,013","1,982","45,337","1,205","12,186,850","237,702"
Argentina,"2,234,913","+8,160","54,476",+90,"2,016,729","163,708","3,534","49,128","1,197","8,251,376","181,382"
Mexico,"2,182,188","+6,726","196,606",+698,"1,724,794","260,788","4,798","16,799","1,514","5,839,528","44,955"
Poland,"2,010,295","+26,049","48,810",+422,"1,620,272","341,213","2,245","53,159","1,291","11,032,529","291,735"
Iran,"1,786,265","+7,620","61,649",+68,"1,528,694","195,922","3,879","21,075",727,"12,039,329","142,043"
South Africa,"1,535,423","+1,462","52,035",+311,"1,461,196","22,192",546,"25,658",870,"9,584,923","160,173"
Ukraine,"1,519,926","+15,850","29,515",+262,"1,248,782","241,629",177,"34,905",678,"7,573,737","173,928"
Peru,"1,451,645","+8,124","49,897",+191,"1,364,556","37,192","2,241","43,595","1,498","8,592,274","258,036"
Indonesia,"1,450,132","+6,279","39,339",+197,"1,278,965","131,828",0,"5,262",143,"11,965,660","43,419"
Czechia,"1,449,782","+10,627","24,456",+200,"1,233,444","191,882","1,992","135,201","2,281","10,510,686","980,182"
Netherlands,"1,186,987","+7,375","16,244",+46,0,0,579,"69,164",947,"6,970,400","406,153"
Canada,"927,064","+4,216","22,617",+27,"871,048","33,399",587,"24,410",596,"26,371,885","694,395"
Chile,"918,053","+6,584","22,087",+99,"859,097","36,869","2,193","47,733","1,148","10,416,402","541,582"
Romania,"886,752","+5,593","22,020",+143,"798,985","65,747","1,286","46,316","1,150","6,930,273","361,978"
Israel,"826,609","+1,047","6,073",+4,"800,728","19,808",557,"89,872",660,"13,114,555","1,425,869"
Belgium,"822,801","+4,659","22,624",+24,"55,125","745,052",534,"70,774","1,946","10,325,566","888,169"
Portugal,"816,623",+568,"16,754",+11,"766,170","33,699",182,"80,255","1,647","8,720,659","857,034"
Iraq,"784,716","+5,258","13,937",+41,"706,904","63,875",464,"19,204",341,"7,582,401","185,560"
Sweden,"744,272",0,"13,262",+35,0,0,272,"73,369","1,307","6,627,544","653,331"
