Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"23,108,416","+258,252","802,600","+6,062","15,700,385","6,605,431","61,828","2,965",103.0,0,0
China,"84,917",+22,"4,634",0,"79,792",491,20,59,3,"90,410,000","62,814"
USA,"5,796,727","+50,455","179,200","+1,170","3,127,418","2,490,109","16,801","17,498",541,"74,718,580","225,547"
Brazil,"3,536,488","+31,391","113,454","+1,031","2,670,755","752,279","8,318","16,621",533,"14,144,344","66,476"
India,"2,973,368","+69,039","55,928",+953,"2,220,799","696,641","8,944","2,152",40,"33,467,237","24,218"
Russia,"946,976","+4,870","16,189",+90,"761,330","169,457","2,300","6,489",111,"33,800,000","231,597"
South Africa,"603,338","+3,398","12,843",+225,"500,102","90,393",539,"10,155",216,"3,504,507","58,986"
Peru,"576,067","+9,008","27,245",+211,"384,908","163,914","1,530","17,438",825,"2,915,372","88,251"
Mexico,"543,806","+6,775","59,106",+625,"371,638","113,062","3,503","4,212",458,"1,226,117","9,496"
Colombia,"522,138","+8,419","16,568",+385,"348,940","156,630","1,493","10,246",325,"2,409,706","47,288"
Spain,"407,879","+3,650","28,838",+25,0,0,541,"8,723",617,"7,955,615","170,147"
Chile,"393,769","+1,920","10,723",+52,"367,897","15,149","1,072","20,574",560,"2,142,301","111,932"
Iran,"354,764","+2,206","20,376",+112,"305,866","28,522","3,794","4,216",242,"2,987,117","35,501"
Argentina,"329,043","+8,159","6,730",+213,"239,806","82,507","1,853","7,271",149,"1,052,687","23,262"
UK,"323,313","+1,033","41,405",+2,0,0,76,"4,759",609,"15,177,265","223,403"
Saudi Arabia,"305,186","+1,213","3,580",+32,"277,067","24,539","1,675","8,748",103,"4,501,104","129,015"
Pakistan,"291,588",+630,"6,219",+10,"273,579","11,790",722,"1,317",28,"2,389,365","10,789"
Bangladesh,"290,360","+2,401","3,861",+39,"172,615","113,884",0,"1,761",23,"1,420,449","8,613"
Italy,"257,065",+947,"35,427",+9,"204,960","16,678",69,"4,253",586,"7,862,592","130,070"
Turkey,"255,723","+1,203","6,080",+22,"235,569","14,074",749,"3,028",72,"6,154,157","72,860"
France,"234,400","+4,586","30,503",+23,"84,829","119,068",379,"3,590",467,"6,000,000","91,892"
Germany,"233,021","+1,737","9,328",+4,"205,800","17,893",236,"2,780",111,"10,197,366","121,655"
Iraq,"197,085","+4,288","6,283",+75,"140,446","50,356",587,"4,885",156,"1,393,488","34,541"
Philippines,"182,365","+4,786","2,940",+59,"114,519","64,906",717,"1,661",27,"2,238,793","20,393"
Indonesia,"149,408","+2,197","6,500",+82,"102,991","39,917",0,545,24,"1,989,870","7,264"
Canada,"124,372",+499,"9,064",+10,"110,648","4,660",62,"3,291",240,"5,034,059","133,216"
Qatar,"116,481",+257,193,0,"113,216","3,072",66,"41,485",69,"577,122","205,542"
Ecuador,"106,481",+973,"6,248",+48,"87,730","12,503",350,"6,023",353,"301,496","17,053"
Bolivia,"106,065","+1,015","4,305",+72,"41,111","60,649",71,"9,069",368,"225,297","19,264"
Kazakhstan,"104,071",+256,"1,415",0,"87,920","14,736",221,"5,533",75,"2,291,327","121,828"
Israel,"100,716","+1,117",809,+14,"77,785","22,122",390,"10,950",88,"2,180,096","237,029"
Ukraine,"100,643","+2,106","2,207",+23,"51,078","47,358",177,"2,303",51,"1,378,519","31,549"
Egypt,"97,148",+123,"5,231",+19,"64,318","27,599",41,947,51,"135,000","1,316"
Dominican Republic,"89,867",+857,"1,533",+28,"59,132","29,202",287,"8,273",141,"339,860","31,286"
Sweden,"86,068",0,"5,810",+5,0,0,26,"8,515",575,"1,030,010","101,899"
Panama,"84,392",+537,"1,859",+15,"59,722","22,811",153,"19,517",430,"287,300","66,442"
Oman,"83,769",0,609,0,"78,386","4,774",151,"16,349",119,"309,212","60,348"
Belgium,"80,178",+699,"9,976",+7,"18,131","52,071",82,"6,914",860,"2,074,445","178,881"
Kuwait,"79,269",+502,511,+2,"71,264","7,494",95,"18,524",119,"581,118","135,799"
Romania,"76,355","+1,392","3,196",+42,"34,523","38,636",489,"3,973",166,"1,591,015","82,784"
Belarus,"70,111",+161,632,+5,"68,256","1,223",0,"7,420",67,"1,455,885","154,080"
Guatemala,"66,941",+958,"2,532",+26,"55,314","9,095",5,"3,727",141,"216,776","12,070"
UAE,"66,193",+391,370,+1,"58,296","7,527",0,"6,681",37,"6,348,109","640,772"
Netherlands,"65,589",+535,"6,195",+4,0,0,56,"3,827",361,"1,312,787","76,591"
Poland,"60,281",+903,"1,938",+13,"41,029","17,314",84,"1,593",51,"2,493,423","65,893"
Japan,"59,721","+1,220","1,155",+11,"46,467","12,099",243,472,9,"1,282,693","10,146"
Singapore,"56,216",+117,27,0,"53,651","2,538",0,"9,598",5,"1,745,928","298,102"
Portugal,"55,211",+219,"1,792",+4,"40,473","12,946",41,"5,417",176,"1,896,675","186,088"
Honduras,"52,819",+521,"1,619",+11,"8,082","43,118",49,"5,321",163,"129,411","13,037"
Nigeria,"51,304",+340,996,+4,"37,885","12,423",7,248,5,"369,904","1,789"
Morocco,"49,247","+1,609",817,+42,"34,199","14,231",31,"1,332",22,"1,670,569","45,186"
Bahrain,"48,661",+358,181,+2,"45,166","3,314",36,"28,472",106,"1,020,803","597,273"
Ghana,"43,325",+65,261,0,"41,408","1,656",5,"1,390",8,"432,372","13,876"
Kyrgyzstan,"42,703",+196,"1,055",+1,"35,831","5,817",24,"6,531",161,"267,718","40,942"
Armenia,"42,477",+158,842,+6,"35,693","5,942",0,"14,331",284,"192,199","64,844"
Algeria,"40,667",+409,"1,418",+7,"28,587","10,662",41,925,32,0,0
Switzerland,"39,332",+306,"2,000",+2,"33,900","3,432",14,"4,540",231,"920,489","106,249"
Venezuela,"38,219",+652,317,+6,"27,306","10,596",85,"1,345",11,"1,678,639","59,057"
Uzbekistan,"38,074",+527,260,+8,"33,989","3,825",410,"1,135",8,"1,377,915","41,088"
Afghanistan,"37,894",+38,"1,385",0,"28,016","8,493",31,971,35,"100,377","2,571"
Ethiopia,"37,665","+1,829",637,+17,"13,913","23,115",248,327,6,"717,128","6,217"
Azerbaijan,"34,921",+162,512,+2,"32,682","1,727",0,"3,440",50,"861,788","84,889"
Moldova,"32,484",+547,929,+8,"22,683","8,872",362,"8,055",230,"183,923","45,609"
Costa Rica,"32,134","+1,059",340,+7,"10,159","21,635",124,"6,300",67,"128,308","25,155"
Kenya,"31,763",+322,532,+16,"18,157","13,074",44,589,10,"412,080","7,641"
Nepal,"30,483",+838,137,+11,"18,214","12,132",0,"1,044",5,"892,301","30,550"
Serbia,"30,378",+169,692,+3,"28,275","1,411",52,"3,479",79,"854,059","97,805"
Ireland,"27,755",+79,"1,776",0,"23,364","2,615",6,"5,612",359,"760,601","153,798"
Austria,"24,762",+331,730,+1,"21,260","2,772",22,"2,747",81,"1,075,409","119,309"
Australia,"24,407",+171,472,+9,"18,460","5,475",47,956,18,"5,579,410","218,449"
El Salvador,"24,200",+236,646,+6,"11,781","11,773",391,"3,728",100,"290,741","44,792"
Czechia,"21,551",+506,411,+5,"16,040","5,100",22,"2,012",38,"826,072","77,118"
Cameroon,"18,762",0,408,0,"16,540","1,814",30,704,15,"149,000","5,594"
Palestine,"18,313",+324,122,+2,"11,102","7,089",0,"3,579",24,"214,862","41,988"
Bosnia and Herzegovina,"17,396",+367,526,+11,"11,157","5,713",0,"5,307",160,"172,841","52,731"
Ivory Coast,"17,310",+61,112,0,"14,820","2,378",0,654,4,"118,065","4,461"
S. Korea,"16,670",+324,309,+2,"14,120","2,241",18,325,6,"1,754,123","34,210"
Denmark,"16,127",+71,621,0,"13,944","1,562",1,"2,783",107,"2,104,747","363,193"
Bulgaria,"15,131",+169,539,+7,"10,282","4,310",73,"2,180",78,"365,096","52,602"
Madagascar,"14,218",+64,178,+1,"13,206",834,76,512,6,"54,432","1,959"
North Macedonia,"13,308",+114,557,+3,"9,977","2,774",4,"6,388",267,"134,318","64,472"
Senegal,"12,689",+130,262,+1,"8,165","4,262",38,755,16,"135,770","8,081"
Sudan,"12,623",+41,812,0,"6,476","5,335",0,287,18,401,9
Paraguay,"12,536",+719,182,+12,"7,007","5,347",62,"1,755",25,"169,260","23,690"
Lebanon,"11,580",+628,116,+3,"3,204","8,260",73,"1,698",17,"451,309","66,165"
Zambia,"10,627",+255,277,+3,"9,126","1,224",0,576,15,"103,023","5,584"
Norway,"10,275",+78,264,0,"9,150",861,0,"1,893",49,"601,569","110,843"
Libya,"10,121",+414,180,+7,"1,053","8,888",0,"1,470",26,"91,289","13,261"
DRC,"9,802",+45,248,+1,"8,920",634,0,109,3,0,0
Malaysia,"9,249",+9,125,0,"8,945",179,7,285,4,"1,160,390","35,789"
Guinea,"8,932",+56,53,0,"7,648","1,231",24,678,4,"18,094","1,373"
French Guiana,"8,777",+34,55,+1,"8,251",471,15,"29,286",184,"48,827","162,918"
Gabon,"8,388",+69,53,0,"6,734","1,601",2,"3,757",24,"107,403","48,104"
Tajikistan,"8,241",+38,66,0,"7,040","1,135",0,861,7,0,0
Greece,"8,138",+204,238,+3,"3,804","4,096",28,781,23,"826,804","79,381"
Albania,"8,119",+152,240,+2,"4,096","3,783",15,"2,822",83,"50,036","17,390"
Haiti,"8,016",+19,196,0,"5,447","2,373",0,702,17,"21,718","1,901"
Finland,"7,871",+29,334,0,"7,100",437,0,"1,420",60,"533,703","96,302"
Luxembourg,"7,704",+67,124,0,"6,969",611,3,"12,280",198,"712,774","1,136,130"
Croatia,"7,594",+265,169,+1,"5,584","1,841",12,"1,851",41,"146,168","35,637"
Mauritania,"6,885",+37,158,0,"6,186",541,3,"1,476",34,"68,872","14,761"
Maldives,"6,564",+194,26,+2,"4,012","2,526",12,"12,114",48,"101,730","187,749"
Zimbabwe,"5,815",+70,152,+1,"4,587","1,076",0,390,10,"149,748","10,055"
Djibouti,"5,382",+8,60,+1,"5,233",89,0,"5,436",61,"64,206","64,856"
Malawi,"5,322",+40,166,+1,"2,929","2,227",4,277,9,"41,474","2,161"
Namibia,"5,227",+315,42,+1,"2,457","2,728",5,"2,052",16,"47,122","18,500"
Hungary,"5,098",+52,611,+2,"3,681",806,6,528,63,"393,431","40,741"
Equatorial Guinea,"4,926",+34,83,0,"2,713","2,130",0,"3,496",59,"49,215","34,932"
CAR,"4,679",0,61,0,"1,755","2,863",2,966,13,"30,775","6,357"
Hong Kong,"4,632",+27,75,+2,"3,900",657,30,617,10,"780,415","103,979"
Nicaragua,"4,311",0,133,0,"2,913","1,265",0,650,20,0,0
Montenegro,"4,277",+48,82,+1,"3,281",914,0,"6,810",131,"44,724","71,208"
Eswatini,"4,128",+18,81,0,"2,682","1,365",11,"3,553",70,"28,380","24,427"
Congo,"3,850",0,77,0,"1,625","2,148",0,695,14,0,0
Cuba,"3,582",+17,89,+1,"2,951",542,3,316,8,"346,439","30,589"
Suriname,"3,460",+94,56,+1,"2,498",906,20,"5,891",95,"6,167","10,499"
Cabo Verde,"3,412",+44,37,0,"2,498",877,0,"6,128",66,"73,900","132,716"
Thailand,"3,390",+1,58,0,"3,219",113,1,49,0.8,"749,213","10,730"
Somalia,"3,265",0,93,0,"2,396",776,0,205,6,0,0
Mayotte,"3,237",+16,39,0,"2,964",234,1,"11,827",142,"13,000","47,499"
Slovakia,"3,225",+123,33,0,"2,045","1,147",7,591,6,"304,086","55,693"
Mozambique,"3,195",+80,20,0,"1,406","1,769",0,102,0.6,"83,886","2,674"
Sri Lanka,"2,941",+23,11,0,"2,789",141,1,137,0.5,"195,025","9,102"
Rwanda,"2,780",+63,11,0,"1,712","1,057",0,214,0.8,"357,083","27,479"
Mali,"2,688",+21,125,0,"2,007",556,0,132,6,"33,696","1,658"
Tunisia,"2,607",+64,64,+1,"1,420","1,123",8,220,5,"119,193","10,070"
Slovenia,"2,574",+38,130,+1,"2,079",365,3,"1,238",63,"147,091","70,752"
Lithuania,"2,564",+36,83,+1,"1,755",726,6,944,31,"599,513","220,687"
South Sudan,"2,497",+3,47,0,"1,290","1,160",0,223,4,"12,044","1,074"
Gambia,"2,437",+36,84,+3,455,"1,898",0,"1,005",35,"10,781","4,445"
Estonia,"2,244",+17,63,0,"2,011",170,0,"1,691",47,"139,060","104,819"
Guinea-Bissau,"2,149",0,33,0,"1,015","1,101",5,"1,089",17,"1,500",760
Benin,"2,095",0,39,0,"1,705",351,0,172,3,"107,057","8,800"
Syria,"2,073",+65,83,+1,475,"1,515",0,118,5,0,0
Angola,"2,068",+24,94,+1,804,"1,170",24,63,3,"64,747","1,962"
Iceland,"2,050",+10,10,0,"1,920",120,0,"6,002",29,"194,963","570,808"
Sierra Leone,"1,972",+3,69,0,"1,542",361,0,247,9,0,0
Yemen,"1,906",+7,542,+1,"1,058",306,0,64,18,120,4
Uganda,"1,848",+98,19,0,"1,199",630,0,40,0.4,"340,844","7,421"
Bahamas,"1,703",+93,27,+4,221,"1,455",61,"4,325",69,"8,778","22,292"
New Zealand,"1,665",+11,22,0,"1,538",105,9,333,4,"673,220","134,587"
Malta,"1,546",+36,10,+1,854,682,0,"3,500",23,"168,793","382,134"
