Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"114,365,615","+387,757","2,536,762","+8,101","89,923,993","21,904,860","90,296","14,672",325.4,0,0
China,"89,887",+10,"4,636",0,"85,021",230,1,62,3,"160,000,000","111,163"
USA,"29,202,824","+64,320","524,669","+1,554","19,632,523","9,045,632","15,084","87,885","1,579","357,707,996","1,076,515"
India,"11,096,440","+17,346","157,087",+117,"10,773,275","166,078","8,944","7,989",113,"215,435,383","155,108"
Brazil,"10,517,232","+59,438","254,263","+1,275","9,386,440","876,529","8,318","49,248","1,191","28,600,000","133,923"
Russia,"4,234,720","+11,534","85,743",+439,"3,799,406","349,571","2,300","29,010",587,"110,600,000","757,660"
UK,"4,170,519","+7,434","122,705",+290,"2,846,208","1,201,606","1,971","61,222","1,801","89,162,545","1,308,878"
France,"3,736,016","+23,996","86,332",+185,"254,868","3,394,816","3,430","57,153","1,321","51,853,607","793,245"
Spain,"3,188,553",0,"69,142",0,"2,647,446","471,965","3,021","68,180","1,478","38,491,517","823,053"
Italy,"2,907,810","+18,901","97,507",+280,"2,398,352","411,951","2,216","48,140","1,614","39,875,863","660,164"
Turkey,"2,693,164","+9,193","28,503",+71,"2,565,723","98,938","1,187","31,708",336,"33,065,377","389,296"
Germany,"2,444,177","+7,671","70,589",+168,"2,243,200","130,388","2,848","29,111",841,"43,950,029","523,458"
Colombia,"2,248,135","+3,343","59,660",+142,"2,145,450","43,025","2,240","43,875","1,164","11,427,482","223,019"
Argentina,"2,104,197","+5,469","51,946",+59,"1,899,087","153,164","3,494","46,278","1,142","7,405,891","162,878"
Mexico,"2,076,882","+7,512","184,474",+782,"1,625,328","267,080","4,798","15,998","1,421","5,414,012","41,703"
Poland,"1,696,887","+12,102","43,655",+302,"1,414,461","238,771","1,446","44,868","1,154","9,824,524","259,776"
Iran,"1,623,159","+7,975","59,980",+81,"1,386,534","176,645","3,729","19,164",708,"10,797,788","127,483"
South Africa,"1,512,225","+1,447","49,941",+157,"1,429,047","33,237",546,"25,288",835,"9,054,643","151,415"
Ukraine,"1,342,016","+8,172","25,893",+151,"1,168,321","147,802",177,"30,809",594,"6,845,974","157,164"
Indonesia,"1,329,074","+6,208","35,981",+195,"1,136,054","157,039",0,"4,825",131,"10,763,757","39,080"
Peru,"1,323,863","+7,500","46,299",+205,"1,225,994","51,570","2,141","39,787","1,391","7,541,959","226,665"
Czechia,"1,227,682","+14,751","20,255",+148,"1,067,158","140,269","1,507","114,500","1,889","7,972,909","743,595"
Netherlands,"1,084,021","+4,937","15,543",+40,0,0,518,"63,172",906,"6,970,400","406,202"
Canada,"864,196","+2,724","21,960",+45,"811,372","30,864",567,"22,766",579,"24,328,440","640,894"
Chile,"821,418","+4,489","20,476",+76,"776,955","23,987","1,659","42,728","1,065","9,313,533","484,466"
Portugal,"803,844","+1,071","16,276",+33,"717,313","70,255",492,"78,986","1,599","8,200,169","805,754"
Romania,"799,164","+3,432","20,287",+54,"738,569","40,308",997,"41,726","1,059","6,039,706","315,348"
Israel,"773,335","+2,555","5,732",+35,"727,802","39,801",760,"84,080",623,"11,934,829","1,297,604"
Belgium,"766,654","+2,769","22,034",+28,"52,233","692,387",369,"65,960","1,896","9,385,939","807,537"
Iraq,"692,241","+3,543","13,383",+18,"632,998","45,860",373,"16,961",328,"6,810,718","166,877"
Sweden,"657,309",0,"12,826",0,0,0,223,"64,818","1,265","5,917,399","583,524"
Pakistan,"578,797","+1,315","12,837",+33,"544,406","21,554","1,538","2,587",57,"8,912,918","39,843"
Philippines,"574,239","+2,913","12,289",+42,"524,853","37,097",785,"5,195",111,"8,753,147","79,186"
Switzerland,"554,932",0,"9,966",+5,"507,856","37,110",180,"63,812","1,146","5,025,401","577,875"
Bangladesh,"545,831",+407,"8,400",+5,"496,107","41,324",0,"3,293",51,"4,030,616","24,315"
Morocco,"483,410",+416,"8,615",+7,"468,807","5,988",285,"12,995",232,"5,647,131","151,811"
Austria,"457,317","+2,457","8,538",+23,"428,904","19,875",264,"50,586",944,"5,341,373","590,840"
Serbia,"456,450","+3,210","4,429",+15,"400,347","51,674",160,"52,381",508,"2,930,139","336,255"
Japan,"430,539","+1,067","7,807",+85,"408,020","14,712",440,"3,411",62,"8,203,285","64,992"
Hungary,"424,130","+4,948","14,902",+107,"319,691","89,537",482,"43,978","1,545","3,632,712","376,677"
UAE,"388,594","+3,434","1,213",+15,"379,708","7,673",0,"38,980",122,"30,439,712","3,053,438"
Jordan,"386,496","+2,584","4,675",+25,"346,287","35,534",284,"37,634",455,"4,566,735","444,675"
Saudi Arabia,"377,061",+338,"6,488",+5,"368,011","2,562",475,"10,721",184,"13,594,146","386,529"
Lebanon,"372,792","+3,100","4,652",+42,"288,505","79,635",912,"54,781",684,"3,008,920","442,151"
Panama,"340,445",+664,"5,831",+11,"325,491","9,123",195,"78,095","1,338","1,903,339","436,610"
Slovakia,"306,268","+2,848","7,075",+109,"255,300","43,893",669,"56,079","1,295","2,037,732","373,116"
Malaysia,"298,315","+2,364","1,121",+10,"270,166","27,028",190,"9,140",34,"6,138,208","188,066"
Belarus,"285,959","+1,459","1,966",+9,"276,234","7,759",0,"30,269",208,"4,879,018","516,448"
Ecuador,"284,347","+1,748","15,779",+66,"238,817","29,751",531,"15,958",886,"1,005,188","56,411"
Nepal,"274,065",+81,"2,773",+2,"270,325",967,0,"9,297",94,"2,160,404","73,283"
Georgia,"270,510",+373,"3,499",+14,"264,589","2,422",0,"67,897",878,"2,684,212","673,732"
Bolivia,"247,891","+1,069","11,609",+32,"191,950","44,332",71,"21,048",986,"712,706","60,513"
Bulgaria,"246,706","+1,079","10,167",+39,"205,137","31,402",380,"35,684","1,471","1,662,699","240,493"
Croatia,"242,617",+520,"5,511",+8,"233,890","3,216",75,"59,342","1,348","1,338,842","327,468"
Dominican Republic,"239,009",+804,"3,093",+11,"190,295","45,621",219,"21,888",283,"1,203,441","110,210"
Azerbaijan,"234,267",+278,"3,218",+5,"228,651","2,398",0,"22,969",316,"2,591,235","254,058"
Tunisia,"232,615",+651,"7,974",+32,"197,619","27,022",264,"19,547",670,"976,457","82,055"
Ireland,"218,980",+729,"4,313",+13,"23,364","191,303",135,"44,024",867,"3,523,320","708,336"
Kazakhstan,"212,018",+806,"2,540",0,"195,752","13,726",221,"11,203",134,"7,419,449","392,057"
Denmark,"210,732",+520,"2,358",+5,"201,848","6,526",44,"36,298",406,"16,864,538","2,904,837"
Costa Rica,"204,341",0,"2,800",0,"177,099","24,442",147,"39,873",546,"669,685","130,676"
Lithuania,"197,343",+626,"3,234",+8,"183,324","10,785",153,"73,171","1,199","2,115,119","784,246"
Kuwait,"189,890",+844,"1,078",+6,"178,197","10,615",158,"44,037",250,"1,778,076","412,351"
Greece,"189,831","+1,630","6,468",+29,"165,718","17,645",377,"18,272",623,"5,209,532","501,433"
Slovenia,"189,630",+951,"3,836",+13,"175,210","10,584",95,"91,207","1,845","909,750","437,563"
Moldova,"184,856","+1,518","3,924",+25,"165,489","15,443",317,"45,896",974,"715,492","177,640"
Palestine,"181,909","+1,061","2,025",+6,"166,119","13,765",110,"35,125",391,"1,159,257","223,841"
Egypt,"181,829",+588,"10,639",+49,"140,460","30,730",90,"1,755",103,"1,000,000","9,653"
Guatemala,"174,335",+521,"6,374",+26,"161,129","6,832",5,"9,614",352,"916,369","50,537"
