Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"43,770,538","+411,373","1,164,236","+5,110","32,173,314","10,432,988","79,035","5,615",149.4,0,0
China,"85,810",+20,"4,634",0,"80,911",265,4,60,3,"160,000,000","111,163"
USA,"8,962,783","+69,841","231,045",+529,"5,833,824","2,897,914","16,611","27,027",697,"134,476,092","405,504"
India,"7,945,888","+36,838","119,535",+505,"7,198,715","627,638","8,944","5,740",86,"103,462,778","74,738"
Brazil,"5,411,550","+17,422","157,451",+288,"4,865,930","388,169","8,318","25,401",739,"21,900,000","102,795"
Russia,"1,531,224","+17,347","26,269",+219,"1,146,096","358,859","2,300","10,491",180,"57,821,260","396,159"
France,"1,165,278","+26,771","35,018",+257,"111,347","1,018,913","2,770","17,839",536,"14,880,040","227,802"
Spain,"1,156,498","+17,396","35,031",+93,0,0,"2,163","24,732",749,"16,690,076","356,926"
Argentina,"1,102,301","+11,712","29,301",+405,"909,586","163,414","5,038","24,318",646,"2,850,102","62,876"
Colombia,"1,025,052","+9,167","30,348",+194,"924,044","70,660","2,365","20,077",594,"4,789,625","93,811"
UK,"894,690","+20,890","44,998",+102,0,0,743,"13,157",662,"32,151,242","472,807"
Mexico,"891,160","+4,360","88,924",+181,"650,355","151,881","2,781","6,889",687,"2,295,678","17,746"
Peru,"890,574","+1,859","34,197",+48,"810,995","45,382","1,070","26,891","1,033","4,407,293","133,079"
South Africa,"716,759",+891,"19,008",+40,"646,721","51,030",546,"12,037",319,"4,709,403","79,087"
Iran,"574,856","+5,960","32,953",+337,"459,250","82,653","4,982","6,816",391,"4,753,357","56,362"
Italy,"542,789","+17,012","37,479",+141,"268,626","236,684","1,284","8,982",620,"14,778,688","244,547"
Chile,"503,598","+1,535","14,003",+59,"479,877","9,718",730,"26,272",731,"4,157,383","216,883"
Iraq,"455,398","+3,691","10,671",+48,"384,593","60,134",400,"11,243",263,"2,775,402","68,518"
Germany,"450,258","+12,621","10,182",+44,"321,600","118,476","1,362","5,368",121,"20,380,376","242,998"
Bangladesh,"400,251","+1,436","5,818",+15,"316,600","77,833",0,"2,423",35,"2,271,347","13,748"
Indonesia,"392,934","+3,222","13,411",+112,"317,672","61,851",0,"1,432",49,"4,327,144","15,767"
Philippines,"371,630","+1,607","7,039",+62,"328,258","36,333","1,562","3,377",64,"4,628,065","42,056"
Turkey,"363,999","+2,198","9,874",+75,"316,008","38,117","1,780","4,301",117,"13,350,801","157,757"
Ukraine,"348,924","+5,426","6,464",+73,"142,537","199,923",177,"7,994",148,"3,025,148","69,308"
Saudi Arabia,"345,232",+357,"5,313",+17,"331,691","8,228",784,"9,868",152,"7,772,683","222,166"
Pakistan,"328,602",+707,"6,739",+3,"311,075","10,788",559,"1,479",30,"4,290,545","19,305"
Belgium,"321,031","+15,622","10,810",+73,"23,087","287,134",757,"27,661",931,"4,584,124","394,983"
Israel,"310,851",+905,"2,453",+56,"294,854","13,544",496,"33,797",267,"4,433,687","482,049"
Netherlands,"301,597","+10,343","7,072",+26,0,0,533,"17,589",412,"2,901,903","169,236"
Czechia,"268,370","+10,273","2,365",+164,"103,220","162,785",828,"25,045",221,"2,082,838","194,378"
Poland,"263,929","+10,241","4,483",+45,"115,302","144,144",999,"6,976",118,"4,381,009","115,798"
Canada,"220,213","+4,109","9,973",+27,"184,306","25,934",232,"5,818",264,"9,650,875","254,989"
Romania,"212,492","+2,844","6,470",+79,"151,811","54,211",823,"11,070",337,"3,064,698","159,655"
Morocco,"199,745","+2,264","3,373",+72,"165,922","30,450",764,"5,391",91,"3,217,978","86,855"
Ecuador,"162,178",+543,"12,573",+20,"141,759","7,846",370,"9,148",709,"522,957","29,499"
