Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"393,909,629","+2,226,684","5,751,871","+8,357","312,757,150","75,400,608","91,227","50,535",737.9,0,0
China,"106,297",+27,"4,636",0,"100,090","1,571",6,74,3,"160,000,000","111,163"
USA,"77,966,691","+105,022","925,655","+1,051","47,900,252","29,140,784","20,549","233,364","2,771","913,878,921","2,735,355"
India,"42,188,138","+107,474","502,008",+865,"40,461,148","1,224,982","8,944","30,099",358,"738,738,628","527,052"
Brazil,"26,473,273","+154,240","631,869",+800,"22,666,567","3,174,837","8,318","123,149","2,939","63,776,166","296,675"
France,"20,602,932","+214,542","132,377",+170,"14,040,177","6,430,378","3,641","314,530","2,021","231,648,947","3,536,412"
UK,"17,749,999","+60,578","158,243",+259,"15,122,436","2,469,320",478,"259,295","2,312","458,465,073","6,697,333"
Russia,"12,630,047","+177,282","334,753",+714,"10,509,688","1,785,606","2,300","86,487","2,292","247,600,000","1,695,492"
Turkey,"12,150,567","+98,715","88,533",+221,"11,337,344","724,690","1,128","141,637","1,032","133,561,848","1,556,912"
Italy,"11,542,793","+93,157","148,542",+375,"9,265,708","2,128,543","1,411","191,359","2,463","175,489,945","2,909,317"
Germany,"10,945,449","+166,620","119,332",+98,"8,016,000","2,810,117","2,274","129,976","1,417","89,622,218","1,064,254"
Spain,"10,274,653",0,"94,235",0,"6,573,471","3,606,947","1,880","219,620","2,014","66,213,858","1,415,320"
Argentina,"8,577,215","+21,836","122,584",+145,"8,106,851","347,780","2,630","187,042","2,673","32,985,718","719,313"
Iran,"6,543,837","+23,130","132,745",+64,"6,138,692","272,400","2,282","76,351","1,549","44,694,344","521,477"
Colombia,"5,956,350","+12,567","135,518",+236,"5,743,430","77,402",342,"115,103","2,619","32,417,551","626,453"
Poland,"5,129,080","+45,749","106,578",+272,"4,212,146","810,356","1,109","135,760","2,821","31,360,622","830,075"
Mexico,"5,106,048","+37,063","308,829",+688,"4,249,493","547,726","4,798","38,950","2,356","14,347,746","109,447"
Netherlands,"4,797,157","+40,122","21,323",+10,"3,226,587","1,549,247",216,"278,980","1,240","21,107,399","1,227,506"
Indonesia,"4,480,423","+33,729","144,497",+44,"4,172,458","163,468",792,"16,109",520,"74,135,656","266,544"
Ukraine,"4,256,208","+42,533","101,168",+185,"3,669,979","485,061",177,"98,263","2,336","18,496,292","427,023"
South Africa,"3,622,210","+3,357","95,817",+51,"3,477,336","49,057",546,"59,870","1,584","22,443,199","370,955"
Philippines,"3,601,471","+7,689","54,214",+1,"3,410,821","136,436",317,"32,183",484,"27,475,712","245,523"
Peru,"3,349,298","+18,008","206,891",+245,0,0,"1,386","99,373","6,138","25,854,325","767,095"
Belgium,"3,296,038","+28,382","29,227",+42,"2,122,729","1,144,082",431,"282,435","2,504","30,615,667","2,623,431"
