Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"263,023,886","+588,015","5,232,957","+7,887","237,522,918","20,268,011","84,703","33,744",671.3,0,0
China,"98,711",+39,"4,636",0,"93,285",790,7,69,3,"160,000,000","111,163"
USA,"49,428,913","+106,876","803,045","+1,438","39,205,902","9,419,966","13,201","148,104","2,406","753,993,369","2,259,195"
India,"34,596,776","+8,954","469,247",+267,"34,018,299","109,230","8,944","24,727",335,"641,303,848","458,349"
Brazil,"22,094,459","+9,710","614,754",+326,"21,321,631","158,074","8,318","102,912","2,863","63,776,166","297,057"
UK,"10,228,772","+39,716","144,969",+159,"9,062,561","1,021,242",916,"149,566","2,120","362,531,048","5,300,958"
Russia,"9,636,881","+32,648","275,193","+1,229","8,329,253","1,032,435","2,300","65,996","1,885","224,900,000","1,540,170"
Turkey,"8,795,588","+25,216","76,842",+207,"8,326,381","392,365","1,405","102,728",897,"107,680,920","1,257,656"
France,"7,675,504","+47,177","119,131",+115,"7,125,024","431,349","1,824","117,223","1,819","162,981,031","2,489,112"
Iran,"6,117,445","+4,253","129,830",+119,"5,883,470","104,145","3,334","71,540","1,518","38,439,240","449,527"
Germany,"5,881,423","+55,880","102,137",+485,"4,893,300","885,986","4,459","69,882","1,214","83,816,414","995,889"
Argentina,"5,330,748","+2,332","116,589",+35,"5,193,691","20,468",617,"116,439","2,547","26,222,843","572,784"
Spain,"5,164,184","+10,261","88,052",+44,"4,923,140","152,992",713,"110,392","1,882","66,213,858","1,415,420"
Colombia,"5,069,644","+2,296","128,528",+55,"4,909,572","31,544",342,"98,156","2,489","28,112,712","544,307"
Italy,"5,028,547","+12,764","133,828",+89,"4,700,449","194,270",683,"83,342","2,218","119,331,735","1,977,780"
Indonesia,"4,256,409",+297,"143,830",+11,"4,104,657","7,922",0,"15,332",518,"54,475,477","196,232"
Mexico,"3,884,566",+724,"293,950",+53,"3,242,947","347,669","4,798","29,688","2,247","11,838,624","90,478"
Poland,"3,540,073","+19,086","83,583",+526,"3,038,451","418,039","1,825","93,682","2,212","24,433,048","646,582"
Ukraine,"3,438,381","+10,554","85,975",+561,"2,946,032","406,374",177,"79,294","1,983","15,869,089","365,964"
South Africa,"2,968,052","+4,373","89,843",+21,"2,849,558","28,651",546,"49,169","1,488","19,477,054","322,659"
Philippines,"2,832,538",+229,"48,545",+44,"2,768,048","15,945","1,023","25,372",435,"24,238,501","217,114"
Netherlands,"2,643,176","+22,154","19,414",+65,"2,112,703","511,059",604,"153,776","1,129","19,205,114","1,117,327"
Malaysia,"2,632,782","+4,879","30,425",+55,"2,537,204","65,153",509,"79,899",923,"37,735,175","1,145,179"
Peru,"2,236,351","+1,381","201,176",+32,0,0,971,"66,518","5,984","20,314,089","604,225"
Czechia,"2,150,111","+17,608","33,132",+97,"1,860,460","256,519","1,022","200,252","3,086","43,666,605","4,066,909"
Thailand,"2,115,872","+4,306","20,769",+37,"2,019,428","75,675","1,369","30,206",296,"14,913,135","212,901"
Iraq,"2,081,172",+724,"23,820",+13,"2,045,021","12,331",103,"50,155",574,"16,341,046","393,807"
Canada,"1,792,500","+2,358","29,687",+17,"1,737,256","25,557",497,"46,912",777,"48,807,147","1,277,358"
Romania,"1,779,667","+1,622","56,529",+130,"1,686,752","36,386","1,146","93,390","2,966","16,019,397","840,636"
Chile,"1,762,751","+1,386","38,346",+3,"1,656,705","67,700",696,"91,108","1,982","25,592,070","1,322,730"
Belgium,"1,749,469","+14,907","26,966",+44,"1,333,810","388,693",722,"150,029","2,313","24,619,234","2,111,268"
Japan,"1,727,221",+78,"18,359",+1,"1,708,006",856,41,"13,716",146,"27,874,331","221,349"
Bangladesh,"1,576,284",+273,"27,981",+1,"1,540,965","7,338","1,382","9,438",168,"10,888,751","65,200"
Israel,"1,343,660",+684,"8,196",+1,"1,329,800","5,664",115,"144,077",879,"31,188,024","3,344,202"
Pakistan,"1,284,840",+475,"28,728",+10,"1,242,236","13,876",905,"5,662",127,"21,985,775","96,878"
Serbia,"1,254,845","+2,272","11,691",+54,"1,193,265","49,889",199,"144,440","1,346","6,814,207","784,358"
Vietnam,"1,238,082","+13,972","25,252",+197,"989,348","223,482","5,788","12,560",256,"68,317,914","693,053"
Sweden,"1,204,859",0,"15,119",0,"1,158,493","31,247",42,"118,260","1,484","13,708,481","1,345,524"
Austria,"1,159,995","+8,186","12,492",+67,"1,007,909","139,594",642,"127,767","1,376","110,579,782","12,179,754"
Portugal,"1,147,249","+2,907","18,441",+11,"1,075,237","53,571",116,"112,977","1,816","21,283,107","2,095,889"
Hungary,"1,103,108","+6,390","34,521",+195,"882,659","185,928",513,"114,600","3,586","8,443,744","877,210"
Switzerland,"1,009,900","+5,429","11,541",+13,"861,500","136,859",203,"115,496","1,320","12,403,612","1,418,527"
Kazakhstan,"971,541",+654,"12,696",+18,"935,950","22,895",528,"50,883",665,"11,575,012","606,220"
Cuba,"962,486",+136,"8,304",+4,"953,337",845,23,"85,049",734,"11,097,946","980,657"
Jordan,"953,943","+4,977","11,608",+24,"887,074","55,261","1,064","92,203","1,122","12,169,073","1,176,193"
Morocco,"949,917",+132,"14,776",+1,"932,291","2,850",347,"25,312",394,"10,444,492","278,311"
Greece,"938,903","+7,486","18,157",+90,"843,050","77,696",664,"90,706","1,754","36,357,597","3,512,440"
Georgia,"845,643","+5,050","12,054",+80,"788,201","45,388",0,"212,561","3,030","11,560,729","2,905,913"
Nepal,"821,366",+245,"11,526",+2,"802,909","6,931",0,"27,492",386,"4,622,560","154,724"
