Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"435,792,029","+1,101,763","5,967,782","+4,576","366,186,212","63,638,035","75,598","55,908",765.6,0,0
China,"109,092",+239,"4,636",0,"101,868","2,588",19,76,3,"160,000,000","111,163"
USA,"80,567,757","+7,464","973,119",+189,"53,192,990","26,401,648","8,279","241,065","2,912","947,752,321","2,835,754"
India,"42,924,130","+8,013","513,843",+87,"42,307,686","102,601","8,944","30,606",366,"766,757,518","546,724"
Brazil,"28,768,104","+24,054","649,195",+206,"26,183,623","1,935,286","8,318","133,768","3,019","63,776,166","296,550"
France,"22,689,332","+42,600","138,135",+76,"20,666,313","1,884,884","2,484","346,335","2,109","246,629,975","3,764,619"
UK,"18,804,765",0,"161,224",0,"17,153,253","1,490,288",289,"274,617","2,354","480,341,745","7,014,719"
Russia,"16,291,116","+116,093","350,927",+769,"13,458,910","2,481,279","2,300","111,554","2,403","273,400,000","1,872,115"
Germany,"14,728,752","+95,241","123,328",+45,"10,842,300","3,763,124","2,494","174,869","1,464","104,701,826","1,243,085"
Turkey,"14,025,181","+49,792","94,232",+206,"13,289,352","641,597","1,128","163,386","1,098","143,400,825","1,670,542"
Italy,"12,764,558","+30,629","154,560",+144,"11,487,720","1,122,278",733,"211,633","2,563","187,137,866","3,102,693"
Spain,"10,977,524",0,"99,410",0,"9,181,728","1,696,386","1,053","234,639","2,125","471,036,328","10,068,158"
Argentina,"8,897,178","+3,610","126,120",+72,"8,670,946","100,112","1,156","193,914","2,749","34,235,204","746,155"
Iran,"7,040,467","+9,524","136,631",+241,"6,634,126","269,710","4,049","82,084","1,593","46,780,865","545,410"
Netherlands,"6,332,772","+27,383","21,548",+3,"4,284,149","2,027,075",174,"368,235","1,253","21,107,399","1,227,343"
Colombia,"6,062,701","+1,908","138,693",+95,"5,888,474","35,534",342,"117,085","2,678","33,165,748","640,508"
Poland,"5,660,493","+8,902","111,316",+40,"5,039,109","510,068",872,"149,836","2,947","33,587,230","889,069"
Indonesia,"5,539,394","+34,976","148,073",+229,"4,817,423","573,898","2,911","19,904",532,"84,371,793","303,158"
Mexico,"5,502,586","+13,459","318,014",+331,"4,764,651","419,921","4,798","41,949","2,424","15,074,996","114,923"
Japan,"4,885,353","+69,661","23,270",+259,"4,114,425","747,658","1,482","38,823",185,"38,717,172","307,681"
Ukraine,"4,809,624",0,"105,505",0,"4,058,020","646,099",177,"111,080","2,437","19,521,252","450,849"
South Africa,"3,673,257","+1,266","99,229",+38,"3,541,730","32,298",546,"60,669","1,639","23,071,788","381,062"
Philippines,"3,661,049","+1,038","56,401",+51,"3,551,687","52,961",298,"32,690",504,"28,128,384","251,159"
Israel,"3,618,445","+4,680","10,126",+8,"3,530,985","77,334",646,"387,995","1,086","41,373,364","4,436,346"
Czechia,"3,574,328","+5,589","38,592",+12,"3,435,396","100,340",221,"332,747","3,593","52,579,250","4,894,796"
Belgium,"3,544,034",0,"30,121",0,"2,909,318","604,595",269,"303,607","2,580","31,623,639","2,709,101"
Peru,"3,516,264","+3,860","210,538",+131,0,0,"1,001","104,242","6,242","27,340,836","810,536"
Malaysia,"3,419,636","+24,466","32,674",+40,"3,086,270","300,692",353,"103,462",989,"49,439,581","1,495,804"
Vietnam,"3,321,005","+86,990","40,144",+94,"2,411,912","868,949","3,190","33,617",406,"79,078,763","800,489"
Canada,"3,283,732","+3,037","36,537",+15,"3,131,360","115,835",736,"85,760",954,"58,032,175","1,515,603"
Portugal,"3,258,409","+7,107","21,039",+38,"2,784,612","452,758",102,"321,105","2,073","37,805,639","3,725,614"
Australia,"3,191,964","+18,452","5,159",+27,"2,981,011","205,794",137,"122,818",199,"63,442,410","2,441,080"
