Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"152,799,845","+800,252","3,206,188","+12,952","130,737,198","18,856,459","111,931","19,603",411.3,0,0
China,"90,671",+16,"4,636",0,"85,710",325,3,63,3,"160,000,000","111,163"
USA,"33,149,740","+45,765","590,750",+707,"25,786,609","6,772,381","9,535","99,663","1,776","447,965,624","1,346,792"
India,"19,549,656","+392,562","215,523","+3,688","15,981,772","3,352,361","8,944","14,052",155,"288,337,385","207,247"
Brazil,"14,725,975","+60,013","406,565","+2,278","13,242,665","1,076,745","8,318","68,872","1,901","43,818,216","204,935"
France,"5,642,359","+25,670","104,706",+192,"4,590,568","947,085","5,581","86,283","1,601","76,301,950","1,166,808"
Turkey,"4,849,408","+28,817","40,504",+373,"4,405,199","403,705","3,525","56,990",476,"47,504,193","558,265"
Russia,"4,814,558","+9,270","110,520",+392,"4,436,583","267,455","2,300","32,979",757,"129,500,000","887,068"
UK,"4,418,530","+1,907","127,524",+7,"4,218,172","72,834",185,"64,804","1,870","156,302,824","2,292,415"
Italy,"4,035,614","+12,962","121,033",+226,"3,484,042","430,539","2,522","66,828","2,004","58,957,954","976,323"
Spain,"3,524,077",0,"78,216",0,"3,206,273","239,588","2,308","75,349","1,672","46,199,597","987,807"
Germany,"3,412,373","+20,141","83,702",+160,"3,012,100","316,571","5,049","40,620",996,"55,490,413","660,546"
Argentina,"2,993,865","+16,502","64,096",+231,"2,655,359","274,410","5,370","65,741","1,407","11,209,847","246,152"
Colombia,"2,877,746","+18,022","74,215",+495,"2,686,399","117,132","6,006","56,060","1,446","14,888,382","290,034"
Poland,"2,798,621","+6,473","67,924",+423,"2,510,858","219,839","2,723","74,014","1,796","14,321,250","378,748"
Iran,"2,516,157","+17,080","72,090",+332,"1,971,064","473,003","5,421","29,642",849,"15,961,178","188,033"
Mexico,"2,344,755","+3,821","216,907",+460,"1,864,914","262,934","4,798","18,029","1,668","6,632,938","51,000"
Ukraine,"2,078,086","+8,549","44,436",+351,"1,670,481","363,169",177,"47,756","1,021","9,456,234","217,312"
Peru,"1,804,915","+5,470","61,789",+312,"1,688,091","55,035","2,667","54,116","1,853","11,225,924","336,582"
Indonesia,"1,672,880","+4,512","45,652",+131,"1,526,978","100,250",0,"6,063",165,"14,703,659","53,289"
Czechia,"1,632,945","+2,169","29,331",+30,"1,555,170","48,444",527,"152,249","2,735","18,347,631","1,710,651"
South Africa,"1,582,842","+1,632","54,406",+56,"1,506,732","21,704",546,"26,412",908,"10,682,827","178,258"
Netherlands,"1,502,107","+5,755","17,169",+21,"1,263,295","221,643",792,"87,503","1,000","12,274,847","715,049"
Canada,"1,227,035","+7,610","24,261",+42,"1,119,279","83,495","1,422","32,276",638,"31,629,802","831,989"
Chile,"1,204,755","+6,510","26,457",+104,"1,136,816","41,482","3,336","62,576","1,374","13,115,985","681,260"
Iraq,"1,070,366","+5,167","15,498",+33,"949,341","105,527",571,"26,127",378,"9,376,388","228,868"
Romania,"1,056,572","+1,307","28,194",+85,"992,605","35,773","1,277","55,230","1,474","8,273,925","432,498"
Philippines,"1,046,637","+9,210","17,354",+120,"957,008","72,275",750,"9,447",157,"11,854,425","106,998"
Belgium,"990,229","+3,607","24,230",+45,"858,268","107,731",854,"85,133","2,083","12,529,895","1,077,230"
Sweden,"973,604",0,"14,048",0,"799,117","160,439",392,"95,906","1,384","8,482,276","835,558"
Israel,"838,481",0,"6,363",0,"830,625","1,493",110,"91,163",692,"14,200,104","1,543,894"
