Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"120,406,936","+364,130","2,665,019","+5,823","96,959,759","20,782,158","87,831","15,447",341.9,0,0
China,"90,044",+10,"4,636",0,"85,225",183,0,63,3,"160,000,000","111,163"
USA,"30,081,657","+36,896","547,234",+629,"22,169,237","7,365,186","9,404","90,509","1,646","380,248,374","1,144,077"
Brazil,"11,483,370","+44,120","278,327","+1,111","10,063,808","1,141,235","8,318","53,757","1,303","28,600,000","133,884"
India,"11,385,158","+26,514","158,762",+120,"11,005,445","220,951","8,944","8,194",114,"226,703,641","163,156"
Russia,"4,390,608","+10,083","92,090",+395,"3,995,309","303,209","2,300","30,077",631,"115,200,000","789,158"
UK,"4,258,438","+4,618","125,516",+52,"3,496,925","635,997","1,110","62,499","1,842","103,053,938","1,512,475"
France,"4,071,662","+26,343","90,429",+114,"272,960","3,708,273","4,127","62,282","1,383","57,231,533","875,436"
Italy,"3,223,142","+21,315","102,145",+264,"2,589,731","531,266","3,082","53,364","1,691","44,623,304","738,805"
Spain,"3,183,704",0,"72,258",0,"2,857,714","253,732","2,186","68,075","1,545","40,292,390","861,547"
Turkey,"2,879,390","+13,378","29,489",+68,"2,701,076","148,825","1,392","33,886",347,"35,126,003","413,376"
Germany,"2,578,835","+8,985","73,959",+52,"2,358,000","146,876","2,848","30,711",881,"46,319,641","551,609"
Colombia,"2,303,144","+4,062","61,143",+97,"2,202,580","39,421","1,982","44,929","1,193","11,989,901","233,894"
Argentina,"2,195,722","+3,697","53,670",+24,"1,986,903","155,149","3,479","48,273","1,180","7,998,673","175,849"
Mexico,"2,163,875","+6,104","194,490",+639,"1,701,216","268,169","4,798","16,661","1,497","5,762,611","44,369"
Poland,"1,906,632","+17,259","47,178",+110,"1,560,227","299,227","2,077","50,417","1,248","10,668,987","282,118"
Iran,"1,746,953","+7,593","61,230",+88,"1,492,488","193,235","3,831","20,615",723,"11,716,210","138,254"
South Africa,"1,529,420","+1,006","51,326",+65,"1,454,290","23,804",546,"25,562",858,"9,450,492","157,953"
Ukraine,"1,460,756","+9,012","28,303",+145,"1,222,516","209,937",177,"33,543",650,"7,328,468","168,282"
Indonesia,"1,419,455","+4,714","38,426",+97,"1,243,117","137,912",0,"5,151",139,"11,617,049","42,160"
Peru,"1,412,406","+4,443","49,003",+162,"1,322,685","40,718","2,218","42,424","1,472","8,284,625","248,844"
Czechia,"1,399,129","+6,936","23,291",+129,"1,213,964","161,874","1,935","130,480","2,172","9,665,502","901,387"
Netherlands,"1,157,192","+5,974","16,069",+23,0,0,554,"67,430",936,"6,970,400","406,165"
Canada,"909,157","+2,956","22,463",+29,"855,020","31,674",543,"23,942",592,"25,881,400","681,561"
Chile,"891,110","+5,731","21,674",+100,"835,669","33,767","2,015","46,337","1,127","10,120,265","526,246"
Romania,"859,709","+4,383","21,483",+44,"783,642","54,584","1,232","44,900","1,122","6,762,345","353,175"
Israel,"818,548",+749,"6,008",+20,"784,566","27,974",640,"88,996",653,"12,884,409","1,400,846"
Portugal,"814,257",+541,"16,684",+15,"759,417","38,156",242,"80,019","1,640","8,480,932","833,441"
Belgium,"805,321","+3,598","22,421",+24,"54,382","728,518",468,"69,275","1,929","10,065,699","865,867"
Iraq,"758,184","+3,866","13,751",+32,"685,770","58,663",457,"18,560",337,"7,386,457","180,820"
Sweden,"712,527",0,"13,146",0,0,0,219,"70,246","1,296","6,378,529","628,837"
Philippines,"621,498","+4,899","12,829",+63,"560,512","48,157",785,"5,619",116,"9,321,442","84,281"
Pakistan,"605,200","+2,664","13,508",+32,"570,571","21,121","1,805","2,703",60,"9,485,702","42,370"
Switzerland,"570,645",0,"10,112",+4,"529,452","31,081",165,"65,599","1,162","5,387,481","619,326"
Bangladesh,"557,395","+1,159","8,545",+18,"511,695","37,155",0,"3,361",52,"4,264,551","25,715"
Hungary,"516,490","+8,863","16,952",+162,"351,891","147,647","1,005","53,561","1,758","4,076,943","422,783"
Serbia,"516,277","+4,226","4,719",+25,"400,347","111,211",207,"59,256",542,"3,149,048","361,436"
Austria,"493,568","+2,503","8,873",+17,"457,266","27,429",360,"54,584",981,"6,004,667","664,056"
