Country_Other,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical,tot_cases_per1M_pop,Deaths_per_1M_Pop,Total_Tests,Tests_per_1M_Pop
World,"486,680,390","+1,573,926","6,161,772","+4,262","422,030,700","58,487,918","58,373","62,437",790.5,0,0
China,"147,437","+1,629","4,638",0,"114,636","28,163",62,102,3,"160,000,000","111,163"
USA,"81,740,722","+31,133","1,006,445",+681,"65,073,099","15,661,178","2,140","244,455","3,010","982,546,778","2,938,419"
India,"43,024,440","+1,225","521,159",+28,"42,489,004","14,277","8,944","30,653",371,"788,556,935","561,808"
Brazil,"29,916,334","+33,937","659,570",+276,"28,679,560","577,204","8,318","139,024","3,065","63,776,166","296,374"
France,"25,445,532","+169,024","142,134",+149,"23,166,895","2,136,503","1,486","388,334","2,169","254,106,036","3,878,013"
UK,"21,073,009","+39,798","165,187",+213,"18,995,883","1,911,939",365,"307,606","2,411","504,238,542","7,360,458"
Germany,"20,970,297","+267,367","129,742",+305,"16,319,700","4,520,855","2,494","248,906","1,540","104,701,826","1,242,751"
Russia,"17,823,648","+20,145","368,377",+352,"16,788,291","666,980","2,300","122,044","2,522","273,400,000","1,872,047"
Turkey,"14,846,224","+14,993","97,977",+53,"14,515,495","232,752",975,"172,796","1,140","153,504,955","1,786,650"
Italy,"14,567,990","+77,621","159,224",+170,"13,125,950","1,282,816",481,"241,563","2,640","200,421,282","3,323,342"
S. Korea,"12,774,956","+424,528","15,855",+432,0,0,"1,301","248,802",309,"15,804,065","307,796"
Spain,"11,508,309",0,"102,392",0,"10,875,306","530,611",492,"245,976","2,189","471,036,328","10,067,829"
Vietnam,"9,472,254","+85,765","42,454",+41,"7,268,531","2,161,269","3,635","95,813",429,"84,217,005","851,863"
Argentina,"9,035,127","+2,965","127,997",+27,"8,856,717","50,413",541,"196,770","2,788","35,371,141","770,324"
Netherlands,"7,833,842","+27,818","21,961",+35,"6,339,700","1,472,181",140,"455,434","1,277","21,107,399","1,227,115"
Iran,"7,159,733","+2,987","140,158",+49,"6,868,435","151,140","1,551","83,386","1,632","49,358,909","574,857"
Japan,"6,452,108","+41,473","27,913",+82,"6,008,253","415,942",655,"51,287",222,"43,110,998","342,687"
Colombia,"6,084,551",+311,"139,607",+12,"5,917,586","27,358",342,"117,403","2,694","33,899,469","654,098"
Indonesia,"6,009,486","+3,840","155,000",+118,"5,742,931","111,555","2,771","21,574",556,"91,894,843","329,898"
