Country_Other,April16,April17,April18,April19,April20,April21,April22,April23,April24,April25,April26,April27,April28,April29,April30,May01,May02,May03,May04,May05,May06,May07,May08,May09,May10,May11,May12,May13,May14,May15,May16,May17,May18,May19,May20,May21,May22
Burkina Faso,+4,+11,+8,+11,+5,+19,+9,+7,+13,0,+3,+3,+3,+3,+4,+4,+3,+10,+10,+16,+41,+7,+8,+4,+3,+9,+6,+7,0,+7,+2,+14,0,0,+13,+3,+2
Nigeria,+35,+51,+49,+85,+38,+117,+91,+108,+114,+87,+91,+64,+195,+196,+204,+238,+218,+170,+244,+148,+195,+381,+386,+239,+248,+242,+146,+184,+191,+288,+176,+338,+216,+226,+276,+339,+245
Senegal,+21,+7,+8,+17,+10,+35,+30,+37,+66,+69,+57,+65,+87,+59,+51,+91,+91,+67,+89,+58,+104,+59,+59,+83,+75,+177,+109,+110,+84,+121,+119,+51,+64,+73,+97,+98,+97
DRC,+13,+20,+20,+20,+5,+18,+9,+18,+17,+22,+26,+17,+12,+20,+81,+32,+70,0,+8,+23,+92,+66,0,+74,+54,+33,+78,+67,+73,+56,+157,0,+83,+91,+102,+104,+110
Kenya,+9,+12,+16,+8,+11,+15,+7,+17,+16,+7,+12,+8,+11,+10,+12,+15,+24,+30,+25,+45,+47,+25,+14,+28,+23,+28,+15,+22,+21,+23,+49,+57,+25,+51,+66,+80,+52
Mayotte,+16,+12,+9,+17,0,+40,+15,0,+28,+26,+21,0,+59,0,+79,0,0,+54,+36,+53,0,+115,0,+134,+35,0,+72,+48,+67,0,+102,+30,+28,0,+105,0,+46
Mali,+23,0,+45,+8,+22,+12,+35,+16,+16,+45,+19,+19,+16,+58,+8,+18,+36,+19,+17,+32,+19,+19,+18,+24,+12,+8,+18,+28,+21,+27,+29,+25,+14,+27,+30,+16,+22
Rwanda,+2,+5,+1,+3,0,+3,+3,+1,+22,+7,+8,+16,+5,+13,+18,+6,+6,+4,+2,0,+7,+3,+2,+7,+4,+1,+1,+1,0,0,+2,+3,+5,+11,+6,+6,+1
Madagascar,+1,+6,+3,+1,0,0,0,0,+1,+1,+1,+4,0,0,0,+4,+3,+14,0,+2,+7,+35,0,0,0,0,0,+26,+18,+8,+45,+21,+18,+4,+45,+34,+43
Ethiopia,+7,+4,+9,+3,+3,+3,+2,0,+1,+5,+1,+1,+2,+4,+1,+2,0,+2,+5,+5,+17,+29,+3,+16,+29,+11,+11,+2,+9,+15,+19,+11,+35,+13,+24,+10,+34
Togo,0,+2,+1,0,0,+2,+2,0,+2,+6,+2,0,+1,+10,+7,+7,0,+1,+2,+2,0,+7,+10,+8,+21,+7,+18,+20,+19,+25,+35,+3,+29,+8,+2,+14,+9
Gabon,0,+28,0,+1,+11,+36,+10,+1,+5,+4,0,+35,+27,+38,0,0,+59,0,+32,+30,0,+107,+116,+41,0,+141,+61,+141,+100,+105,+111,0,+112,+70,+65,0,+161
Liberia,0,+17,0,+15,+8,+2,0,0,+16,+3,+4,0,+17,0,0,+11,+2,+4,+8,+4,+8,+11,+10,0,0,+12,0,+2,+2,+4,+4,+3,+3,+4,+5,+2,+9
Cabo Verde,0,0,+2,+3,+6,+1,+5,+9,+6,+2,+16,+3,+5,0,+8,+1,+30,+13,+10,+11,+5,+27,+12,+6,+10,+14,+7,+22,+26,+11,+2,0,0,+7,+14,+7,+6
Uganda,0,0,0,0,+1,+5,+2,+11,+1,0,+4,0,0,+2,+2,+2,+3,+1,+8,+1,+2,+1,0,+15,+5,0,+5,+13,+21,+43,+24,0,+21,+12,+4,0,+15
Equatorial Guinea,0,+28,0,0,0,+4,+1,0,+5,+44,0,0,+57,0,0,0,0,0,0,0,+124,0,0,0,0,0,0,+83,+61,+11,0,0,+125,+106,+65,+13,+57
Libya,+1,0,0,+2,0,+8,+1,0,+1,0,0,0,0,0,0,+2,0,0,0,0,+1,0,0,0,0,0,0,0,0,0,+1,0,0,+3,+1,+2,+1
Zambia,0,+4,+5,+4,+4,+5,+4,+2,+8,0,+4,+1,+6,+2,+9,+3,+10,+5,+13,+1,+8,+7,+14,+85,+15,0,+174,+5,+208,0,+25,+74,+8,+11,+60,+34,+54
Guinea-Bissau,0,0,+3,+4,0,0,0,0,+2,0,+1,+20,0,+132,0,+52,0,0,+156,0,+62,+89,+30,+47,+85,+35,+59,+16,+77,0,+56,+21,+42,+6,+51,+20,+5
Sudan,0,+1,+33,0,+41,+33,0,+22,+12,+39,+24,+38,+43,+57,+67,0,+150,0,+86,+100,+74,+78,+181,+53,+201,+161,+135,+157,0,+146,+325,0,+302,+137,0,+410,+240
Mozambique,+2,+3,+1,+4,0,0,+2,+5,+19,+5,+6,0,0,0,0,+3,0,+1,0,+1,0,0,+1,+5,+4,+12,+1,0,+11,+4,+10,+8,+8,+1,+10,+6,+2
Chad,+4,0,+6,0,0,0,0,0,+7,+6,0,0,+6,0,+21,0,+44,0,0,+53,0,+83,+7,+62,0,0,+35,+15,+27,+29,+46,+29,+16,+26,+20,+23,+23
Angola,0,0,+5,0,0,0,+1,0,0,0,+1,+1,0,0,0,+3,+5,0,0,+1,0,0,+7,0,0,+2,0,0,+3,0,0,0,+2,+2,0,+6,+2
Malawi,0,+1,0,0,0,+1,+5,+10,0,0,+1,+2,0,0,+1,0,+1,+1,+2,0,+2,0,0,+13,0,+1,0,+6,0,0,+2,+5,0,0,+1,+1,+10
Eswatini,+1,0,+6,0,+2,+7,0,0,+5,+20,+3,+6,+6,+20,+9,+6,+2,+4,+4,+3,+4,+30,+6,+4,+9,+3,+9,+3,0,+3,+12,+1,+2,+3,+9,+3,+5
Namibia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+2,+1
Botswana,+2,0,0,+5,0,0,+2,0,0,0,0,0,+1,0,0,0,0,0,0,0,0,0,0,0,0,+1,0,0,0,0,0,+1,0,0,0,+4,+1
Sierra Leone,+2,+11,+4,+5,+8,+7,+11,+3,+18,0,+11,+6,+5,0,+20,+12,+19,+11,+12,+21,+26,+6,+26,+34,+16,+31,0,+49,+21,+39,+15,+43,+14,+15,+36,+15,+21
CAR,0,0,0,0,0,+2,0,0,0,0,+3,+9,0,0,0,+22,0,0,+13,0,+9,0,+49,0,0,0,0,0,0,+158,+26,0,0,+39,+52,+18,+43
Gambia,0,0,0,+1,0,0,0,0,0,0,0,0,0,0,+1,+1,+5,0,0,0,0,+1,+2,0,0,+2,0,+1,0,0,0,0,+1,0,0,0,+1
Mauritania,0,0,0,0,0,0,0,0,0,0,0,0,0,+1,0,0,0,0,0,0,0,0,0,0,0,0,+1,+6,+5,+9,+11,+22,+19,+50,+10,+32,+27
South Sudan,0,0,0,0,0,0,0,0,+1,0,+1,0,+28,0,+1,+10,0,+1,0,+6,+6,+16,+46,0,0,+36,+38,+9,0,+33,0,+54,0,0,0,+191,+82
