Date,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,Active_Cases,Serious_Critical
August20,3286560,25828,204505,333,1746992,539902,5166
August21,3313502,26684,204813,308,1759818,548270,5198
August22,3334826,21324,205118,305,1772973,554361,5194
August23,3354738,19958,205304,189,1779829,565739,5193
August24,3385754,19394,205573,250,1789100,572129,5541
August25,3407514,21566,205968,396,1797782,580519,5561
August26,3452334,26973,206225,372,1814305,585401,5589
August27,3481020,28760,206592,366,1827231,594962,5561
August28,3509878,30121,206931,339,1839893,605238,5639
August29,3533217,23339,207198,267,1845758,614351,5623
August30,3555197,21980,207397,199,1852753,626867,5657
August31,3582112,21741,207735,296,1860383,636149,5792
September01,3611304,29195,208172,437,1873769,641693,5816
September02,3646402,35087,208567,393,1886227,653125,5842
September03,3683216,36568,208955,378,1900111,663916,5924
September04,3742557,35224,209466,511,1911568,680143,5937
September05,3771883,29347,209778,312,1932925,692079,5900
September06,3798381,26503,209977,199,1940180,707214,5933
September07,3831327,26345,210277,258,1948231,719026,6072
September08,3868181,36808,210748,467,1964658,726536,6141
September09,3908608,40427,211149,401,1978258,740345,6210
September10,3954250,45218,211561,412,1990916,757874,6352
September11,4013145,41055,211968,407,2004457,775519,6407
September12,4049800,36655,212293,325,2018927,792661,6424
September13,4079776,29978,212543,250,2025687,811216,6429
September14,4126255,31809,212914,302,2035251,826081,6560
September15,4169456,43159,213548,626,2050133,839808,6683
September16,4219639,50076,214235,683,2062349,860317,6863
September17,4273419,53780,214850,615,2076975,882611,6922
September18,4353831,51074,215503,657,2136418,862721,6970
September19,4398332,44502,215893,391,2155059,881911,7041
September20,4436709,38377,216186,293,2163192,906141,7075
September21,4483615,37729,216668,370,2175183,922036,7339
September22,4536100,51288,217440,772,2193344,936712,7479
September23,4597854,61236,218109,666,2210295,960344,7579
September24,4662401,64547,218705,596,2227250,987654,7770
September25,4750352,60450,219389,687,2243555,1017509,7926
September26,4802736,52385,219947,557,2258706,1045504,8033
September27,4848403,45667,220285,338,2269086,1071790,8151
September28,4899621,39329,220841,431,2279959,1090213,8464
September29,4955689,56068,221674,833,2298697,1106942,8509
September30,5023956,67872,222459,788,2318237,1133333,8625
October01,5123850,64155,223223,773,2339430,1162038,8815
October02,5190358,66508,224040,817,2359667,1193170,8971
October03,5261834,65676,224626,592,2380225,1226734,9045
October04,5336643,59830,225059,433,2397923,1256486,9121
October05,5438458,61884,225689,537,2413377,1283179,9451
October06,5522832,82511,226732,1060,2435536,1310972,9643
October07,5615833,92470,227643,907,2459381,1353080,9762
October08,5724900,101693,228538,900,2480816,1403711,9971
October09,5835872,110051,229543,1007,2504223,1463874,10229
October10,5943161,107290,230307,764,2524450,1528612,10320
October11,6051908,99462,231069,697,2539652,1583792,10444
October12,6147231,95323,231824,755,2557632,1630404,10645
October13,6255198,105768,233002,1132,2582309,1678848,11164
October14,6395548,139674,234326,1331,2609021,1751889,11429
October15,6573245,154099,235618,1287,2636236,1837107,11984
October16,6724429,153196,237056,1438,2665538,1924547,12348
October17,6867858,143429,238163,1099,2694551,2013750,12683
October18,7003018,135058,239047,884,2717831,2099664,12898
October19,7161346,137473,240259,1068,2743718,2171340,13526
October20,7319169,154647,242056,1799,2779765,2245280,17449
October21,7513546,193398,243715,1781,2818963,2345835,14416
October22,7755487,217370,245508,1796,2859553,2469781,14976
